coeff_mode,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
gaussian,Improved-gOMP,baseline,0.007784232301675094,0.08189098074101078,0.846875,0.8750320512820513,0.05,0.0021709702003136046,5.85,15.5,0.4341848880259021,1.95,2.45,0.00017516975040052785,17.803333333333335,0.0,0.0,2.127414820027151,0.85,0.85,1.0,1.0,1.0,1.0,0.0,2.7500900250743145e-05,0.0015282563505024881,0.00014690320131194312,3.1955950180417855e-05,0.00014370759890880436,3503.6,768.0,2048.0,0.0,0.0,0.0,445.6,54.8,46.8,46.8,46.8,46.8,0.0
gaussian,Improved-gOMP,optimized,0.004686866702874236,0.06524471190657691,0.875,0.9340865384615384,0.05,0.0010785756499899434,5.7,15.0,0.40912607638307197,1.0,2.0,0.00012131040093663615,0.0,0.0,0.0,2.062579321196554,0.75,0.75,0.0,0.0,1.0,0.0,1.0,2.3978248282219284e-05,0.0005609107505733846,0.0002167499995266553,3.7118399086466523e-05,0.00010619594977470114,4977.6,768.0,2048.0,0.0,1814.4,120.0,120.0,53.6,45.6,0.0,0.0,8.0,0.0
gaussian,OMP,baseline,0.004769774774894607,0.06776656557197643,0.903125,0.903125,0.05,0.0009984394502680516,16.0,16.0,0.3819225508200743,1.55,1.55,0.00039500894908997,1.0,0.0,0.0,2.0553970974037563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.408115023077698e-05,0.0001080246978744981,0.00039500894908997,9.337390074506401e-05,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
gaussian,OMP,optimized,0.004769774774109079,0.06776656556809083,0.903125,0.903125,0.05,0.0005350528503186069,16.0,16.0,0.38192255082007426,1.55,1.55,0.00021241215072222985,1.0,0.0,0.0,2.0553970974037563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.470640153362183e-05,2.1930100774625317e-05,0.00021241215072222985,7.385099997918587e-05,0.00010622515110298991,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
gaussian,gOMP,baseline,0.005129790836770134,0.0695754308796286,0.884375,0.884375,0.0,0.0004532015500444686,6.0,16.0,0.40251523145357393,1.85,1.85,0.0001781777486030478,3.0,0.0,0.0,2.1639386143567094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3360951490758453e-05,6.416100168280537e-05,0.0001781777486030478,3.6582400753104594e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
gaussian,gOMP,optimized,0.005129790836920471,0.06957543088024667,0.884375,0.884375,0.0,0.0002355004497076152,6.0,16.0,0.40251523145357393,1.85,1.85,8.39565007481724e-05,3.0,0.0,0.0,2.1639386143567094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.236355012428248e-05,5.138314954820089e-05,8.39565007481724e-05,2.9026349329797087e-05,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
rademacher,Improved-gOMP,baseline,0.20724250907756714,0.41148031527658474,0.840625,0.840625,0.15,0.002686364400506136,6.1,16.0,1.113430460730768,2.55,2.55,0.00020598505034286063,16.71785714285714,0.0,0.0,2.124874244735346,0.9,0.9,1.0,1.0,1.0,1.0,0.0,2.900555064115906e-05,0.0018470542006980395,0.0001722425002299133,3.7710749347752424e-05,0.000280385050609766,3564.0,768.0,2048.0,0.0,0.0,0.0,496.0,56.8,48.8,48.8,48.8,48.8,0.0
rademacher,Improved-gOMP,optimized,0.11715049389580341,0.297441395218989,0.915625,0.915625,0.25,0.0011145356998895294,5.15,16.0,0.8959731867548092,1.35,1.35,0.00012327479998930357,0.0,0.0,0.0,2.0932204278908,0.9,0.9,0.0,0.0,1.0,0.0,1.0,2.228660032415064e-05,0.0005560413017519749,0.00021804100069857668,3.334765060571954e-05,0.00015296934943762608,5218.4,768.0,2048.0,0.0,2048.0,128.0,128.0,49.2,41.2,0.0,0.0,8.0,0.0
rademacher,OMP,baseline,0.04821559827138623,0.16920700865743946,0.965625,0.965625,0.55,0.0010418835498057887,16.0,16.0,0.6263897743766076,0.55,0.55,0.0004121373003727058,1.0,0.0,0.0,2.0863997457560264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.172079913289053e-05,0.00010974345404974883,0.0004121373003727058,9.867405187833356e-05,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
rademacher,OMP,optimized,0.04821559827088235,0.16920700864814853,0.965625,0.965625,0.55,0.0005329743004040211,16.0,16.0,0.6263897743766076,0.55,0.55,0.00020539695124170975,1.0,0.0,0.0,2.0863997457560264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.699139765056316e-05,2.302015054738149e-05,0.00020539695124170975,7.241825023811544e-05,0.00010672949956642696,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
rademacher,gOMP,baseline,0.1440103170255301,0.33199780992563094,0.896875,0.896875,0.2,0.00047859279984550083,6.0,16.0,0.960240254085584,1.65,1.65,0.00018119915039278568,3.0,0.0,0.0,2.090354101349248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.477180041751126e-05,7.021019973763032e-05,0.00018119915039278568,4.104819799977122e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
rademacher,gOMP,optimized,0.1440103170262325,0.33199780992300737,0.896875,0.896875,0.2,0.000237354550154123,6.0,16.0,0.960240254085584,1.65,1.65,8.236239955294877e-05,3.0,0.0,0.0,2.090354101349248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2740350323147142e-05,5.565095034398837e-05,8.236239955294877e-05,2.7636898812488654e-05,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
uniform,Improved-gOMP,baseline,0.015046834116750224,0.09956467798282227,0.865625,0.8857371794871796,0.0,0.002456551749855862,5.9,15.65,0.24411477157852426,1.8,2.15,0.00019200245042156895,17.663333333333334,0.0,0.0,2.1605003959191187,0.9,0.9,1.0,1.0,1.0,1.0,0.0,2.766490142676048e-05,0.0016842355995322577,0.00016041995040723124,3.4762250470521396e-05,0.00023943134892761008,3522.0,768.0,2048.0,0.0,0.0,0.0,462.0,55.2,47.2,47.2,47.2,47.2,0.0
uniform,Improved-gOMP,optimized,0.006009168065360728,0.07503663184063,0.8875,0.9428205128205128,0.05,0.0011480805502287693,5.55,15.1,0.2242446812271865,0.9,1.8,0.00012956975024280837,0.0,0.0,0.0,2.1076491006594775,0.85,0.85,0.0,0.0,1.0,0.0,1.0,2.3699500161455944e-05,0.000580187600098725,0.00022061329964344621,3.5655049396154935e-05,0.00014602815044781892,5004.0,768.0,2048.0,0.0,1841.6,120.8,120.8,52.4,44.4,0.0,0.0,8.0,0.0
uniform,OMP,baseline,0.006663550388380905,0.07576056711299246,0.91875,0.91875,0.05,0.0009783767996850655,16.0,16.0,0.21178698233279114,1.3,1.3,0.00039023650133458433,1.0,0.0,0.0,2.1281767480775957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2142299975676e-05,0.0001080063491826877,0.00039023650133458433,9.211559990944807e-05,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
uniform,OMP,optimized,0.006663550388215212,0.07576056711139291,0.91875,0.91875,0.05,0.0005308251498718164,16.0,16.0,0.21178698233279114,1.3,1.3,0.00020202604955557035,1.0,0.0,0.0,2.1281767480775957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351489980967017e-05,2.0764651526405942e-05,0.00020202604955557035,7.703485098318197e-05,0.00010967389880534029,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
uniform,gOMP,baseline,0.007984651573588922,0.08380656026884473,0.89375,0.89375,0.05,0.00047416920042451236,6.0,16.0,0.22333451391774975,1.7,1.7,0.00017426969880034447,3.0,0.0,0.0,2.1926662010312383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3416298063239083e-05,6.451150056818733e-05,0.00017426969880034447,4.742534911201801e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
uniform,gOMP,optimized,0.007984651575166143,0.0838065602760087,0.89375,0.89375,0.05,0.00026303829999960724,6.0,16.0,0.22333451391774975,1.7,1.7,0.00010104059947479982,3.0,0.0,0.0,2.1926662010312383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4712550111871678e-05,5.660099941451335e-05,0.00010104059947479982,2.9785999868181533e-05,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
