matrix_kind,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
bernoulli,Improved-gOMP,baseline,0.010734655546895362,0.08503360018506961,0.821875,0.8601282051282052,0.0,0.002292915350153635,5.8,15.3,0.40365970736863643,2.15,2.85,0.00018209999961982248,17.755952380952383,0.0,0.0,2.1392987632830094,0.8,0.8,1.0,1.0,1.0,1.0,0.0,2.5432250913581812e-05,0.0016127238493936602,0.00015296729961846722,3.30612005200237e-05,0.00017375679872202454,3497.6,768.0,2048.0,0.0,0.0,0.0,441.6,54.4,46.4,46.4,46.4,46.4,0.0
bernoulli,Improved-gOMP,optimized,0.005518497577953024,0.0656553133753087,0.865625,0.9271955128205128,0.0,0.00112192695014528,5.65,14.95,0.3735766863003952,1.1,2.15,0.00012393874967528973,0.0,0.0,0.0,2.0705702725990824,0.75,0.75,0.0,0.0,1.0,0.0,1.0,2.2548247943632305e-05,0.0005905269501454314,0.00021971340047457488,3.6899249607813545e-05,0.00011709639948094263,4966.0,768.0,2048.0,0.0,1804.4,119.6,119.6,53.2,45.2,0.0,0.0,8.0,0.0
bernoulli,OMP,baseline,0.004540388945590375,0.06423606257472553,0.896875,0.896875,0.05,0.0009322927000539494,16.0,16.0,0.3374599235372805,1.65,1.65,0.00037296199989214076,1.0,0.0,0.0,2.115174682646797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.820285041409079e-05,9.254755022993776e-05,0.00037296199989214076,8.611824887339026e-05,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
bernoulli,OMP,optimized,0.004540388945749701,0.06423606257844208,0.896875,0.896875,0.05,0.0005775721496320329,16.0,16.0,0.33745992353728044,1.65,1.65,0.00022761259988328674,1.0,0.0,0.0,2.115174682646797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.480450108734658e-05,2.7888599834113848e-05,0.00022761259988328674,8.131629692798015e-05,0.00011190634813829092,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
bernoulli,gOMP,baseline,0.008967202252394953,0.07801034563723834,0.86875,0.86875,0.05,0.0004936353494485957,6.0,16.0,0.36811499854809926,2.1,2.1,0.00019342749947099948,3.0,0.0,0.0,2.20364829161812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4210049195971807e-05,6.821719998697517e-05,0.00019342749947099948,3.7808099114045036e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
bernoulli,gOMP,optimized,0.008967202251501917,0.07801034563883782,0.86875,0.86875,0.05,0.0002472490496074897,6.0,16.0,0.36811499854809926,2.1,2.1,9.121560087805846e-05,3.0,0.0,0.0,2.20364829161812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3168601001088972e-05,5.115549938636832e-05,9.121560087805846e-05,3.186345056747086e-05,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
gaussian,Improved-gOMP,baseline,0.00607151719552531,0.07352506827264489,0.85625,0.8761538461538463,0.0,0.0023721339501207696,5.9,15.65,0.3875245591633942,1.95,2.3,0.0001942724997206824,17.75,0.0,0.0,2.213428255785468,0.95,0.95,1.0,1.0,1.0,1.0,0.0,2.7980951381323392e-05,0.001663535350235179,0.0001627150993954274,3.592069951992016e-05,0.00017448899961891584,3512.4,768.0,2048.0,0.0,0.0,0.0,452.4,55.2,47.2,47.2,47.2,47.2,0.0
gaussian,Improved-gOMP,optimized,0.004912009397224677,0.06413365355942502,0.878125,0.9393750000000001,0.2,0.0011811996997494133,5.7,15.0,0.3781150104995535,0.95,1.95,0.00013029770143475617,0.0,0.0,0.0,2.0250470004511993,0.75,0.75,0.0,0.0,1.0,0.0,1.0,2.4347649559786078e-05,0.0005854445489603677,0.0002333368993276963,4.253894894645782e-05,0.00015397695133287926,4985.6,768.0,2048.0,0.0,1822.4,120.0,120.0,53.6,45.6,0.0,0.0,8.0,0.0
gaussian,OMP,baseline,0.004582488572538311,0.06560710448107587,0.903125,0.903125,0.2,0.0009736351004903554,16.0,16.0,0.33402071082703055,1.55,1.55,0.00038077754888945494,1.0,0.0,0.0,2.0503886293527147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.390284834196791e-05,9.776020106073701e-05,0.00038077754888945494,9.333174948551459e-05,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
gaussian,OMP,optimized,0.004582488572390582,0.06560710448178672,0.903125,0.903125,0.2,0.0005755272995884297,16.0,16.0,0.33402071082703055,1.55,1.55,0.0002243270013423171,1.0,0.0,0.0,2.0503886293527147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65850488783326e-05,2.3186603175417986e-05,0.0002243270013423171,8.14765015093144e-05,0.00011812649991043145,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
