snr_db,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
5.0,Improved-gOMP,baseline,3144.5333333333333,768.0,2048.0,0.0,0.0,0.0,184.53333333333333,35.2,27.2,27.2,27.2,27.2,0.0
5.0,Improved-gOMP,optimized,3686.6666666666665,768.0,2048.0,0.0,664.8,71.2,71.2,31.733333333333334,23.733333333333334,0.0,0.0,8.0,0.0
10.0,Improved-gOMP,baseline,3284.8,768.0,2048.0,0.0,0.0,0.0,286.1333333333333,42.93333333333333,34.93333333333333,34.93333333333333,34.93333333333333,34.93333333333333,0.0
10.0,Improved-gOMP,optimized,4439.466666666666,768.0,2048.0,0.0,1335.4666666666667,101.86666666666666,101.86666666666666,42.13333333333333,34.13333333333333,0.0,0.0,8.0,0.0
15.0,Improved-gOMP,baseline,3391.733333333333,768.0,2048.0,0.0,0.0,0.0,362.4,49.06666666666667,41.06666666666667,41.06666666666667,41.06666666666667,41.06666666666667,0.0
15.0,Improved-gOMP,optimized,4495.2,768.0,2048.0,0.0,1376.2666666666667,104.26666666666667,104.26666666666667,47.2,39.2,0.0,0.0,8.0,0.0
20.0,Improved-gOMP,baseline,3518.4,768.0,2048.0,0.0,0.0,0.0,457.06666666666666,55.46666666666667,47.46666666666667,47.46666666666667,47.46666666666667,47.46666666666667,0.0
20.0,Improved-gOMP,optimized,5016.0,768.0,2048.0,0.0,1849.0666666666666,121.06666666666666,121.06666666666666,54.4,46.4,0.0,0.0,8.0,0.0
25.0,Improved-gOMP,baseline,3527.733333333333,768.0,2048.0,0.0,0.0,0.0,463.73333333333335,56.0,48.0,48.0,48.0,48.0,0.0
25.0,Improved-gOMP,optimized,5078.4,768.0,2048.0,0.0,1905.6,123.2,123.2,55.2,47.2,0.0,0.0,8.0,0.0
30.0,Improved-gOMP,baseline,3533.866666666667,768.0,2048.0,0.0,0.0,0.0,469.8666666666667,56.0,48.0,48.0,48.0,48.0,0.0
30.0,Improved-gOMP,optimized,5197.866666666667,768.0,2048.0,0.0,2014.9333333333334,126.93333333333334,126.93333333333334,56.53333333333333,48.53333333333333,0.0,0.0,8.0,0.0
40.0,Improved-gOMP,baseline,3559.2,768.0,2048.0,0.0,0.0,0.0,487.2,57.6,49.6,49.6,49.6,49.6,0.0
40.0,Improved-gOMP,optimized,5235.733333333334,768.0,2048.0,0.0,2048.0,128.0,128.0,57.86666666666667,49.86666666666667,0.0,0.0,8.0,0.0
clean,Improved-gOMP,baseline,3549.3333333333335,768.0,2048.0,0.0,0.0,0.0,480.0,57.06666666666667,49.06666666666667,49.06666666666667,49.06666666666667,49.06666666666667,0.0
clean,Improved-gOMP,optimized,5235.2,768.0,2048.0,0.0,2048.0,128.0,128.0,57.6,49.6,0.0,0.0,8.0,0.0
