k,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
4,Improved-gOMP,baseline,2951.5466666666666,768.0,2048.0,0.0,0.0,0.0,47.68,23.973333333333333,15.973333333333333,15.973333333333333,15.973333333333333,15.973333333333333,0.0
4,Improved-gOMP,optimized,3049.5466666666666,768.0,2048.0,0.0,123.89333333333333,31.413333333333334,31.413333333333334,23.413333333333334,15.413333333333334,0.0,0.0,8.0,0.0
8,Improved-gOMP,baseline,3067.653333333333,768.0,2048.0,0.0,0.0,0.0,130.85333333333332,30.56,22.56,22.56,22.56,22.56,0.0
8,Improved-gOMP,optimized,3500.48,768.0,2048.0,0.0,495.8933333333333,62.82666666666667,62.82666666666667,31.466666666666665,23.466666666666665,0.0,0.0,8.0,0.0
12,Improved-gOMP,baseline,3236.16,768.0,2048.0,0.0,0.0,0.0,246.29333333333332,41.17333333333333,33.17333333333333,33.17333333333333,33.17333333333333,33.17333333333333,0.0
12,Improved-gOMP,optimized,4127.866666666667,768.0,2048.0,0.0,1047.8133333333333,91.38666666666667,91.38666666666667,40.64,32.64,0.0,0.0,8.0,0.0
16,Improved-gOMP,baseline,3502.4533333333334,768.0,2048.0,0.0,0.0,0.0,445.12,54.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,0.0
16,Improved-gOMP,optimized,4975.1466666666665,768.0,2048.0,0.0,1812.32,119.84,119.84,53.57333333333333,45.57333333333333,0.0,0.0,8.0,0.0
20,Improved-gOMP,baseline,3778.56,768.0,2048.0,0.0,0.0,0.0,664.0266666666666,66.10666666666667,58.10666666666667,58.10666666666667,58.10666666666667,58.10666666666667,0.0
20,Improved-gOMP,optimized,5871.84,768.0,2048.0,0.0,2637.5466666666666,144.58666666666667,144.58666666666667,64.56,56.56,0.0,0.0,8.0,0.0
24,Improved-gOMP,baseline,4131.52,768.0,2048.0,0.0,0.0,0.0,953.6533333333333,78.77333333333333,70.77333333333333,70.77333333333333,70.77333333333333,70.77333333333333,0.0
24,Improved-gOMP,optimized,7018.0,768.0,2048.0,0.0,3706.9066666666668,171.38666666666666,171.38666666666666,76.16,68.16,0.0,0.0,8.0,0.0
28,Improved-gOMP,baseline,4571.946666666667,768.0,2048.0,0.0,0.0,0.0,1326.48,92.29333333333334,84.29333333333334,84.29333333333334,84.29333333333334,84.29333333333334,0.0
28,Improved-gOMP,optimized,8553.52,768.0,2048.0,0.0,5155.546666666667,202.0,202.0,88.98666666666666,80.98666666666666,0.0,0.0,8.0,0.0
32,Improved-gOMP,baseline,5072.0,768.0,2048.0,0.0,0.0,0.0,1756.5333333333333,106.29333333333334,98.29333333333334,98.29333333333334,98.29333333333334,98.29333333333334,0.0
32,Improved-gOMP,optimized,10262.0,768.0,2048.0,0.0,6777.84,231.6,231.6,102.48,94.48,0.0,0.0,8.0,0.0
36,Improved-gOMP,baseline,5658.213333333333,768.0,2048.0,0.0,0.0,0.0,2270.213333333333,120.8,112.8,112.8,112.8,112.8,0.0
36,Improved-gOMP,optimized,12470.346666666666,768.0,2048.0,0.0,8889.013333333334,265.3333333333333,265.3333333333333,117.33333333333333,109.33333333333333,0.0,0.0,8.0,0.0
40,Improved-gOMP,baseline,6261.413333333333,768.0,2048.0,0.0,0.0,0.0,2805.5466666666666,134.37333333333333,126.37333333333333,126.37333333333333,126.37333333333333,126.37333333333333,0.0
40,Improved-gOMP,optimized,14570.133333333333,768.0,2048.0,0.0,10905.813333333334,293.97333333333336,293.97333333333336,130.18666666666667,122.18666666666667,0.0,0.0,8.0,0.0
