k,baseline_peak_working_set_bytes,baseline_solver_gram_bytes,baseline_support_history_bytes,optimized_peak_working_set_bytes,optimized_solver_gram_bytes,optimized_support_history_bytes,memory_saving_ratio,peak_working_set_delta_bytes,solver_gram_delta_bytes,support_history_delta_bytes
4,3168.0,0.0,56.0,1088.0,0.0,32.0,2.911764705882353,-2080.0,0.0,-24.0
8,3264.0,0.0,136.0,1128.0,0.0,64.0,2.893617021276596,-2136.0,0.0,-72.0
12,3384.0,0.0,240.0,1168.0,0.0,96.0,2.8972602739726026,-2216.0,0.0,-144.0
16,3664.0,0.0,488.0,1216.0,0.0,128.0,3.013157894736842,-2448.0,0.0,-360.0
20,3856.0,0.0,664.0,1256.0,0.0,160.0,3.070063694267516,-2600.0,0.0,-504.0
24,4072.0,0.0,864.0,1296.0,0.0,192.0,3.1419753086419755,-2776.0,0.0,-672.0
28,4544.0,0.0,1304.0,1344.0,0.0,224.0,3.380952380952381,-3200.0,0.0,-1080.0
32,4832.0,0.0,1576.0,1384.0,0.0,256.0,3.491329479768786,-3448.0,0.0,-1320.0
36,5144.0,0.0,1872.0,1424.0,0.0,288.0,3.6123595505617976,-3720.0,0.0,-1584.0
40,5808.0,0.0,2504.0,1472.0,0.0,320.0,3.9456521739130435,-4336.0,0.0,-2184.0
