k,baseline_peak_working_set_bytes,baseline_solver_gram_bytes,baseline_support_history_bytes,optimized_peak_working_set_bytes,optimized_solver_gram_bytes,optimized_support_history_bytes,memory_saving_ratio,peak_working_set_delta_bytes,solver_gram_delta_bytes,support_history_delta_bytes
4,2951.5466666666666,0.0,47.68,3049.5466666666666,123.89333333333333,31.413333333333334,0.9678640759719478,98.0,123.89333333333333,-16.266666666666666
8,3067.653333333333,0.0,130.85333333333332,3500.48,495.8933333333333,62.82666666666667,0.8763521955084255,432.8266666666668,495.8933333333333,-68.02666666666666
12,3236.16,0.0,246.29333333333332,4127.866666666667,1047.8133333333333,91.38666666666667,0.7839788106850996,891.7066666666669,1047.8133333333333,-154.90666666666664
16,3502.4533333333334,0.0,445.12,4975.1466666666665,1812.32,119.84,0.7039899661249518,1472.6933333333332,1812.32,-325.28
20,3778.56,0.0,664.0266666666666,5871.84,2637.5466666666666,144.58666666666667,0.6435052726232322,2093.28,2637.5466666666666,-519.4399999999999
24,4131.52,0.0,953.6533333333333,7018.0,3706.9066666666668,171.38666666666666,0.5887033342832716,2886.4799999999996,3706.9066666666668,-782.2666666666667
28,4571.946666666667,0.0,1326.48,8553.52,5155.546666666667,202.0,0.5345105484837431,3981.5733333333337,5155.546666666667,-1124.48
32,5072.0,0.0,1756.5333333333333,10262.0,6777.84,231.6,0.49425063340479436,5190.0,6777.84,-1524.9333333333334
36,5658.213333333333,0.0,2270.213333333333,12470.346666666666,8889.013333333334,265.3333333333333,0.45373344338997257,6812.133333333333,8889.013333333334,-2004.8799999999999
40,6261.413333333333,0.0,2805.5466666666666,14570.133333333333,10905.813333333334,293.97333333333336,0.42974303598228336,8308.720000000001,10905.813333333334,-2511.5733333333333
