k,baseline_peak_working_set_bytes,baseline_solver_gram_bytes,baseline_support_history_bytes,optimized_peak_working_set_bytes,optimized_solver_gram_bytes,optimized_support_history_bytes,memory_saving_ratio,peak_working_set_delta_bytes,solver_gram_delta_bytes,support_history_delta_bytes
4,2968.0,0.0,80.0,1264.0,128.0,32.0,2.348101265822785,-1704.0,128.0,-48.0
8,3240.0,0.0,288.0,1744.0,512.0,64.0,1.8577981651376148,-1496.0,512.0,-224.0
12,3640.0,0.0,624.0,2480.0,1152.0,96.0,1.467741935483871,-1160.0,1152.0,-528.0
16,4168.0,0.0,1088.0,3472.0,2048.0,128.0,1.2004608294930876,-696.0,2048.0,-960.0
20,4824.0,0.0,1680.0,4720.0,3200.0,160.0,1.0220338983050847,-104.0,3200.0,-1520.0
24,5608.0,0.0,2400.0,6224.0,4608.0,192.0,0.9010282776349614,616.0,4608.0,-2208.0
28,6520.0,0.0,3248.0,7984.0,6272.0,224.0,0.8166332665330661,1464.0,6272.0,-3024.0
32,7560.0,0.0,4224.0,10000.0,8192.0,256.0,0.756,2440.0,8192.0,-3968.0
36,8728.0,0.0,5328.0,12272.0,10368.0,288.0,0.711212516297262,3544.0,10368.0,-5040.0
40,10024.0,0.0,6560.0,14800.0,12800.0,320.0,0.6772972972972973,4776.0,12800.0,-6240.0
