screening_ratio,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,group_size
1.5,Improved-gOMP,optimized,0.005055318361001775,0.06876081396614282,0.875,0.9364583333333334,0.0,0.001337366250299965,5.7,15.0,0.3850467559423092,1.0,2.0,0.0001306848504100344,12.523333333333333,0.0,0.0,2.0690759332586732,0.75,0.75,0.0,0.0,1.0,0.0,1.0,2.8203101101098584e-05,0.0005869232498298515,0.00023907354952825698,3.7496000550163445e-05,0.00013959714997326955,5406.8,768.0,2048.0,0.0,1812.0,120.0,422.8,53.6,45.6,45.6,45.6,45.6,0.0,
2.0,Improved-gOMP,optimized,0.004412168547589214,0.0638036544651633,0.896875,0.9272916666666667,0.15,0.001302436050355027,5.9,15.5,0.3281264984274793,1.15,1.65,0.0001305705005506752,12.375,0.0,0.0,2.1237139195908563,0.9,0.9,0.0,0.0,1.0,0.0,1.0,2.683775110199349e-05,0.0005912485994485905,0.00022222080115170685,3.7330449958972165e-05,0.00013564189994212937,5562.8,768.0,2048.0,0.0,1931.2,124.0,447.6,55.2,47.2,47.2,47.2,47.2,0.0,
3.0,Improved-gOMP,optimized,0.005391745802019329,0.06974248479626567,0.846875,0.9313782051282052,0.05,0.0012715955503153965,5.7,14.6,0.3679102159164338,1.05,2.45,0.00013554960078181465,12.269047619047619,0.0,0.0,2.0410218080948317,0.65,0.65,0.0,0.0,1.0,0.0,1.0,3.026910017069895e-05,0.0005755114501880598,0.0002379566483796225,3.978429958806373e-05,0.00010165620024054079,5307.6,768.0,2048.0,0.0,1724.8,116.8,414.0,53.6,45.6,45.6,45.6,45.6,0.0,
4.0,Improved-gOMP,optimized,0.011242765996517079,0.08224758396092476,0.865625,0.9257532051282051,0.05,0.0012397971504469751,5.65,15.0,0.37857468815762324,1.15,2.15,0.00012302430022828048,12.683333333333334,0.0,0.0,2.078223979223793,0.7,0.7,0.0,0.0,1.0,0.0,1.0,2.664365092641674e-05,0.0005679319510818459,0.00021470109895744828,3.838650009129197e-05,0.00011547379999683471,5406.0,768.0,2048.0,0.0,1816.8,120.0,419.2,53.2,45.2,45.2,45.2,45.2,0.0,
5.0,Improved-gOMP,optimized,0.0047470912788962075,0.06664183188148176,0.865625,0.9431410256410256,0.05,0.0011843605503599973,5.65,14.7,0.34635974614391113,0.85,2.15,0.00011686965117405635,12.441666666666666,0.0,0.0,2.0584137660997888,0.65,0.65,0.0,0.0,1.0,0.0,1.0,2.5417150209250394e-05,0.0005482613993081032,0.0002079450006931438,3.5575448964664244e-05,9.343440087832278e-05,5329.6,768.0,2048.0,0.0,1749.6,117.6,412.4,53.2,45.2,45.2,45.2,45.2,0.0,
,Improved-gOMP,optimized,0.004433481368886076,0.06403498405190966,0.884375,0.9602083333333333,0.1,0.0014413827995667817,7.0,14.75,0.3685872844115654,0.6,1.85,0.0001482770492657437,9.90625,0.0,0.0,1.970665932837535,0.9,0.9,0.0,0.0,1.0,0.0,1.0,3.354430100444006e-05,0.0006478505485574715,0.0002475386998412432,4.6059150008659344e-05,0.00014180565085553098,5435.2,768.0,2048.0,0.0,1754.8,118.0,458.4,64.0,56.0,56.0,56.0,56.0,0.0,1.0
,Improved-gOMP,optimized,0.005723133403347937,0.06899546236254184,0.85625,0.9643750000000001,0.2,0.0011678566002956358,5.4,14.2,0.39257741640104893,0.5,2.3,0.00012010020036541391,12.677380952380952,0.0,0.0,1.9535146533458874,0.6,0.6,0.0,0.0,1.0,0.0,1.0,2.6459050241101066e-05,0.0005389076986830332,0.00020724420028273016,3.4887250149040486e-05,9.938010007317643e-05,5179.2,768.0,2048.0,0.0,1641.6,113.6,384.0,51.2,43.2,43.2,43.2,43.2,0.0,2.0
,Improved-gOMP,optimized,0.013263147650309875,0.10230315241922776,0.828125,0.8502083333333333,0.0,0.0009880486504698638,4.05,15.6,0.43887359031971895,2.35,2.75,9.586560026946245e-05,18.125,0.0,0.0,2.1796684210211827,0.95,0.95,0.0,0.0,1.0,0.0,1.0,1.861555047071306e-05,0.0004237935494529665,0.00017381974976160564,2.5596049454179592e-05,0.00012879685036750743,5378.8,768.0,2048.0,0.0,1948.8,124.8,319.2,40.4,32.4,32.4,32.4,32.4,0.0,3.0
,Improved-gOMP,optimized,0.008031946807818588,0.08441595598244855,0.815625,0.8554487179487179,0.0,0.001069381799607072,3.35,15.25,0.3984493594048711,2.2,2.95,9.494620026089251e-05,21.729166666666664,0.0,0.0,2.122752297302514,0.9,0.9,0.0,0.0,1.0,0.0,1.0,1.7198599925905002e-05,0.0004008438489108812,0.00018233510127174668,2.7206599588680548e-05,0.00023738390009384603,5230.0,768.0,2048.0,0.0,1866.8,122.0,283.2,34.8,26.8,26.8,26.8,26.8,0.0,4.0
,Improved-gOMP,optimized,0.02466941981939716,0.14309609250762317,0.778125,0.778125,0.0,0.0007665403998544206,3.0,16.0,0.5297359988654862,3.55,3.55,7.124655076040654e-05,26.666666666666668,0.0,0.0,2.2301127682459745,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.515099920652574e-05,0.00039752420052536764,0.00017919060064741643,2.1853899670531974e-05,1.6479496480314993e-06,5392.0,768.0,2048.0,0.0,2048.0,128.0,272.0,32.0,24.0,24.0,24.0,24.0,0.0,5.0
