measurement_ratio,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.1875,gOMP,baseline,0.0006391568831168115,3.0773230731332056e-05,0.00010349616190069355,0.00024064723053015768,5.042175636238729e-05,0.0
0.1875,gOMP,optimized,0.00032836401694415446,2.5780765960613885e-05,7.7858645915209e-05,0.00011524948970569919,4.060441026619325e-05,0.0
0.25,gOMP,baseline,0.0005795839399797842,2.8548993868753313e-05,9.049817531680067e-05,0.00022084760004266476,4.527967355291669e-05,0.0
0.25,gOMP,optimized,0.00028538631318951956,2.4226341823426387e-05,6.656641363709544e-05,0.00010087019957912464,3.380554010315488e-05,0.0
0.3125,gOMP,baseline,0.0005429823466693051,2.8427395979330564e-05,8.403278140273566e-05,0.00020649125493946486,4.362545917198683e-05,0.0
0.3125,gOMP,optimized,0.0002810463461598071,2.5075157075965156e-05,6.394557004872089e-05,9.932136468705721e-05,3.344557912593397e-05,0.0
0.375,gOMP,baseline,0.0005270255335199181,2.7791279474816596e-05,7.875083562491151e-05,0.0002022258234016287,4.4669665270096934e-05,0.0
0.375,gOMP,optimized,0.00026468029090513786,2.443476696498692e-05,5.823775243091708e-05,9.311248441614832e-05,3.1790543483414996e-05,0.0
0.4375,gOMP,baseline,0.0005488677498942707,3.0217225479039674e-05,8.290365760331042e-05,0.00020973240054445342,4.731987864943221e-05,0.0
0.4375,gOMP,optimized,0.0002801274726516567,2.6899712732605015e-05,6.11384888664664e-05,9.702427739587923e-05,3.4278274688404055e-05,0.0
0.5,gOMP,baseline,0.0005942704469392387,3.539365740531745e-05,8.899641378472248e-05,0.0002226940450297358,5.229448375757784e-05,0.0
0.5,gOMP,optimized,0.00028120680629702594,2.945029642432928e-05,5.94118000784268e-05,9.948507252071674e-05,3.315763916665067e-05,0.0
0.5625,gOMP,baseline,0.000577050706827625,3.4575445849138004e-05,8.652098603003348e-05,0.00021809108070253085,5.184995102657316e-05,0.0
0.5625,gOMP,optimized,0.00029290212303749284,3.17635020473972e-05,6.0843965184176343e-05,0.00010263643018940153,3.602861281251535e-05,0.0
0.625,gOMP,baseline,0.0006225837536718851,3.687350603286177e-05,9.161385799719332e-05,0.00023235211231318923,5.91225631069392e-05,0.0
0.625,gOMP,optimized,0.00031954624316616297,3.3386062811284015e-05,6.470454041846097e-05,0.00011376661039927664,3.908188392718633e-05,0.0
