snr_db,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
5.0,gOMP,baseline,0.0004656077670612528,2.495816637141009e-05,6.210600064756969e-05,0.00018239216600098493,3.840740040080467e-05,0.0
5.0,gOMP,optimized,0.0002178592670437259,2.0852699162787757e-05,4.4669000029292265e-05,8.008749985795778e-05,2.6271967362845318e-05,0.0
10.0,gOMP,baseline,0.0004959422997975101,3.2823400518585305e-05,7.540963354889149e-05,0.00018387826736822414,4.0799099345652697e-05,0.0
10.0,gOMP,optimized,0.0002473614328967718,2.537360063191348e-05,4.989993346195358e-05,8.53490342706209e-05,3.0431466681572297e-05,0.0
15.0,gOMP,baseline,0.0004506825667097777,2.311570048429227e-05,5.9873000403361705e-05,0.00017729123270934604,3.82098666401968e-05,0.0
15.0,gOMP,optimized,0.00023176176679650477,2.1929433448046135e-05,4.756776628103883e-05,8.304776589890631e-05,3.0364433284072825e-05,0.0
20.0,gOMP,baseline,0.00045482776634647357,2.750336583024667e-05,5.9864700839777164e-05,0.0001796541005508819,3.603203440434299e-05,0.0
20.0,gOMP,optimized,0.0002439579334653293,2.230313402833417e-05,5.121720035579832e-05,9.002393259531043e-05,3.120280028573082e-05,0.0
25.0,gOMP,baseline,0.00044770079948648346,2.4336234491784126e-05,5.899490145869398e-05,0.00017807466707987866,3.653893351535468e-05,0.0
25.0,gOMP,optimized,0.00024293083333759569,2.154836717333334e-05,4.8842900650925006e-05,8.797896613638538e-05,2.909613334243962e-05,0.0
30.0,gOMP,baseline,0.00046471256682707464,2.3874932473214965e-05,6.508123187813908e-05,0.00018063226586188344,3.6367966822581364e-05,0.0
30.0,gOMP,optimized,0.00022351559988843898,2.13094666833058e-05,4.631816627806984e-05,7.995556710132708e-05,2.7158100298644664e-05,0.0
40.0,gOMP,baseline,0.0004680535663889411,2.441976624443972e-05,6.156296743332253e-05,0.00018455399876984301,4.048163294404124e-05,0.0
40.0,gOMP,optimized,0.00021767396695698455,2.0880333856136228e-05,4.453549978885955e-05,7.786386619651845e-05,2.7422300991020166e-05,0.0
clean,gOMP,baseline,0.0004453542671399191,2.3930166814049397e-05,6.409269978272884e-05,0.00017072563374919507,3.948620081549355e-05,0.0
clean,gOMP,optimized,0.00023371276656689589,2.420813289063517e-05,4.941456609230954e-05,7.934796606908397e-05,3.115046699046312e-05,0.0
