k,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,gOMP,baseline,0.00014604729673010298,9.987079732430478e-06,2.9616906880013023e-05,4.5465179573511706e-05,1.4559263606012489e-05,0.0
4,gOMP,optimized,0.00010964586685683268,1.0054354158152516e-05,2.494095378400137e-05,3.4355117240920665e-05,1.0469233578381439e-05,0.0
8,gOMP,baseline,0.00021860308615335574,1.5108712347379575e-05,4.168230390253787e-05,7.243766017685024e-05,1.9896423327736557e-05,0.0
8,gOMP,optimized,0.00014763542979684036,1.3532300169269244e-05,3.271783115148234e-05,4.781582625582814e-05,1.5867970117445413e-05,0.0
12,gOMP,baseline,0.0003314202663023025,2.036996229435317e-05,5.617237048378835e-05,0.00011672001317492687,3.084071290989717e-05,0.0
12,gOMP,optimized,0.00019098543057528635,1.855543994073135e-05,4.151247014912466e-05,6.291269945601623e-05,2.0863653286748255e-05,0.0
16,gOMP,baseline,0.0005350817162252496,2.876313757345391e-05,7.856861872520918e-05,0.0002077894339163322,4.396935328259133e-05,0.0
16,gOMP,optimized,0.00027326556000237663,2.596505277324468e-05,5.790107282033811e-05,9.71407060084554e-05,3.1923388984675205e-05,0.0
20,gOMP,baseline,0.0007199046093349656,3.523775293918637e-05,9.837719631226112e-05,0.00029231667916368074,5.574782015173696e-05,0.0
20,gOMP,optimized,0.00034225343697471546,3.137506243850415e-05,7.02213866073483e-05,0.00012215701295644976,4.0759536689923454e-05,0.0
24,gOMP,baseline,0.0008538295199590115,3.935922150655339e-05,0.00010468310933598939,0.0003597624115839911,6.224513116952343e-05,0.0
24,gOMP,optimized,0.0003765469035230732,3.309767479853084e-05,7.641057692429361e-05,0.0001376795028045308,4.594920241894821e-05,0.0
28,gOMP,baseline,0.0012498189904727043,5.178217000017563e-05,0.0001324605587675857,0.0005662243913684506,8.413393370574341e-05,0.0
28,gOMP,optimized,0.00048440817699884063,4.360430893333008e-05,9.593554748183426e-05,0.00018281396172824314,6.050252491453042e-05,0.0
32,gOMP,baseline,0.0014591978032452366,5.954406961488227e-05,0.00014526757106068545,0.0006725453021742094,9.399709437275305e-05,0.0
32,gOMP,optimized,0.0005397853672911879,5.009221757063642e-05,0.00010078346254886127,0.00020507786675201108,6.74807566489714e-05,0.0
36,gOMP,baseline,0.001769846332851254,6.788919058938821e-05,0.00016436863923445345,0.0008387777075889365,0.00010893024426574508,0.0
36,gOMP,optimized,0.0006266258498847795,5.626279880137493e-05,0.00011462724811281077,0.00024704356056948505,7.819619699148462e-05,0.0
40,gOMP,baseline,0.0024394881062229008,8.100117799282694e-05,0.00019908677180258867,0.0012030433477775659,0.00013596871319653778,0.0
40,gOMP,optimized,0.0007284656697205112,5.965252372940692e-05,0.00013018809108568044,0.00029731298510644893,9.121436227966721e-05,0.0
