k,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,Improved-gOMP,baseline,0.0006530979663997035,8.24370035843458e-06,0.00041473946585028897,2.5520567335964493e-05,1.1528233274778662e-05,0.00010352159976415957
4,Improved-gOMP,optimized,0.000399590733286459,7.4258999423667165e-06,0.00013164406761158413,7.168500014813617e-05,1.1887333554720196e-05,0.00012136723307776265
8,Improved-gOMP,baseline,0.0011852359338566506,1.2765100109390914e-05,0.0007100646673886028,5.8303900974957896e-05,1.7359332681129065e-05,0.00024791160103632137
8,Improved-gOMP,optimized,0.0005380428666588462,1.288920029764995e-05,0.0002935747341931953,0.0001273142671076736,2.1354833249157914e-05,4.664400451777813e-06
12,Improved-gOMP,baseline,0.0014355588332061113,1.8943733448395505e-05,0.0009571657000681928,9.11352333787363e-05,2.727563381389094e-05,0.00014543316780570118
12,Improved-gOMP,optimized,0.0008462209663169536,1.7274166384595447e-05,0.00038734946647309696,0.00016026183329813647,2.922246737095217e-05,0.00014203456703398842
16,Improved-gOMP,baseline,0.002199770633645433,2.802773330283041e-05,0.0015298427667100138,0.0001474470001994632,3.4646833713244024e-05,0.00016670103383755
16,Improved-gOMP,optimized,0.0010956773669022369,2.4227699153319312e-05,0.0005923137656888381,0.0002296370996191399,3.63166337289537e-05,8.176619994628708e-05
20,Improved-gOMP,baseline,0.0031077781667894063,3.629096536315046e-05,0.002196671133424388,0.00022662290054237627,4.438296685596773e-05,0.00021313083404190063
20,Improved-gOMP,optimized,0.001450473266595509,3.429363326479991e-05,0.0007772637323796517,0.0002969682336697588,4.964076748971517e-05,0.00012290003542148042
24,Improved-gOMP,baseline,0.004090826033522414,4.4721668261142136e-05,0.002934629166702507,0.00033582116581480176,5.5135399331144676e-05,0.00022851616631669458
24,Improved-gOMP,optimized,0.001756025233771652,3.771846628903101e-05,0.0009480717654999656,0.0003697059664167076,5.821776721859351e-05,0.00014169356763886752
28,Improved-gOMP,baseline,0.005165797966522708,5.408323413575999e-05,0.0037878497677108196,0.00044182356626455054,6.280953384703025e-05,0.0002128529336914653
28,Improved-gOMP,optimized,0.0019610036665350587,4.386750006233342e-05,0.001106588134643971,0.00042417959909168225,6.684536674583796e-05,0.00010034486670823147
32,Improved-gOMP,baseline,0.007184170933517938,6.820406730791243e-05,0.005261749100706463,0.0006574110655492404,8.709633269366653e-05,0.000295470600030967
32,Improved-gOMP,optimized,0.0024594549997952225,5.3312799961228546e-05,0.001337126701279582,0.0005210413654519167,7.963853337666175e-05,0.00019646990100833742
36,Improved-gOMP,baseline,0.009052969633315418,7.874833233169435e-05,0.006641553998027423,0.0008850042674263628,9.90432676189812e-05,0.00032848500147035037
36,Improved-gOMP,optimized,0.0028136526330248064,6.034706711943727e-05,0.001534407633880619,0.0006071648340972995,8.983029947557952e-05,0.00022080600065237376
40,Improved-gOMP,baseline,0.01090775793333402,8.841076596581843e-05,0.00804816316558572,0.0010943629674632878,0.00011351879899545262,0.00039529593329158766
40,Improved-gOMP,optimized,0.003053030266285835,6.827470169810113e-05,0.0017336085669133656,0.0006931810354823634,0.00010166790028354929,0.00013282670042826794
