snr_db,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
5.0,OMP,baseline,0.00099697366701245,6.772439858953779e-05,0.00010306109943485353,0.00039226619907519004,9.663886642859627e-05,0.0
5.0,OMP,optimized,0.0005304505335516297,5.3958167215265954e-05,2.2707531873796444e-05,0.00020370006592808446,7.438936845574062e-05,0.00010764663287166816
10.0,OMP,baseline,0.00097283803333994,7.010656639370912e-05,9.835243375467447e-05,0.0003771625339140883,9.911226685896205e-05,0.0
10.0,OMP,optimized,0.0005236300661636051,5.9142998967824197e-05,2.0210368287128707e-05,0.00020010430259086813,7.168796570719374e-05,0.00010778746679231214
15.0,OMP,baseline,0.0009989946332401207,6.696400002207763e-05,0.00010392076595356533,0.0003898341337238283,9.495223202975467e-05,0.0
15.0,OMP,optimized,0.0005225416665780358,5.321900001338994e-05,2.0705501204550576e-05,0.00020652039844814378,7.161756584537216e-05,0.0001030215025821235
20.0,OMP,baseline,0.000951359533307065,6.361123244763197e-05,9.718936671561096e-05,0.0003753374672669452,9.09469341422664e-05,0.0
20.0,OMP,optimized,0.0005253857335143645,5.686323274858296e-05,2.1474832101375797e-05,0.00020154503181402106,7.343263411409376e-05,0.00010786329949041829
25.0,OMP,baseline,0.0009980215669202152,6.502553405880462e-05,0.00010339003383705859,0.000392920167723787,9.734990029149533e-05,0.0
25.0,OMP,optimized,0.0005561388330534101,5.693936715639817e-05,2.272963308011337e-05,0.00021707430023525375,7.93291683900558e-05,0.00011104036457254551
30.0,OMP,baseline,0.0009837615665067763,6.320453479323381e-05,0.00010527243308994609,0.0003842491341250328,9.726306622421058e-05,0.0
30.0,OMP,optimized,0.0005447836335709629,5.618563372991048e-05,2.107860091200564e-05,0.00021426256692696672,7.836943320095694e-05,0.00010657696608783833
40.0,OMP,baseline,0.0009739975330982513,6.625066792670017e-05,0.00010074046707207648,0.0003832076317242657,9.47950658883201e-05,0.0
40.0,OMP,optimized,0.0005307663330313516,5.451936485769693e-05,2.0208668138366194e-05,0.0002047711008344777,7.321129936220435e-05,0.0001114772340467122
clean,OMP,baseline,0.0009856907330686227,6.552406618235788e-05,0.0001065212651155889,0.0003886845011341696,9.329800110814782e-05,0.0
clean,OMP,optimized,0.0005510046665828365,5.721566594729666e-05,2.1685001896306252e-05,0.00020928933348235052,7.688086552661843e-05,0.00010803633437414343
