k,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,OMP,baseline,0.00021812890057238595,1.7786899964751985e-05,3.2461233543775356e-05,7.374696639696291e-05,2.5202634060406125e-05,0.0
4,OMP,optimized,0.00016818529984448106,1.6682765878310116e-05,7.681933614852218e-06,6.182769987693367e-05,2.076130015969587e-05,3.10660670947982e-05
8,OMP,baseline,0.0004247464670091479,3.31749996500245e-05,5.219326643176222e-05,0.000149117568435031,4.696443259793644e-05,0.0
8,OMP,optimized,0.0002747398668968041,3.224193205824122e-05,1.2924867648204479e-05,0.00010135953258820034,3.545790107940168e-05,5.2721200336236504e-05
12,OMP,baseline,0.0007155447000210794,5.202776592341252e-05,8.129623383865692e-05,0.0002680724309660339,7.473326634984308e-05,0.0
12,OMP,optimized,0.0004430805332958698,4.424789985932875e-05,1.915473306629186e-05,0.00016774836658441927,5.763433388589571e-05,9.825319866649807e-05
16,OMP,baseline,0.0009539711665032276,6.223249717246896e-05,9.953486660378985e-05,0.0003737464651446013,9.356603210714335e-05,0.0
16,OMP,optimized,0.0005278765004428957,5.495553474853902e-05,2.0440032919092725e-05,0.0002071347321664992,7.139013177948073e-05,0.00010595899996890997
20,OMP,baseline,0.001341951199962447,8.104496700980234e-05,0.0001242894327636653,0.0005584133991457445,0.00011941436775183925,0.0
20,OMP,optimized,0.0006706399663623112,6.873426937090699e-05,2.4895100917395515e-05,0.00026552800057591714,9.3114132808599e-05,0.00013587573278831162
24,OMP,baseline,0.0018497093335705964,9.84360346289274e-05,0.00015000073411404932,0.0008325116665218957,0.0001469515676338536,0.0
24,OMP,optimized,0.0008422040665512516,8.16872997044508e-05,3.169516676280182e-05,0.0003475848664190077,0.00011740560184989591,0.00016734093417956805
28,OMP,baseline,0.0024742321329540573,0.00011514996646534806,0.00017805186471377965,0.0011794423327955883,0.00016635793338840206,0.0
28,OMP,optimized,0.0010099103668229266,9.423473384231328e-05,3.524936885999826e-05,0.00041943400174204726,0.00014045020022119086,0.00020555590259997795
32,OMP,baseline,0.0031616327332206614,0.0001382279996808696,0.00020893716803887703,0.0015193315977133656,0.00020327076830047494,0.0
32,OMP,optimized,0.0012710026331963795,0.00011276073310000357,4.715226580932115e-05,0.0005374898988520727,0.00017323069951089565,0.00026214880260037415
36,OMP,baseline,0.004095555166956425,0.00016929739928552104,0.00024072479997509313,0.002048310695924253,0.00024312653489081033,0.0
36,OMP,optimized,0.0013791201998780403,0.00012046080288807086,4.981806656966607e-05,0.0006019320342602441,0.00018955180300205636,0.0002727121340285521
40,OMP,baseline,0.004990314700262388,0.00017972136544509946,0.0002617808317154413,0.002553968864716201,0.00026645726490338953,0.0
40,OMP,optimized,0.0016213883666447752,0.0001368529636238236,5.23436659326156e-05,0.0007268447987977803,0.0002266956317422834,0.00030476980051995873
