measurement_ratio,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.1875,RMP,baseline,0.0008934927500376943,3.72634995073895e-05,3.4605399378051516e-05,0.0003556274494258105,0.00012694209872279316,0.0
0.1875,RMP,optimized,0.00046998590005387086,3.4976752067450435e-05,2.6599197917676064e-05,0.00011347500148986,0.00011473124923213617,0.00010814385150297312
0.25,RMP,baseline,0.0009199273497870308,4.227760146022774e-05,3.902415191987529e-05,0.00036076345131732526,0.00013547800026572076,0.0
0.25,RMP,optimized,0.0005057135498645948,3.814140054601012e-05,2.9016001644777133e-05,0.00012944305053679271,0.00012400110081216552,0.00011206720082554967
0.3125,RMP,baseline,0.0008692702496773564,4.025285143143265e-05,3.2520847526029684e-05,0.00034485675187170275,0.00012789575066562975,0.0
0.3125,RMP,optimized,0.00047162970040517396,3.9084099262254314e-05,2.6031200286524835e-05,0.0001125297996622976,0.0001167266000265954,0.00010619529966788832
0.375,RMP,baseline,0.0009580162502970779,5.031394994148286e-05,3.337479975016322e-05,0.0003720484492077958,0.00014456029912253144,0.0
0.375,RMP,optimized,0.0005234141497567179,4.833669827348785e-05,2.9673599601665047e-05,0.00011538280086824671,0.00013646105016960064,0.00011025959938706364
0.4375,RMP,baseline,0.0010222916500424617,5.5404650265700187e-05,3.455860041867709e-05,0.00039988115095184184,0.0001577025504957419,0.0
0.4375,RMP,optimized,0.0005090621005365392,4.895649963145843e-05,3.124199920421233e-05,0.00011441585047577973,0.0001352892495560809,0.00010412394913146272
0.5,RMP,baseline,0.0009993298999688704,5.801575043733465e-05,3.4550397504062855e-05,0.00038476875015476254,0.00015804970080353088,0.0
0.5,RMP,optimized,0.0005397885006459546,5.6918946575024167e-05,2.7774801128543914e-05,0.00011764484879677184,0.00014469120105786715,0.0001154145495092962
0.5625,RMP,baseline,0.0010264668499075924,6.206864873092854e-05,3.462880013103131e-05,0.0003880824498992297,0.00016255264981737127,0.0
0.5625,RMP,optimized,0.0005232419000094524,5.56212513401988e-05,2.489455000613816e-05,0.00010901384866883746,0.00014572944910469233,0.00010654049947333988
0.625,RMP,baseline,0.0011636169501798577,7.550900118076242e-05,3.953700106649194e-05,0.00044145829924673307,0.00018923389889096142,0.0
0.625,RMP,optimized,0.0006119195499195484,6.559205194207607e-05,3.0953047462389806e-05,0.00012988555117772195,0.00016985680031211814,0.00013315994801814667
