snr_db,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
5.0,Improved-gOMP,baseline,0.3354759232218906,0.5657065686752621,0.3908333333333333,0.6707037037037037,0.0,0.0011879442664697612,3.23,9.636666666666667,2.2628824687889257,3.3833333333333333,9.746666666666666,7.774353371739078e-05,20.051555555555556,0.0,0.0,1.6974589230964705,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.889378298074007e-05,0.0008895940071670338,8.198274066671729e-05,2.3087232693796978e-05,3.0478768167085946e-06,3124.24,768.0,2048.0,0.0,0.0,0.0,171.04,33.84,25.84,25.84,25.84,25.84,0.0
5.0,Improved-gOMP,optimized,0.29289140757360843,0.5262908678718093,0.41291666666666665,0.7610925925925927,0.0,0.0006151961668607934,2.9566666666666666,8.87,2.239255521198545,2.263333333333333,9.393333333333333,7.273954625513094e-05,0.0,0.0,0.0,1.6408146996106863,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.479956956851917e-05,0.0003319658368127421,0.00014854243616961563,2.469791332259774e-05,2.064286139405643e-06,3684.346666666667,768.0,2048.0,0.0,663.12,70.96,70.96,31.653333333333332,23.653333333333332,0.0,0.0,8.0,0.0
5.0,OMP,baseline,0.41992905910919653,0.6335597285729668,0.510625,0.510625,0.0,0.0011621139631218587,16.0,16.0,1.598907590570252,7.83,7.83,0.00045120726485038177,1.0,0.0,0.0,2.0409539152369733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.765354869964843e-05,0.0001266567799029872,0.00045120726485038177,0.00011602712251866857,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
5.0,OMP,optimized,0.4199290590014414,0.633559728491413,0.510625,0.510625,0.0,0.0006411142637565111,16.0,16.0,1.598907590570252,7.83,7.83,0.00024967054744289875,1.0,0.0,0.0,2.0409539152369733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67429757110464e-05,2.7135514586310212e-05,0.00024967054744289875,8.549504423475203e-05,0.0001264228972043687,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
5.0,RMP,baseline,0.3183953822514194,0.5564284190858045,0.525625,0.525625,0.0,0.0011173724266700447,16.0,16.0,1.7687837976480774,7.59,7.59,0.0004336109742871486,1.0,0.0,0.0,2.059643242260664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8013057132484394e-05,4.119693490792997e-05,0.00042686526978892895,0.0001759232826589141,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
5.0,RMP,optimized,0.3183953822426837,0.5564284190800431,0.525625,0.525625,0.0,0.0005891421799121114,16.0,16.0,1.7687837977651055,7.59,7.59,0.00013366424032331756,1.0,0.0,0.0,2.059643242260664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.315467244751441e-05,3.210879605224667e-05,0.00013366424032331756,0.0001548452497809194,0.00012341863242909312,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
5.0,gOMP,baseline,0.35147326668876755,0.5812650183867152,0.5229166666666667,0.5229166666666667,0.0,0.0005451172302127816,6.0,16.0,1.6723167553868428,7.633333333333334,7.633333333333334,0.00020798688963016805,3.0,0.0,0.0,2.0910424107494734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0328304274007677e-05,8.117294365850587e-05,0.00020798688963016805,4.643644987178656e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
5.0,gOMP,optimized,0.35147326662148887,0.5812650183313938,0.5229166666666667,0.5229166666666667,0.0,0.0002760904833849054,6.0,16.0,1.6723167553868428,7.633333333333334,7.633333333333334,9.823396375092368e-05,3.0,0.0,0.0,2.0910424107494734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.681554872348594e-05,5.769819986502019e-05,9.823396375092368e-05,3.326590342718797e-05,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
10.0,Improved-gOMP,baseline,0.10060304730951841,0.3053403091781608,0.6083333333333333,0.7651843110593111,0.0,0.0018852751596811384,4.37,12.87,1.2806298389018154,3.1366666666666667,6.266666666666667,0.00014237586695041196,19.650174603174605,0.0,0.0,1.931732955075605,0.4166666666666667,0.4166666666666667,1.0,1.0,1.0,1.0,0.0,2.574421523604542e-05,0.0013450285005577219,0.00012807757297802406,3.2578856674566245e-05,8.866642630891874e-05,3285.52,768.0,2048.0,0.0,0.0,0.0,286.72,42.96,34.96,34.96,34.96,34.96,0.0
10.0,Improved-gOMP,optimized,0.0844361314415906,0.280209141866746,0.628125,0.8501372053872054,0.0,0.0009091792735368169,4.006666666666667,11.97,1.2690370778584696,1.92,5.95,0.0001039859301818069,0.0,0.0,0.0,1.863859581782587,0.22333333333333333,0.22333333333333333,0.0,0.0,1.0,0.0,1.0,2.0286493624250093e-05,0.0004859253464868137,0.00020648911047222403,3.3222150911266605e-05,3.6494609764001024e-05,4274.586666666667,768.0,2048.0,0.0,1186.96,95.76,95.76,40.053333333333335,32.053333333333335,0.0,0.0,8.0,0.0
