k,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
4,Improved-gOMP,baseline,0.014679102648573117,0.0677091702649812,0.9083333333333333,0.9166666666666666,0.6333333333333333,0.0006530979663997035,2.0,3.966666666666667,0.2144510867423327,0.3333333333333333,0.36666666666666664,3.9676300002611245e-05,11.866666666666667,0.0,0.0,1.2773342398150191,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,0.0,8.24370035843458e-06,0.00041473946585028897,2.5520567335964493e-05,1.1528233274778662e-05,0.00010352159976415957,2951.733333333333,768.0,2048.0,0.0,0.0,0.0,47.733333333333334,24.0,16.0,16.0,16.0,16.0,0.0
4,Improved-gOMP,optimized,0.0015300168581816145,0.029095585547932405,0.9416666666666667,0.975,0.7666666666666667,0.000399590733286459,1.8666666666666667,3.8666666666666667,0.18228341037639564,0.1,0.23333333333333334,3.654049978649709e-05,0.0,0.0,0.0,1.2634919766384256,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.4258999423667165e-06,0.00013164406761158413,7.168500014813617e-05,1.1887333554720196e-05,0.00012136723307776265,3044.266666666667,768.0,2048.0,0.0,120.53333333333333,30.933333333333334,30.933333333333334,22.933333333333334,14.933333333333334,0.0,0.0,8.0,0.0
4,OMP,baseline,0.0007646592137885585,0.024394041601096452,0.9666666666666667,0.9666666666666667,0.8666666666666667,0.00021812890057238595,4.0,4.0,0.17787700258817904,0.13333333333333333,0.13333333333333333,7.374696639696291e-05,1.0,0.0,0.0,1.2597218814679576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7786899964751985e-05,3.2461233543775356e-05,7.374696639696291e-05,2.5202634060406125e-05,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0
4,OMP,optimized,0.0007646592130743698,0.024394041590315916,0.9666666666666667,0.9666666666666667,0.8666666666666667,0.00016818529984448106,4.0,4.0,0.17787700258817904,0.13333333333333333,0.13333333333333333,6.182769987693367e-05,1.0,0.0,0.0,1.2597218814679576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6682765878310116e-05,7.681933614852218e-06,6.182769987693367e-05,2.076130015969587e-05,3.10660670947982e-05,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0
4,gOMP,baseline,0.009668868925051428,0.06475088460214463,0.875,0.875,0.5333333333333333,0.00012409973302662062,2.0,4.0,0.2134039015685226,0.5,0.5,4.0775200250209306e-05,3.0,0.0,0.0,1.3514456794661303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.074799916357734e-06,2.3391799913952127e-05,4.0775200250209306e-05,1.2953767024252253e-05,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0
4,gOMP,optimized,0.009668868925685985,0.0647508846046364,0.875,0.875,0.5333333333333333,8.649703352906121e-05,2.0,4.0,0.2134039015685226,0.5,0.5,2.857583288763029e-05,3.0,0.0,0.0,1.3514456794661303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5734669129208974e-06,1.783110007333259e-05,2.857583288763029e-05,9.372399896771336e-06,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0
8,Improved-gOMP,baseline,0.004023476413130378,0.05077006529753413,0.8875,0.9029761904761905,0.3333333333333333,0.0011852359338566506,2.8666666666666667,7.866666666666666,0.2626898470634394,0.7666666666666667,0.9,7.962616594644108e-05,17.7,0.0,0.0,1.5989813724682729,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.2765100109390914e-05,0.0007100646673886028,5.8303900974957896e-05,1.7359332681129065e-05,0.00024791160103632137,3073.6,768.0,2048.0,0.0,0.0,0.0,134.93333333333334,30.933333333333334,22.933333333333334,22.933333333333334,22.933333333333334,22.933333333333334,0.0
8,Improved-gOMP,optimized,0.004034952169931956,0.0563141881724083,0.8666666666666667,0.875,0.23333333333333334,0.0005380428666588462,2.966666666666667,7.933333333333334,0.26454195606162845,1.0,1.0666666666666667,6.836786669737194e-05,0.0,0.0,0.0,1.6649082275069707,0.03333333333333333,0.03333333333333333,0.0,0.0,1.0,0.0,1.0,1.288920029764995e-05,0.0002935747341931953,0.0001273142671076736,2.1354833249157914e-05,4.664400451777813e-06,3510.9333333333334,768.0,2048.0,0.0,504.53333333333336,63.46666666666667,63.46666666666667,31.733333333333334,23.733333333333334,0.0,0.0,8.0,0.0
8,OMP,baseline,0.0018377628242847181,0.039055165226694714,0.9291666666666667,0.9291666666666667,0.5333333333333333,0.0004247464670091479,8.0,8.0,0.23873874153034558,0.5666666666666667,0.5666666666666667,0.000149117568435031,1.0,0.0,0.0,1.5550262127273375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31749996500245e-05,5.219326643176222e-05,0.000149117568435031,4.696443259793644e-05,0.0,3240.0,768.0,2048.0,0.0,0.0,0.0,288.0,72.0,0.0,0.0,0.0,64.0,0.0
8,OMP,optimized,0.0018377628244298473,0.03905516523016274,0.9291666666666667,0.9291666666666667,0.5333333333333333,0.0002747398668968041,8.0,8.0,0.23873874153034558,0.5666666666666667,0.5666666666666667,0.00010135953258820034,1.0,0.0,0.0,1.5550262127273375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.224193205824122e-05,1.2924867648204479e-05,0.00010135953258820034,3.545790107940168e-05,5.2721200336236504e-05,1744.0,768.0,0.0,256.0,512.0,64.0,64.0,72.0,0.0,0.0,0.0,8.0,0.0
