k,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
4,Improved-gOMP,baseline,0.009259491401539234,0.030179482811436214,0.9333333333333333,0.9388888888888889,0.7666666666666667,0.0006382182667948655,2.0,3.966666666666667,0.0615937556203559,0.23333333333333334,0.26666666666666666,4.116046663208787e-05,11.966666666666667,0.0,0.0,1.2938722058254826,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,0.0,8.028600010826873e-06,0.0004018944999794864,2.640543358817619e-05,1.0412533386746266e-05,0.00010132466692690893,2951.733333333333,768.0,2048.0,0.0,0.0,0.0,47.733333333333334,24.0,16.0,16.0,16.0,16.0,0.0
4,Improved-gOMP,optimized,0.04338851640306678,0.16387033510045995,0.6916666666666667,0.9222222222222223,0.0,0.00046815293329321626,2.0,3.0,0.30110165900588876,0.23333333333333334,1.2333333333333334,3.323286673548864e-05,0.0,0.0,0.0,1.2067481513096194,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.69453326938674e-06,0.00033910786672398295,5.704430010761522e-05,1.0846533344495886e-05,1.034266582185713e-06,2984.0,768.0,2048.0,0.0,72.0,24.0,24.0,24.0,16.0,0.0,0.0,8.0,0.0
4,OMP,baseline,3.691683774166114e-31,5.467612804282534e-16,1.0,1.0,1.0,0.00020402166671071125,4.0,4.0,1.1322414911838538e-15,0.0,0.0,6.993323362015265e-05,1.0,0.0,0.0,1.268479162599671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6816066696871228e-05,2.8687233195038666e-05,6.993323362015265e-05,2.3484299951329983e-05,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0
4,OMP,optimized,1.108517347969407e-20,1.0483550193625276e-10,1.0,1.0,1.0,0.00018800653300180177,4.0,4.0,2.0434327632920358e-10,0.0,0.0,6.532099966231424e-05,1.0,0.0,0.0,1.268479162599671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.062820003629895e-05,9.206699845284068e-06,6.532099966231424e-05,2.3754066751280335e-05,3.412003328170007e-05,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0
4,gOMP,baseline,0.009384970522676723,0.05263223908050634,0.85,0.85,0.4666666666666667,0.00011834603319584857,2.0,4.0,0.10270477087660743,0.6,0.6,3.7712800197671946e-05,3.0,0.0,0.0,1.3991748714406376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.294899816974067e-06,2.2893733391053198e-05,3.7712800197671946e-05,1.214353366473612e-05,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0
4,gOMP,optimized,0.009384970523619198,0.0526322391315795,0.85,0.85,0.4666666666666667,8.397530000365805e-05,2.0,4.0,0.10270477096789916,0.6,0.6,2.539363316221473e-05,3.0,0.0,0.0,1.3991748714406376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.676499990338925e-06,1.741780009372936e-05,2.539363316221473e-05,8.45399996857547e-06,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0
8,Improved-gOMP,baseline,0.0019369664508844297,0.024619400411858575,0.9125,0.9125,0.4,0.0011773087000013524,3.0,8.0,0.05780302792264364,0.7,0.7,7.222316665623414e-05,17.477777777777778,0.0,0.0,1.650755517658505,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4638299944635946e-05,0.0007118912000805722,5.3212033526506276e-05,1.6588332861526094e-05,0.00023961733356069696,3086.133333333333,768.0,2048.0,0.0,0.0,0.0,142.13333333333333,32.0,24.0,24.0,24.0,24.0,0.0
8,Improved-gOMP,optimized,0.0066410143095169604,0.05765038967067983,0.8416666666666667,0.8416666666666667,0.16666666666666666,0.0008629334999568528,3.0,8.0,0.1370974445954225,1.2666666666666666,1.2666666666666666,6.894933345999258e-05,0.0,0.0,0.0,1.6556729463210564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2510633132478688e-05,0.0005398330001601911,0.00010110236659481113,1.7406233079479232e-05,0.00010738689998106566,3520.0,768.0,2048.0,0.0,512.0,64.0,64.0,32.0,24.0,0.0,0.0,8.0,0.0
8,OMP,baseline,2.8066876171179082e-30,1.2060992502912673e-15,1.0,1.0,1.0,0.0003927140665230885,8.0,8.0,3.4890186576047827e-15,0.0,0.0,0.00013469603333457296,1.0,0.0,0.0,1.552773819267993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.386263397260336e-05,5.04214333583756e-05,0.00013469603333457296,4.4297234004867884e-05,0.0,3240.0,768.0,2048.0,0.0,0.0,0.0,288.0,72.0,0.0,0.0,0.0,64.0,0.0
8,OMP,optimized,1.2850463301133608e-20,1.121998211539102e-10,1.0,1.0,1.0,0.0002590012333409201,8.0,8.0,2.9193149344819535e-10,0.0,0.0,9.806450040438601e-05,1.0,0.0,0.0,1.552773819267993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9447767034677477e-05,1.170753348560538e-05,9.806450040438601e-05,3.265403368762539e-05,5.013209962877833e-05,1744.0,768.0,0.0,256.0,512.0,64.0,64.0,72.0,0.0,0.0,0.0,8.0,0.0
