k,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
4,Improved-gOMP,baseline,0.0032121589184359537,0.016095706839543835,0.9608333333333333,0.9616666666666667,0.8433333333333334,0.0008246312264236106,2.0,3.9966666666666666,0.029186850240786547,0.15333333333333332,0.15666666666666668,5.290684406645507e-05,12.36,0.0,0.0,1.2343666001992046,0.9966666666666667,0.9966666666666667,1.0,1.0,1.0,1.0,0.0,1.135371407144703e-05,0.0005135623270567634,3.21361672831697e-05,1.4188687200658024e-05,0.000134752089652417,3207.9733333333334,1024.0,2048.0,0.0,0.0,0.0,47.973333333333336,24.0,16.0,16.0,16.0,16.0,0.0
4,Improved-gOMP,optimized,0.0001794543088385163,0.004206469833412127,0.9633333333333334,0.9633333333333334,0.8533333333333334,0.0005234547596288524,2.0,4.0,0.00768942575600476,0.14666666666666667,0.14666666666666667,4.646612918198307e-05,0.0,0.0,0.0,1.2381977276501852,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.1315226438455283e-05,0.00016751322730361966,8.324396990549259e-05,1.8010442775751775e-05,0.000175508210328744,3312.0,1024.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0
4,OMP,baseline,1.6487721896279752e-30,7.463512815871066e-16,1.0,1.0,1.0,0.000257735913667853,4.0,4.0,1.4309142103885016e-15,0.0,0.0,8.35837094928068e-05,1.0,0.0,0.0,1.216322103640647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2768697284239462e-05,3.792842268012407e-05,8.35837094928068e-05,3.337318164994894e-05,0.0,3224.0,1024.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0
4,OMP,optimized,1.0705411904993574e-20,1.0303216118852638e-10,1.0,1.0,1.0,0.000186433443741358,4.0,4.0,1.8291418971027497e-10,0.0,0.0,6.541419289229877e-05,1.0,0.0,0.0,1.216322103640647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1420993628756224e-05,9.42077380993093e-06,6.541419289229877e-05,2.142016281140968e-05,3.278464292331278e-05,1520.0,1024.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0
4,gOMP,baseline,0.005792663013358636,0.03875893331533306,0.8941666666666667,0.8941666666666667,0.6066666666666667,0.00014578749687638634,2.0,4.0,0.06906861911703907,0.42333333333333334,0.42333333333333334,4.3509430203508335e-05,3.0,0.0,0.0,1.2876449429257038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1580083179675512e-05,2.9195423412602032e-05,4.3509430203508335e-05,1.546091720229007e-05,0.0,3424.0,1024.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0
4,gOMP,optimized,0.005792663013579439,0.038758933377436765,0.8941666666666667,0.8941666666666667,0.6066666666666667,0.00010479533341517794,2.0,4.0,0.06906861922539681,0.42333333333333334,0.42333333333333334,3.1588875960247734e-05,3.0,0.0,0.0,1.2876449429257038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1454126797616481e-05,2.338031985952162e-05,3.1588875960247734e-05,1.003302342724055e-05,0.0,1344.0,1024.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0
8,Improved-gOMP,baseline,0.0006332645384536216,0.009771046045649755,0.96,0.96,0.7066666666666667,0.0015237474596748245,3.0,8.0,0.024406185740247444,0.32,0.32,9.279861604832729e-05,17.95777777777778,0.0,0.0,1.4942543788863156,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.878194709812912e-05,0.0009135456275543643,6.812332590925264e-05,2.3167696053860583e-05,0.0003102281969040143,3342.16,1024.0,2048.0,0.0,0.0,0.0,142.16,32.0,24.0,24.0,24.0,24.0,0.0
8,Improved-gOMP,optimized,0.0008739430420954436,0.014400089012877808,0.9391666666666667,0.9391666666666667,0.55,0.0006338835002679353,3.0,8.0,0.03764438094398042,0.4866666666666667,0.4866666666666667,7.437968005736173e-05,0.0,0.0,0.0,1.503314341059016,0.2,0.2,0.0,0.0,1.0,0.0,1.0,1.679698534038228e-05,0.000325438519891222,0.00013981772329614466,2.7254106098553165e-05,2.7315646875639763e-05,3776.0,1024.0,2048.0,0.0,512.0,64.0,64.0,32.0,24.0,0.0,0.0,8.0,0.0
8,OMP,baseline,2.2262641266180838e-30,1.125100911551445e-15,1.0,1.0,1.0,0.00051789234295327,8.0,8.0,3.139058776184876e-15,0.0,0.0,0.00017682598593329302,1.0,0.0,0.0,1.4551550447222255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.356513018137727e-05,6.42779459788753e-05,0.00017682598593329302,6.507848117810618e-05,0.0,3496.0,1024.0,2048.0,0.0,0.0,0.0,288.0,72.0,0.0,0.0,0.0,64.0,0.0
8,OMP,optimized,1.2068092852083426e-20,1.0912934714013919e-10,1.0,1.0,1.0,0.00032987550352113303,8.0,8.0,2.81710156781696e-10,0.0,0.0,0.00011885145358969905,1.0,0.0,0.0,1.4551550447222255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.041151007792471e-05,1.542045686316366e-05,0.00011885145358969905,4.0950082960382846e-05,6.312835364951498e-05,2000.0,1024.0,0.0,256.0,512.0,64.0,64.0,72.0,0.0,0.0,0.0,8.0,0.0
8,gOMP,baseline,0.0009615281300979495,0.01651145680722538,0.9275,0.9275,0.4766666666666667,0.00024503248016112034,3.0,8.0,0.04302032926928218,0.58,0.58,7.92227840186822e-05,3.0,0.0,0.0,1.5110030070808786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7839712818386033e-05,4.431002293131253e-05,7.92227840186822e-05,2.4974073700528894e-05,0.0,3520.0,1024.0,2048.0,256.0,0.0,0.0,136.0,32.0,0.0,0.0,0.0,24.0,0.0
8,gOMP,optimized,0.000961528130159464,0.01651145685916761,0.9275,0.9275,0.4766666666666667,0.000148993077164003,3.0,8.0,0.0430203293990119,0.58,0.58,4.802532678392362e-05,3.0,0.0,0.0,1.5110030070808786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.576958646182902e-05,3.0735167141150065e-05,4.802532678392362e-05,1.5902360852730134e-05,0.0,1384.0,1024.0,0.0,256.0,0.0,0.0,64.0,32.0,0.0,0.0,0.0,8.0,0.0
