k,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
4,Improved-gOMP,baseline,0.011263819699480994,0.03580827110558656,0.95,0.9555555555555556,0.8333333333333334,0.0007221181999436037,2.0,3.966666666666667,0.06503101696932673,0.16666666666666666,0.2,4.7618599637644365e-05,11.733333333333333,0.0,0.0,1.2849882021899326,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,0.0,9.602033363383574e-06,0.0004430649329151493,2.9071599662226315e-05,1.099030026428712e-05,0.00011990859978444253,2823.733333333333,640.0,2048.0,0.0,0.0,0.0,47.733333333333334,24.0,16.0,16.0,16.0,16.0,0.0
4,Improved-gOMP,optimized,0.002315985232810396,0.016905092308558616,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.00046596440006396733,2.0,4.0,0.0312174564052445,0.26666666666666666,0.26666666666666666,3.957830025077177e-05,0.0,0.0,0.0,1.3032651183407835,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.261832868408722e-06,0.00014567823345714714,7.648136706848164e-05,1.4878767251502722e-05,0.00015880329980670163,2928.0,640.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0
4,OMP,baseline,2.8701577893042084e-30,8.144080629721262e-16,1.0,1.0,1.0,0.00021600016674104457,4.0,4.0,1.5645832128088289e-15,0.0,0.0,7.183123343565967e-05,1.0,0.0,0.0,1.2596540943912082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7087000499789914e-05,3.186843411337274e-05,7.183123343565967e-05,2.5271066745820767e-05,0.0,2840.0,640.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0
4,OMP,optimized,1.2065174589531161e-20,1.0938046848091309e-10,1.0,1.0,1.0,0.00016902773240872192,4.0,4.0,1.9692277189482846e-10,0.0,0.0,6.292099957742418e-05,1.0,0.0,0.0,1.2596540943912082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.692696617586383e-05,7.991233966701353e-06,6.292099957742418e-05,2.0193166831935136e-05,2.986516653133246e-05,1136.0,640.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0
4,gOMP,baseline,0.02331151262935521,0.09698436529167224,0.8166666666666667,0.8166666666666667,0.4,0.00012640720039295653,2.0,4.0,0.1812263383305508,0.7333333333333333,0.7333333333333333,3.811229980783537e-05,3.0,0.0,0.0,1.3966564376281836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.779933124159773e-06,2.6720000096247532e-05,3.811229980783537e-05,1.277016647994363e-05,0.0,3040.0,640.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0
4,gOMP,optimized,0.023311512631431223,0.09698436533935076,0.8166666666666667,0.8166666666666667,0.4,8.547843317501247e-05,2.0,4.0,0.18122633840114769,0.7333333333333333,0.7333333333333333,2.6990000454437297e-05,3.0,0.0,0.0,1.3966564376281836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.650599582120775e-06,1.8387733750084104e-05,2.6990000454437297e-05,8.7697000708431e-06,0.0,960.0,640.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0
8,Improved-gOMP,baseline,0.004136363817026196,0.03494466277642473,0.9083333333333333,0.9083333333333333,0.36666666666666664,0.0011079335998753473,3.0,8.0,0.08543707291042947,0.7333333333333333,0.7333333333333333,7.507813364403167e-05,17.144444444444446,0.0,0.0,1.7384851453022454,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.1791633611816603e-05,0.0006630838991744289,5.237440066897155e-05,1.7681966589104074e-05,0.00022510413279330048,2956.266666666667,640.0,2048.0,0.0,0.0,0.0,140.26666666666668,32.0,24.0,24.0,24.0,24.0,0.0
8,Improved-gOMP,optimized,0.0019222419158183735,0.02712688720953057,0.9,0.9,0.36666666666666664,0.00050177190011406,3.0,8.0,0.06567113006809092,0.8,0.8,5.80374999117339e-05,0.0,0.0,0.0,1.705363154267094,0.26666666666666666,0.26666666666666666,0.0,0.0,1.0,0.0,1.0,1.1599333568786581e-05,0.0002572264006933741,0.00010848136650262555,1.8272733844545048e-05,2.8712066705338656e-05,3392.0,640.0,2048.0,0.0,512.0,64.0,64.0,32.0,24.0,0.0,0.0,8.0,0.0
8,OMP,baseline,4.5465179009365606e-30,1.6144619146454098e-15,1.0,1.0,1.0,0.00038862066673270117,8.0,8.0,4.509191874722082e-15,0.0,0.0,0.00013620536835029878,1.0,0.0,0.0,1.6258044666825329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.135749927120439e-05,5.076259888786202e-05,0.00013620536835029878,4.2794000304032424e-05,0.0,3112.0,640.0,2048.0,0.0,0.0,0.0,288.0,72.0,0.0,0.0,0.0,64.0,0.0
8,OMP,optimized,1.2545325013739562e-20,1.1140371550450415e-10,1.0,1.0,1.0,0.0002835952002593937,8.0,8.0,2.8005682402311674e-10,0.0,0.0,0.00010938843370240647,1.0,0.0,0.0,1.6258044666825329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9871432949827674e-05,1.2058966118881169e-05,0.00010938843370240647,3.486293220097044e-05,5.8992697692398606e-05,1616.0,640.0,0.0,256.0,512.0,64.0,64.0,72.0,0.0,0.0,0.0,8.0,0.0
