k,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
4,Improved-gOMP,baseline,0.005923660234711024,0.02579150994763298,0.9441666666666667,0.9475,0.7766666666666666,0.0007353086035193677,2.0,3.986666666666667,0.044532297891894966,0.21,0.22333333333333333,4.8333030523886064e-05,11.97,0.0,0.0,1.2838549962918417,0.9866666666666667,0.9866666666666667,1.0,1.0,1.0,1.0,0.0,9.458089480176567e-06,0.00045636531348761935,3.082274687282427e-05,1.2822589245236789e-05,0.00011914826332937186,2951.8933333333334,768.0,2048.0,0.0,0.0,0.0,47.89333333333333,24.0,16.0,16.0,16.0,16.0,0.0
4,Improved-gOMP,optimized,0.0007566538241619772,0.009096449010983743,0.9491666666666667,0.9491666666666667,0.8166666666666667,0.00047823919623619536,2.0,4.0,0.017351478429057397,0.20333333333333334,0.20333333333333334,4.257989979426595e-05,0.0,0.0,0.0,1.2879380373774474,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.289696026826278e-06,0.00015329856328505798,7.783001109297451e-05,1.5299313187521365e-05,0.0001624896535940462,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0
4,OMP,baseline,1.8480287317483014e-30,7.964597602702107e-16,1.0,1.0,1.0,0.00023122564317110234,4.0,4.0,1.5013384817193102e-15,0.0,0.0,7.535483979153876e-05,1.0,0.0,0.0,1.2542293088070036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9128148075348387e-05,3.600805357564159e-05,7.535483979153876e-05,2.6817642453049e-05,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0
4,OMP,optimized,1.1035418057007905e-20,1.0442424699603477e-10,1.0,1.0,1.0,0.00017294929018433366,4.0,4.0,1.9421703697366939e-10,0.0,0.0,6.196042425775109e-05,1.0,0.0,0.0,1.2542293088070036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7842927142434443e-05,8.929376538920527e-06,6.196042425775109e-05,2.010062943251493e-05,3.0745234156104714e-05,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0
4,gOMP,baseline,0.011309861307340604,0.05974428881194354,0.8525,0.8525,0.49333333333333335,0.00012726780997274046,2.0,4.0,0.11188484242397069,0.59,0.59,3.8817371047722656e-05,3.0,0.0,0.0,1.3673848228704535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.178859666765978e-06,2.738133286281136e-05,3.8817371047722656e-05,1.2475406547309831e-05,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0
4,gOMP,optimized,0.011309861308193054,0.0597442888639487,0.8525,0.8525,0.49333333333333335,9.469305650174939e-05,2.0,4.0,0.11188484251434362,0.59,0.59,2.9598546049479657e-05,3.0,0.0,0.0,1.3673848228704535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.825350475187103e-06,2.0568126443928577e-05,2.9598546049479657e-05,9.578546499445414e-06,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0
8,Improved-gOMP,baseline,0.0015697959352884232,0.017006375376071584,0.94375,0.94375,0.6166666666666667,0.0013840151332260044,3.0,8.0,0.042541715079716394,0.45,0.45,8.807313221040221e-05,17.38,0.0,0.0,1.6059554198345374,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.534336319309659e-05,0.0008144155436214306,6.480888623627509e-05,2.173270739149214e-05,0.00029379020381985633,3086.266666666667,768.0,2048.0,0.0,0.0,0.0,142.26666666666668,32.0,24.0,24.0,24.0,24.0,0.0
8,Improved-gOMP,optimized,0.002631487498107023,0.029227856397471365,0.9166666666666666,0.9166666666666666,0.43333333333333335,0.0006106235371164776,3.0,8.0,0.07321079774191291,0.6666666666666666,0.6666666666666666,7.104215716632389e-05,0.0,0.0,0.0,1.632969286289389,0.16666666666666666,0.16666666666666666,0.0,0.0,1.0,0.0,1.0,1.5103763823087017e-05,0.00031914497817822564,0.00013632032253852318,2.3981719956888285e-05,2.236099976773988e-05,3520.0,768.0,2048.0,0.0,512.0,64.0,64.0,32.0,24.0,0.0,0.0,8.0,0.0
8,OMP,baseline,2.2907983907968588e-30,1.1704691701457876e-15,1.0,1.0,1.0,0.00047407197673838636,8.0,8.0,3.285302665001423e-15,0.0,0.0,0.00016539580135329466,1.0,0.0,0.0,1.5504339760319779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.819125631707688e-05,6.217690344783256e-05,0.00016539580135329466,5.526771958102299e-05,0.0,3240.0,768.0,2048.0,0.0,0.0,0.0,288.0,72.0,0.0,0.0,0.0,64.0,0.0
8,OMP,optimized,1.2446153254181326e-20,1.1065580466011532e-10,1.0,1.0,1.0,0.00030797607343018333,8.0,8.0,2.8473028451348843e-10,0.0,0.0,0.0001144374197853105,1.0,0.0,0.0,1.5504339760319779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.227930656673063e-05,1.5502496341165777e-05,0.0001144374197853105,3.948468307498808e-05,5.935213649839337e-05,1744.0,768.0,0.0,256.0,512.0,64.0,64.0,72.0,0.0,0.0,0.0,8.0,0.0
