k,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
4,0.00012409973302662062,0.009668868925051428,0.875,0.875,0.5333333333333333,8.649703352906121e-05,0.009668868925685985,0.875,0.875,0.5333333333333333,1.4347281977586628,6.345566433418881e-13,0.0,0.0,0.0
8,0.000187717533238659,0.004029295247510487,0.8666666666666667,0.8666666666666667,0.23333333333333334,0.00011893626675979855,0.004029295247356042,0.8666666666666667,0.8666666666666667,0.23333333333333334,1.5783035599878865,-1.544450331514291e-13,0.0,0.0,0.0
12,0.0002898445662140148,0.005413369817901638,0.8805555555555556,0.8805555555555556,0.16666666666666666,0.0001732452999325081,0.005413369817851485,0.8805555555555556,0.8805555555555556,0.16666666666666666,1.673029896493185,-5.015345777570346e-14,0.0,0.0,0.0
16,0.0004909406998194754,0.007585107740940853,0.8604166666666667,0.8604166666666667,0.0,0.00024271639971023735,0.0075851077414693805,0.8604166666666667,0.8604166666666667,0.0,2.0226927410161664,5.285277424049717e-13,0.0,0.0,0.0
20,0.0005736154002079274,0.007923613045390234,0.865,0.865,0.0,0.0002864461333956569,0.007923613043465123,0.865,0.865,0.0,2.00252450053363,-1.9251111121887376e-12,0.0,0.0,0.0
24,0.0007186260000404825,0.03433735338299256,0.7958333333333333,0.7958333333333333,0.0,0.00034019780020268323,0.03433735338134796,0.7958333333333333,0.7958333333333333,0.0,2.1123769748432797,-1.64460112195286e-12,0.0,0.0,0.0
28,0.0010816469662434732,0.026218165690906244,0.7833333333333333,0.7833333333333333,0.0,0.00045342810032404185,0.026218165691365945,0.7833333333333333,0.7833333333333333,0.0,2.3854872811598473,4.597017211338539e-13,0.0,0.0,0.0
32,0.0013396643005156269,0.07812987412550228,0.7197916666666667,0.7197916666666667,0.0,0.0004943660329445265,0.07812987411317364,0.7197916666666667,0.7197916666666667,0.0,2.709863160574287,-1.2328638110403745e-11,0.0,0.0,0.0
36,0.0015138306336060245,0.15098769331126582,0.6398148148148147,0.6398148148148147,0.0,0.0005456684670207323,0.15098769328143435,0.6398148148148147,0.6398148148148147,0.0,2.774268122677698,-2.983147062707303e-11,0.0,0.0,0.0
40,0.0020399069666988605,0.18620218542871578,0.6116666666666667,0.6116666666666667,0.0,0.0006104175333651559,0.18620218538491326,0.6116666666666667,0.6116666666666667,0.0,3.341822367803079,-4.3802517168956e-11,0.0,0.0,0.0
