k,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
4,0.0006530979663997035,0.014679102648573117,0.9083333333333333,0.9166666666666666,0.6333333333333333,0.000399590733286459,0.0015300168581816145,0.9416666666666667,0.975,0.7666666666666667,1.6344171973865818,-0.013149085790391502,0.033333333333333326,0.05833333333333335,0.13333333333333341
8,0.0011852359338566506,0.004023476413130378,0.8875,0.9029761904761905,0.3333333333333333,0.0005380428666588462,0.004034952169931956,0.8666666666666667,0.875,0.23333333333333334,2.2028652497834647,1.1475756801578377e-05,-0.02083333333333326,-0.027976190476190488,-0.09999999999999998
12,0.0014355588332061113,0.003998072694481539,0.8833333333333333,0.9171717171717172,0.1,0.0008462209663169536,0.0033444437754490924,0.8972222222222223,0.9473063973063973,0.2,1.6964349624355917,-0.0006536289190324468,0.01388888888888895,0.030134680134680125,0.1
16,0.002199770633645433,0.006396201780059957,0.84375,0.8770192307692307,0.06666666666666667,0.0010956773669022369,0.005950163934262698,0.8479166666666667,0.9191132478632479,0.03333333333333333,2.00768100181238,-0.0004460378457972593,0.004166666666666652,0.042094017094017167,-0.03333333333333333
20,0.0031077781667894063,0.012693536551653953,0.8183333333333334,0.8661523907808738,0.0,0.001450473266595509,0.008164664290538233,0.8433333333333334,0.9220510835913313,0.0,2.142595963925523,-0.004528872261115721,0.025000000000000022,0.05589869281045745,0.0
24,0.004090826033522414,0.05171867974787201,0.75,0.7801104209799862,0.0,0.001756025233771652,0.014257680228512997,0.825,0.8953551148402407,0.0,2.329594105396763,-0.037460999519359016,0.07499999999999996,0.11524469386025449,0.0
28,0.005165797966522708,0.05204494170852667,0.7095238095238094,0.7632903639570306,0.0,0.0019610036665350587,0.02340323494382851,0.7547619047619047,0.8582012743027236,0.0,2.634262268183451,-0.028641706764698162,0.0452380952380953,0.09491091034569299,0.0
32,0.007184170933517938,0.1692441998923612,0.628125,0.6614096214058672,0.0,0.0024594549997952225,0.08169294517226891,0.7041666666666667,0.7800768468399875,0.0,2.9210418300461285,-0.08755125472009229,0.07604166666666667,0.11866722543412023,0.0
36,0.009052969633315418,0.23079545185521824,0.575925925925926,0.6068507824417168,0.0,0.0028136526330248064,0.15833813953177117,0.6175925925925926,0.694272560228947,0.0,3.217515029061373,-0.07245731232344707,0.04166666666666663,0.08742177778723026,0.0
40,0.01090775793333402,0.23898069889933848,0.5508333333333333,0.5921702610412288,0.0,0.003053030266285835,0.17377401981443114,0.5833333333333334,0.6639551896197761,0.0,3.5727644281115682,-0.06520667908490735,0.032500000000000084,0.07178492857854724,0.0
