k,baseline_runtime_sec,baseline_nmse,baseline_support_recall,baseline_support_precision,baseline_exact_support_recovery,optimized_runtime_sec,optimized_nmse,optimized_support_recall,optimized_support_precision,optimized_exact_support_recovery,speedup_ratio,nmse_delta,support_recall_delta,support_precision_delta,exact_support_recovery_delta
4,0.0002509590139379725,0.0006767672063043701,0.9558333333333333,0.9558333333333333,0.8266666666666667,0.000189240076385128,0.0006767672057996246,0.9558333333333333,0.9558333333333333,0.8266666666666667,1.3261409461029727,-5.047454424908504e-13,0.0,0.0,0.0
8,0.000477015242552928,0.0016870860015538076,0.93125,0.93125,0.58,0.00032078772307916854,0.0016870860014274447,0.93125,0.93125,0.58,1.4870121523796702,-1.2636289584144755e-13,0.0,0.0,0.0
12,0.0007718973839170455,0.0028925090239406977,0.92,0.92,0.36666666666666664,0.0004702754997803519,0.0028925090231366997,0.92,0.92,0.36666666666666664,1.6413727363589425,-8.039979272622677e-13,0.0,0.0,0.0
16,0.001132768653721238,0.004706545781203478,0.9058333333333334,0.9058333333333334,0.16666666666666666,0.0006247582928820824,0.004706545780326512,0.9058333333333334,0.9058333333333334,0.16666666666666666,1.8131310406391647,-8.769660345131491e-13,0.0,0.0,0.0
20,0.001627007299878945,0.007433904206490296,0.8820000000000001,0.8820000000000001,0.06333333333333334,0.000843808596158245,0.007433904204614176,0.8820000000000001,0.8820000000000001,0.06333333333333334,1.9281710417344713,-1.8761199191419387e-12,0.0,0.0,0.0
24,0.002107208093511872,0.015055397478240744,0.8604166666666667,0.8604166666666667,0.02,0.0009895310966627827,0.01505539747421412,0.8604166666666667,0.8604166666666667,0.02,2.129501640341048,-4.026624519926081e-12,0.0,0.0,0.0
28,0.0028202118300638783,0.0425986348197217,0.8141666666666667,0.8141666666666667,0.0033333333333333335,0.0012045771773652328,0.04259863481281146,0.8141666666666667,0.8141666666666667,0.0033333333333333335,2.3412462755043366,-6.9102362720840915e-12,0.0,0.0,0.0
32,0.003590850519637267,0.07431475781782813,0.7635416666666667,0.7635416666666667,0.0,0.0013825288265555476,0.07431475779984806,0.7635416666666667,0.7635416666666667,0.0,2.5973060746831327,-1.7980075761592218e-11,0.0,0.0,0.0
36,0.004658722452926062,0.19107519174181384,0.6519444444444444,0.6519444444444444,0.0,0.001687747323740041,0.19107519168864417,0.6519444444444444,0.6519444444444444,0.0,2.7603198579526422,-5.3169663116747756e-11,0.0,0.0,0.0
40,0.005805372353400647,0.3161724917759566,0.5683333333333334,0.5683333333333334,0.0,0.00190763279281479,0.3161724916611918,0.5683333333333334,0.5683333333333334,0.0,3.0432336743564696,-1.147647532562246e-10,0.0,0.0,0.0
