trial,ablation_variant,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0,full_suite,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.0011471490365576138,0.0338695886682672,0.875,0.875,0,0.0005496790108736604,6,16.0,0.11877488989917646,target_sparsity_reached,2,2,0.00016280099225696176,3.0,True,,0,0,2.287049985091248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,3.839096461888403e-05,0.00013103798846714199,0.00016280099225696176,4.2790023144334555e-05,0.0
0,full_suite,gOMP+AdaptiveScreen,optimized,gOMP+AdaptiveScreen (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.0003470234622511329,0.01862856575936894,0.9375,0.9375,0,0.0022573720052605495,6,16.0,0.06816653256405762,target_sparsity_reached,1,1,0.0004151119792368263,0.0,False,,0,0,2.149230853897987,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,0.0,0.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,3.197997284587473e-05,0.0007869120017858222,0.00036349402216728777,7.858798198867589e-05,0.0007718920096522197
0,full_suite,gOMP+IncrementalSolver,optimized,gOMP+IncrementalSolver (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.0003470234622511329,0.01862856575936894,0.9375,0.9375,0,0.0022892650013091043,6,16.0,0.06816653256405762,target_sparsity_reached,1,1,0.00022247000015340745,0.0,True,,0,0,2.149230853897987,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,3.4900003811344504e-05,0.0009613690053811297,0.0005281580233713612,6.707600550726056e-05,0.0004831050173379481
0,full_suite,gOMP+NoiseAwareStop,optimized,gOMP+NoiseAwareStop (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.0003470234622511329,0.01862856575936894,0.9375,0.9375,0,0.0013866740046069026,6,16.0,0.06816653256405762,target_sparsity_reached,1,1,0.00024205500085372478,0.0,False,,0,0,2.149230853897987,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,0.0,0.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,2.787700213957578e-05,0.000612828996963799,0.00020874397887382656,4.007901588920504e-05,0.00033439500839449465
0,full_suite,gOMP+Adaptive+Incremental,optimized,gOMP+Adaptive+Incremental (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.0003470234622511329,0.01862856575936894,0.9375,0.9375,0,0.001618559006601572,6,16.0,0.06816653256405762,target_sparsity_reached,1,1,0.00013615700299851596,0.0,True,,0,0,2.149230853897987,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,2.606400812510401e-05,0.0006138329918030649,0.00023550998594146222,4.0835991967469454e-05,0.000556275001144968
0,full_suite,gOMP+Adaptive+NoiseAware,optimized,gOMP+Adaptive+NoiseAware (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.0003470234622511329,0.01862856575936894,0.9375,0.9375,0,0.001518538992968388,6,16.0,0.06816653256405762,target_sparsity_reached,1,1,0.0002921339910244569,0.0,False,,0,0,2.149230853897987,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,0.0,0.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,2.7593006961978972e-05,0.0006669259892078117,0.0002531189820729196,4.6730972826480865e-05,0.0003640030190581456
0,full_suite,gOMP+Incremental+NoiseAware,optimized,gOMP+Incremental+NoiseAware (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.0003470234622511329,0.01862856575936894,0.9375,0.9375,0,0.001512870003352873,6,16.0,0.06816653256405762,target_sparsity_reached,1,1,0.00013334298273548484,0.0,True,,0,0,2.149230853897987,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,4.408899985719472e-05,0.000619282029219903,0.00022975400497671217,4.144899139646441e-05,0.0004162039840593934
0,full_suite,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.0003470234622511329,0.01862856575936894,0.9375,0.9375,0,0.0016907069948501885,6,16.0,0.06816653256405762,target_sparsity_reached,1,1,0.00013414901331998408,0.0,True,,0,0,2.149230853897987,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,2.64009868260473e-05,0.0006262399983825162,0.00022799300495535135,3.846500476356596e-05,0.0005940499977441505
1,full_suite,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.574323034071491e-20,1.2547203011314877e-10,1.0,1.0,1,0.0003293619956821203,6,16.0,5.2085819943971e-10,target_sparsity_reached,0,0,0.00011498700769152492,3.0,True,,0,0,1.9585764851100715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,3.0108014470897615e-05,7.138901855796576e-05,0.00011498700769152492,3.709699376486242e-05,0.0
1,full_suite,gOMP+AdaptiveScreen,optimized,gOMP+AdaptiveScreen (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,2.9140682672744548e-30,1.7070642247069835e-15,1.0,1.0,1,0.0013349840010050684,6,16.0,8.755289445502244e-15,residual_tol,0,0,0.00028646500140894204,0.0,False,,0,0,1.9585764851100715,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,0.0,0.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,3.157596802338958e-05,0.0006652350130025297,0.00024059301358647645,4.950599395669997e-05,0.00018050200014840811
