trial,coeff_mode,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.027698694219404605,0.0031406768766053185,0.05604174226953797,0.875,0.875,0,0.001294432000577217,16,16.0,0.1974702334297402,target_sparsity_reached,2,2,0.0004917959922750015,1.0,False,,0,0,2.131843166662783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,8.73400094860699e-05,0.00014754400763195008,0.0004917959922750015,0.00011218700456083752,0.0
0,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.027698694219404605,0.0031406768756173163,0.05604174226072309,0.875,0.875,0,0.000621975999820279,16,16.0,0.19747023342974016,target_sparsity_reached,2,2,0.00025209000159520656,1.0,True,,0,0,2.131843166662783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,6.248499630601145e-05,2.7125006454298273e-05,0.00025209000159520656,8.469200838590041e-05,0.00011758099935832433
0,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.027698694219404605,0.001964464670142367,0.04432228186975899,0.875,0.875,0,0.00062971100123832,6,16.0,0.20787160555848858,target_sparsity_reached,2,2,0.000269078002020251,3.0,False,,0,0,2.311535574225285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.983499871334061e-05,8.355700265383348e-05,0.000269078002020251,5.845300984219648e-05,0.0
0,gaussian,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,20.0,0.027698694219404605,0.001964464672485665,0.04432228189619376,0.875,0.875,0,0.0003226369990443345,6,16.0,0.2078716055584886,target_sparsity_reached,2,2,0.00013906099775340408,3.0,True,,0,0,2.311535574225285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,2.6222991436952725e-05,6.12840049143415e-05,0.00013906099775340408,3.456400372670032e-05,0.0
0,gaussian,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,20.0,0.027698694219404605,0.03192754516415583,0.17868280601153494,0.6875,0.6875,0,0.0023922820000734646,6,16.0,0.42223919498685275,target_sparsity_reached,5,5,0.00018767900110105984,17.5,False,,0,0,2.5074096764975033,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3528.0,768.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,2.8800994186894968e-05,0.0016942680085776374,0.00015398600589833222,3.462700260570273e-05,0.00014722500418429263
0,gaussian,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,20.0,0.027698694219404605,0.0019644646724856748,0.04432228189619387,0.875,0.875,0,0.0011645310005405918,6,16.0,0.20787160555848855,target_sparsity_reached,2,2,0.00013305700122145936,0.0,True,,0,0,2.3115355742252857,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,2.7218997274758294e-05,0.0005940559967712034,0.00022487899332190864,5.2382994908839464e-05,0.0001199549951707013
1,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.05265518727868063,0.0031653421989210123,0.056261373951593224,0.9375,0.9375,0,0.0009305399980803486,16,16.0,0.460598875041111,target_sparsity_reached,1,1,0.0003739640051207971,1.0,False,,0,0,2.233319722987864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,5.638400762109086e-05,9.733199112815782e-05,0.0003739640051207971,8.436200369033031e-05,0.0
1,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.05265518727868063,0.0031653421978043972,0.056261373941669766,0.9375,0.9375,0,0.0005547990003833547,16,16.0,0.46059887504111086,target_sparsity_reached,1,1,0.00021699700664612465,1.0,True,,0,0,2.233319722987864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,4.966900451108813e-05,2.1693991584470496e-05,0.00021699700664612465,7.15569949534256e-05,0.0001221470047312323
1,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.05265518727868063,0.0031653421989210335,0.05626137395159341,0.9375,0.9375,0,0.00044461300058173947,6,16.0,0.46059887504111086,target_sparsity_reached,1,1,0.0001717429986456409,3.0,False,,0,0,2.233319722987864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.8990005375817418e-05,6.424200182664208e-05,0.0001717429986456409,3.384600131539628e-05,0.0
1,gaussian,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,20.0,0.05265518727868063,0.003165342197804388,0.05626137394166968,0.9375,0.9375,0,0.00023858799977460876,6,16.0,0.4605988750411108,target_sparsity_reached,1,1,8.933700155466795e-05,3.0,True,,0,0,2.233319722987864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,2.1694995666621253e-05,4.941400038660504e-05,8.933700155466795e-05,3.083499541389756e-05,0.0
1,gaussian,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,20.0,0.05265518727868063,0.0050534140122590115,0.0710873688657768,0.875,0.875,0,0.0030106640006124508,6,16.0,0.5167325939028877,target_sparsity_reached,2,2,0.00020471099924179725,17.5,False,,0,0,2.347327148230025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3552.0,768.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0,2.4923003365984187e-05,0.0020065450044057798,0.00017134500376414508,3.4849002986447886e-05,0.00046078100058366545
1,gaussian,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,20.0,0.05265518727868063,0.0015186958922637375,0.03897044896153671,0.9375,1.0,0,0.000984588001301745,5,15.0,0.48432814032010857,noise_floor,0,1,0.00011455899584689178,0.0,True,,0,0,2.0407827761322466,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4952.0,768.0,2048.0,0.0,1800.0,120.0,120.0,48.0,40.0,0.0,0.0,8.0,0.0,1.940900256158784e-05,0.0004964079962519463,0.00020071399922017008,3.0144001357257366e-05,0.00011526100206538104
2,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.046820121891629325,0.004526781418198636,0.06728136010960714,0.9375,0.9375,0,0.0009580760015523992,16,16.0,0.4054707189374198,target_sparsity_reached,1,1,0.0003722729998116847,1.0,False,,0,0,2.173797755620574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,5.9696998505387455e-05,0.00010081499567604624,0.0003722729998116847,8.311699639307335e-05,0.0
2,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.046820121891629325,0.0045267814203938835,0.06728136012592108,0.9375,0.9375,0,0.0006157339994388167,16,16.0,0.4054707189374198,target_sparsity_reached,1,1,0.00022872800764162093,1.0,True,,0,0,2.173797755620574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,5.5290998716372997e-05,2.8961003408767283e-05,0.00022872800764162093,0.00011881799582624808,0.00011279999307589605
2,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.046820121891629325,0.002849084149154752,0.053376812841858134,0.9375,0.9375,0,0.0004339180013630539,6,16.0,0.409049391270492,target_sparsity_reached,1,1,0.00017124599980888888,3.0,False,,0,0,2.3479783863896686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.1185998775763437e-05,6.332499833661132e-05,0.00017124599980888888,3.3310996514046565e-05,0.0
