trial,measurement_ratio,algorithm,implementation,label,m,n,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0,0.1875,OMP,baseline,OMP (baseline),48,256,gaussian,gaussian,20.0,0.04175213185688788,0.01752219524173868,0.13237142909910235,0.8125,0.8125,0,0.001536186013254337,16,16.0,0.14823925104898783,target_sparsity_reached,3,3,0.0006074780249036849,1.0,False,,0,0,2.8176775706685113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3784.0,384.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,7.592898327857256e-05,0.0002283689973410219,0.0006074780249036849,0.00013183399278204888,0.0
0,0.1875,OMP,optimized,OMP (optimized),48,256,gaussian,gaussian,20.0,0.04175213185688788,0.01752219522834509,0.1323714290485114,0.8125,0.8125,0,0.0009758840024005622,16,16.0,0.14823925104898786,target_sparsity_reached,3,3,0.00040897699363995343,1.0,True,,0,0,2.8176775706685113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088.0,384.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,6.99890370015055e-05,5.4787989938631654e-05,0.00040897699363995343,0.00011222501052543521,0.00015878895646892488
0,0.1875,gOMP,baseline,gOMP (baseline),48,256,gaussian,gaussian,20.0,0.04175213185688788,0.30680976094550527,0.5539041080778381,0.375,0.375,0,0.0006257890054257587,6,16.0,0.476837943995265,target_sparsity_reached,10,10,0.00025063300563488156,3.0,False,,0,0,3.9966160144563077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3280.0,384.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.858600055333227e-05,0.00010184600250795484,0.00025063300563488156,4.82110190205276e-05,0.0
0,0.1875,gOMP,optimized,gOMP (optimized),48,256,gaussian,gaussian,20.0,0.04175213185688788,0.30680976097291024,0.5539041081025761,0.375,0.375,0,0.0002832149912137538,6,16.0,0.47683794399526497,target_sparsity_reached,10,10,0.00010456197196617723,3.0,True,,0,0,3.9966160144563077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,384.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,2.3523010895587504e-05,6.279602530412376e-05,0.00010456197196617723,3.0691997380927205e-05,0.0
0,0.1875,Improved-gOMP,baseline,Improved-gOMP (baseline),48,256,gaussian,gaussian,20.0,0.04175213185688788,0.4165542411102979,0.6454101340312979,0.375,0.375,0,0.003493674987112172,6,16.0,0.3894113852980676,target_sparsity_reached,10,10,0.0002101600111927837,16.833333333333332,False,,0,0,2.7200307096705574,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0,3.846999607048929e-05,0.0022885259822942317,0.00016943499213084579,3.7955003790557384e-05,0.0004291640070732683
0,0.1875,Improved-gOMP,optimized,Improved-gOMP (optimized),48,256,gaussian,gaussian,20.0,0.04175213185688788,0.17784162214539936,0.42171272466621085,0.4375,0.4375,0,0.0013190000026952475,6,16.0,0.39792955572307087,target_sparsity_reached,9,9,0.00015148302190937102,0.0,True,,0,0,3.715062437328023,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,2.4726003175601363e-05,0.0006842419970780611,0.00027337299252394587,3.882800228893757e-05,0.0001280120195588097
0,0.1875,RMP,baseline,RMP (baseline),48,256,gaussian,gaussian,20.0,0.04175213185688788,0.0544077445925398,0.23325467753624965,0.75,0.75,0,0.0009442000009585172,16,16.0,0.5031397146813271,target_sparsity_reached,4,4,0.00038218100962694734,1.0,False,,0,0,3.317755638301521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3920.0,384.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0,4.377098230179399e-05,3.8554033380933106e-05,0.00037583203811664134,0.0001416849554516375,0.0
0,0.1875,RMP,optimized,RMP (optimized),48,256,gaussian,gaussian,20.0,0.04175213185688788,0.05440774466273794,0.23325467768672495,0.75,0.75,0,0.0017059940000763163,16,16.0,0.503139714908554,target_sparsity_reached,4,4,0.0004113719769520685,1.0,True,,0,0,3.317755638301521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088.0,384.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,0.00013991199375595897,9.882698941510171e-05,0.0004113719769520685,0.00041383398638572544,0.000431181033491157
1,0.1875,OMP,baseline,OMP (baseline),48,256,gaussian,gaussian,20.0,0.07121446175789048,0.5554599928475163,0.7452918843295668,0.3125,0.3125,0,0.0010238440008834004,16,16.0,0.8380466857121333,target_sparsity_reached,11,11,0.0004062629595864564,1.0,False,,0,0,2.7754894447074774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3784.0,384.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,5.5042983149178326e-05,0.00011882302351295948,0.0004062629595864564,8.48110212245956e-05,0.0
1,0.1875,OMP,optimized,OMP (optimized),48,256,gaussian,gaussian,20.0,0.07121446175789048,0.5554599928164569,0.7452918843087297,0.3125,0.3125,0,0.0006134909926913679,16,16.0,0.8380466857121334,target_sparsity_reached,11,11,0.00024056597612798214,1.0,True,,0,0,2.7754894447074774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088.0,384.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,4.786701174452901e-05,2.906197914853692e-05,0.00024056597612798214,9.368798055220395e-05,0.00011982100841123611
