trial,matrix_kind,algorithm,implementation,label,m,n,measurement_ratio,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.04431158989469073,0.0026290896806240313,0.05127464949294175,1.0,1.0,1,0.0024471790093230084,16,16.0,0.4079577826504252,target_sparsity_reached,0,0,0.0009737210493767634,1.0,False,,0,0,1.8917980557461942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,0.00013071601279079914,0.0003040250012418255,0.0009737210493767634,0.0002250849938718602,0.0
0,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.04431158989469073,0.002629089677290352,0.051274649460433676,1.0,1.0,1,0.001272273002541624,16,16.0,0.4079577826504251,target_sparsity_reached,0,0,0.0005314239824656397,1.0,True,,0,0,1.8917980557461942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,0.00011194896069355309,6.64930121274665e-05,0.0005314239824656397,0.0001754299591993913,0.00023953399795573205
0,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.04431158989469073,0.01997730306618265,0.14134108767864584,0.875,0.875,0,0.0009389949991600588,6,16.0,0.5832326566574132,target_sparsity_reached,2,2,0.0003578560135792941,3.0,False,,0,0,2.0556068814129516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,4.4338012230582535e-05,0.0001441549975425005,0.0003578560135792941,7.764801557641476e-05,0.0
0,gaussian,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,20.0,0.04431158989469073,0.01997730306190106,0.14134108766349954,0.875,0.875,0,0.0006065969937480986,6,16.0,0.5832326566574131,target_sparsity_reached,2,2,0.000268882024101913,3.0,True,,0,0,2.0556068814129516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,4.010798875242472e-05,0.0001154979836428538,0.000268882024101913,6.427198240999132e-05,0.0
0,gaussian,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,20.0,0.04431158989469073,0.03457864710758144,0.18595334658881899,0.8125,0.8125,0,0.006421519996365532,6,16.0,0.7259615687170293,target_sparsity_reached,3,3,0.0004383079940453172,17.333333333333332,False,,0,0,2.0597471711089685,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3552.0,768.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0,5.697898450307548e-05,0.0042217640148010105,0.0003732490004040301,8.493599307257682e-05,0.0008672329859109595
0,gaussian,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,20.0,0.04431158989469073,0.005447012538212925,0.07380387888324653,0.9375,0.9375,0,0.0018184010114055127,6,16.0,0.4516426813981619,target_sparsity_reached,1,1,0.0001662439899519086,0.0,True,,0,0,1.948482677415008,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,3.2383992220275104e-05,0.0007590450113639235,0.00029086599533911794,4.244700539857149e-05,0.0004956039920216426
1,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.0414958260530361,0.004412792781261881,0.06642885503500628,0.9375,0.9375,0,0.0010475099988980219,16,16.0,0.3642126438762714,target_sparsity_reached,1,1,0.00041277799755334854,1.0,False,,0,0,1.9605972024672198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,6.394198862835765e-05,0.00010875797306653112,0.00041277799755334854,9.425001917406917e-05,0.0
1,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.0414958260530361,0.004412792782217946,0.06642885504220246,0.9375,0.9375,0,0.002026444999501109,16,16.0,0.3642126438762712,target_sparsity_reached,1,1,0.0007430950208799914,1.0,True,,0,0,1.9605972024672198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,0.00022247497690841556,8.6972038843669e-05,0.0007430950208799914,0.00030875898664817214,0.0004944260290358216
1,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.0414958260530361,0.005755603224082144,0.07586569200951207,0.875,0.875,0,0.0005473500059451908,6,16.0,0.39644695449754147,target_sparsity_reached,2,2,0.00021373998606577516,3.0,False,,0,0,2.050764363862902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.823001705110073e-05,7.986901619005948e-05,0.00021373998606577516,4.437897587195039e-05,0.0
1,gaussian,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,20.0,0.0414958260530361,0.005755603227572881,0.07586569203251811,0.875,0.875,0,0.00024395801301579922,6,16.0,0.39644695449754164,target_sparsity_reached,2,2,8.79350263858214e-05,3.0,True,,0,0,2.050764363862902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,2.1415995433926582e-05,5.075696390122175e-05,8.79350263858214e-05,2.883502747863531e-05,0.0
