ablation_variant,trial,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
full_suite,0,gOMP+Incremental+NoiseAware,optimized,4952.0,768.0,2048.0,0.0,1800.0,120.0,120.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,1,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,2,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,3,gOMP+Incremental+NoiseAware,optimized,4952.0,768.0,2048.0,0.0,1800.0,120.0,120.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,4,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,5,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,6,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,7,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,8,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,9,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,10,gOMP+Incremental+NoiseAware,optimized,4040.0,768.0,2048.0,0.0,968.0,88.0,88.0,40.0,32.0,0.0,0.0,8.0,0.0
full_suite,11,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,12,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,13,gOMP+Incremental+NoiseAware,optimized,3856.0,768.0,2048.0,0.0,800.0,80.0,80.0,40.0,32.0,0.0,0.0,8.0,0.0
full_suite,14,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,15,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,16,gOMP+Incremental+NoiseAware,optimized,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
full_suite,17,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,18,gOMP+Incremental+NoiseAware,optimized,4952.0,768.0,2048.0,0.0,1800.0,120.0,120.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,19,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,20,gOMP+Incremental+NoiseAware,optimized,4040.0,768.0,2048.0,0.0,968.0,88.0,88.0,40.0,32.0,0.0,0.0,8.0,0.0
full_suite,21,gOMP+Incremental+NoiseAware,optimized,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
full_suite,22,gOMP+Incremental+NoiseAware,optimized,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
full_suite,23,gOMP+Incremental+NoiseAware,optimized,3856.0,768.0,2048.0,0.0,800.0,80.0,80.0,40.0,32.0,0.0,0.0,8.0,0.0
full_suite,24,gOMP+Incremental+NoiseAware,optimized,4040.0,768.0,2048.0,0.0,968.0,88.0,88.0,40.0,32.0,0.0,0.0,8.0,0.0
full_suite,25,gOMP+Incremental+NoiseAware,optimized,4040.0,768.0,2048.0,0.0,968.0,88.0,88.0,40.0,32.0,0.0,0.0,8.0,0.0
full_suite,26,gOMP+Incremental+NoiseAware,optimized,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
full_suite,27,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
full_suite,28,gOMP+Incremental+NoiseAware,optimized,3856.0,768.0,2048.0,0.0,800.0,80.0,80.0,40.0,32.0,0.0,0.0,8.0,0.0
full_suite,29,gOMP+Incremental+NoiseAware,optimized,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
