n,trial,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
128,0,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,0,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,1,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,1,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,2,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,2,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,3,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,3,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,4,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,4,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,5,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,5,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,6,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,6,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,7,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,7,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,8,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,8,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,9,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
128,9,RMP,optimized,3344.0,768.0,0.0,128.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
128,10,RMP,baseline,3152.0,768.0,1024.0,128.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
