trial,screening_ratio,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,group_size
0,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.051175896102709346,0.0047346851177571805,0.06880904822592143,0.8125,1.0,0,0.002495282009476796,5,13.0,0.5323727325552051,noise_floor,0,3,0.0002472299674991518,13.0,True,,0,0,1.9252442910658893,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,6.700701487716287e-05,0.0012779949902324006,0.0005085790035082027,8.042097033467144e-05,6.683010724373162e-06,
1,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.03474461316562518,0.004527212090729137,0.06728456056725894,0.8125,0.8125,0,0.0029048969881841913,6,16.0,0.3150421085037132,target_sparsity_reached,3,3,0.0002763259981293231,12.5,True,,0,0,2.0408806620443976,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,6.271898746490479e-05,0.0013552230229834095,0.00048470700858160853,7.8352983109653e-05,0.0002456290239933878,
2,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.0417918051997377,0.003074038625528783,0.055444013432730345,0.8125,1.0,0,0.0018788779998430982,5,13.0,0.36743479415358093,noise_floor,0,3,0.00017796599422581494,13.0,True,,0,0,1.8878153705124465,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,4.6747023588977754e-05,0.000939687030040659,0.0003766269946936518,6.791698979213834e-05,4.743007593788207e-06,
3,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.024444365524277183,0.0037761299441993984,0.06145022330471548,0.9375,0.9375,0,0.002749129998846911,6,16.0,0.2477814866897518,target_sparsity_reached,1,1,0.0002533840452088043,12.5,True,,0,0,1.9760972862051736,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,5.773601878900081e-05,0.0012898890126962215,0.0004405959916766733,7.956101035233587e-05,0.0002692319976631552,
4,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.038160846712648334,0.004752121312856341,0.06893563166357686,0.8125,1.0,0,0.001141593005741015,5,13.0,0.3702783659510404,noise_floor,0,3,0.00011001601524185389,13.0,True,,0,0,1.8121173939045754,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,3.167701652273536e-05,0.0005940359988017008,0.00022416599676944315,3.665902477223426e-05,2.8349750209599733e-06,
5,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.037534807041050056,0.0022045646640496603,0.046952791866401944,1.0,1.0,1,0.001888801998575218,6,16.0,0.303917520094931,target_sparsity_reached,0,0,0.00017260097956750542,12.5,True,,0,0,2.111746267932418,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5728.0,768.0,2048.0,0.0,2048.0,128.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0,2.7103989850729704e-05,0.0006604200025321916,0.00028037899755872786,4.152700421400368e-05,0.0005380860238801688,
6,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.059046157992044455,0.009565196255174957,0.09780182132851595,0.75,0.9230769230769231,0,0.0011659720039460808,5,13.0,0.5769255175686686,noise_floor,1,4,0.0001304990000789985,13.0,True,,0,0,1.9517522036806312,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,2.7349014999344945e-05,0.0005858390068169683,0.00025575100153218955,4.0430997614748776e-05,2.942979335784912e-06,
7,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.03193279247580611,0.008533386665696596,0.09237633173977301,0.875,0.875,0,0.0014511900080833584,6,16.0,0.2946207468255937,target_sparsity_reached,2,2,0.0001465399982407689,12.5,True,,0,0,2.012578699279711,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,2.8037975425831974e-05,0.0006452800298575312,0.00025239400565624237,3.9093996747396886e-05,0.00012760399840772152,
8,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.03317960047525229,0.003899042042709031,0.0624423097163216,0.9375,0.9375,0,0.0029493110050680116,6,16.0,0.2985128749069832,target_sparsity_reached,1,1,0.0002740529889706522,12.5,True,,0,0,1.9176517143213545,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,6.0425998526625335e-05,0.0013995529880048707,0.0004638749815057963,0.00010067001858260483,0.0002610720111988485,
9,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.04499301218271491,0.00848732109578742,0.09212665789980347,0.875,0.875,0,0.002412731002550572,6,16.0,0.3776967923740522,target_sparsity_reached,2,2,0.00021641199418809265,12.5,True,,0,0,2.2878951241913112,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,8.961997809819877e-05,0.001130812001065351,0.0003991399862570688,7.106499106157571e-05,0.00016188302834052593,
10,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.05086283923658747,0.0024624277153920183,0.049622854768664994,0.875,0.9333333333333333,0,0.0016794510011095554,6,15.0,0.4530631304470228,noise_floor,1,2,0.00015371901099570096,11.666666666666666,True,,0,0,1.8878573612490606,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5416.0,768.0,2048.0,0.0,1800.0,120.0,432.0,56.0,48.0,48.0,48.0,48.0,0.0,3.8035985198803246e-05,0.000807964985142462,0.0002571980148786679,5.392699677031487e-05,0.0001707680057734251,
11,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.042007578018844735,0.0079216033945119,0.08900338979225399,0.625,0.8333333333333334,0,0.001103597998735495,5,12.0,0.4295709071827589,noise_floor,2,6,0.0001073239982360974,12.0,True,,0,0,1.7833393786407357,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4584.0,768.0,2048.0,0.0,1152.0,96.0,312.0,48.0,40.0,40.0,40.0,40.0,0.0,2.3804008378647268e-05,0.0005932420026510954,0.0002091430069413036,4.066500696353614e-05,2.886008587665856e-06,
12,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.036640493753461456,0.007866492766996065,0.08869325096644087,0.8125,0.8125,0,0.001431346987374127,6,16.0,0.32689514346389237,target_sparsity_reached,3,3,0.00014198398275766522,12.5,True,,0,0,2.0000276245495647,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.126700175926089e-05,0.0006207599799381569,0.0002387420245213434,5.880100070498884e-05,0.00015278796490747482,
13,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.042414672172820425,0.003763342773706819,0.06134609012566994,0.9375,1.0,0,0.0013111559965182096,5,15.0,0.42604178054879444,noise_floor,0,1,0.00012737400538753718,14.0,True,,0,0,1.8627865114592184,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5304.0,768.0,2048.0,0.0,1800.0,120.0,360.0,48.0,40.0,40.0,40.0,40.0,0.0,2.318400947842747e-05,0.0006210080173332244,0.0002158479910576716,3.3235992304980755e-05,0.00011706601071637124,
14,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.029162704817949733,0.007049735576045278,0.08396270348223239,0.8125,1.0,0,0.0011320210032863542,5,13.0,0.2831709176146897,noise_floor,0,3,0.00010899698827415705,13.0,True,,0,0,1.7565157956114252,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,2.938302350230515e-05,0.0005897629889659584,0.00021578901214525104,3.7259000237099826e-05,2.8320064302533865e-06,
15,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.036794969659948745,0.00271051947459509,0.052062649515704544,0.9375,0.9375,0,0.0015498389984713867,6,16.0,0.317045262854324,target_sparsity_reached,1,1,0.0001587250008014962,12.5,True,,0,0,2.2061592337162828,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.032200038433075e-05,0.000701802026014775,0.0002576469996711239,4.3374995584599674e-05,0.00016772000526543707,
16,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.03439785743792425,0.0020589821099023997,0.045376008086899844,0.9375,1.0,0,0.0015719200018793344,6,15.0,0.30309108534245816,noise_floor,0,1,0.00015442800940945745,11.666666666666666,True,,0,0,2.1044210921278386,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5416.0,768.0,2048.0,0.0,1800.0,120.0,432.0,56.0,48.0,48.0,48.0,48.0,0.0,3.48250032402575e-05,0.0006906870112288743,0.00025566999102011323,4.5326974941417575e-05,0.0001881829957710579,
17,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.04529109921249748,0.007934157037017138,0.08907388526957348,0.875,0.9333333333333333,0,0.003169118004734628,6,15.0,0.4151127201970031,noise_floor,1,2,0.0002468780294293538,11.666666666666666,True,,0,0,1.7469091327348103,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5416.0,768.0,2048.0,0.0,1800.0,120.0,432.0,56.0,48.0,48.0,48.0,48.0,0.0,0.00013477700122166425,0.0013946219987701625,0.0006122990162111819,7.323999307118356e-05,0.0001673310180194676,
18,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.040728791310755144,0.00818260829042025,0.09045777075752115,0.8125,1.0,0,0.001985893992241472,5,13.0,0.4145096226402594,noise_floor,0,3,0.00020538500393740833,13.0,True,,0,0,2.05338725877201,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,9.937796858139336e-05,0.0010938010236714035,0.0003837749973172322,7.038599869702011e-05,4.166984581388533e-06,
19,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.03327534505389649,0.0035414719057893698,0.05951026723002821,0.75,0.9230769230769231,0,0.0017093729984480888,5,13.0,0.29125407160168293,noise_floor,1,4,0.00015851701027713716,13.0,True,,0,0,1.7745484153728928,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,8.59300052979961e-05,0.0007926160033093765,0.0003277680079918355,5.293102003633976e-05,4.114990588277578e-06,
