ablation_variant,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
full_suite,0,gOMP+AdaptiveScreen,optimized,0.0015184399999270681,2.7141999453306198e-05,0.0006723150036123116,0.00023075299395713955,4.2215007852064446e-05,0.0003700240013131406
full_suite,1,gOMP+AdaptiveScreen,optimized,0.0012643800000660121,2.3119002435123548e-05,0.0007251619972521439,0.00021174800349399447,3.924500197172165e-05,0.00013672699424205348
full_suite,2,gOMP+AdaptiveScreen,optimized,0.0014025089985807426,4.778600123245269e-05,0.0007075380017340649,0.00022812900351709686,0.00011814600657089613,0.00012758799130097032
full_suite,3,gOMP+AdaptiveScreen,optimized,0.0013345389997994062,4.028099647257477e-05,0.0006054680015949998,0.00020908399892505258,4.466100290301256e-05,0.0002942909995908849
full_suite,4,gOMP+AdaptiveScreen,optimized,0.0011407390011299867,2.172299355152063e-05,0.0006305789975158405,0.00019551699733710848,3.984800059697591e-05,0.0001280209980905056
full_suite,5,gOMP+AdaptiveScreen,optimized,0.0010223690005659591,2.387000131420791e-05,0.0005278490025375504,0.00018611100313137285,3.9880000258563086e-05,0.00012720200174953789
full_suite,6,gOMP+AdaptiveScreen,optimized,0.0010900080014835112,2.3090011382009834e-05,0.0005567339976551011,0.00020152599245193414,3.659600770333782e-05,0.00014052100596018136
full_suite,7,gOMP+AdaptiveScreen,optimized,0.0011910079992958345,2.407200008747168e-05,0.0005435609928099439,0.00027816599322250113,5.736900493502617e-05,0.00016845299978740513
full_suite,8,gOMP+AdaptiveScreen,optimized,0.001031069998134626,2.363900057389401e-05,0.0005397460008680355,0.00018549499509390444,3.6364996049087495e-05,0.00012569400132633746
full_suite,9,gOMP+AdaptiveScreen,optimized,0.0028391289997671265,7.139399895095266e-05,0.0017875629964692052,0.00033156099743791856,8.2662001659628e-05,0.0003142519999528304
full_suite,10,gOMP+AdaptiveScreen,optimized,0.0009769800017238595,2.1010000637033954e-05,0.0005138240012456663,0.0001790169953892473,3.920199742424302e-05,0.00011300599726382643
full_suite,11,gOMP+AdaptiveScreen,optimized,0.0010007749988290016,2.4852994101820514e-05,0.0005291449997457676,0.00017979500262299553,3.864699465339072e-05,0.00011534200530149974
full_suite,12,gOMP+AdaptiveScreen,optimized,0.0010889820005104411,2.355800461373292e-05,0.0005956819986749906,0.00019501100541674532,3.655999535112642e-05,0.00011770699711632915
full_suite,13,gOMP+AdaptiveScreen,optimized,0.0014145929999358486,2.9415001336019486e-05,0.0006731879984727129,0.000232295995374443,5.359000351745635e-05,0.0002972879956359975
full_suite,14,gOMP+AdaptiveScreen,optimized,0.0010060309978143778,2.6650999643607065e-05,0.0005248660017969087,0.00018430099953548051,3.152600038447417e-05,0.00011926499428227544
full_suite,15,gOMP+AdaptiveScreen,optimized,0.001178937000076985,2.823699833243154e-05,0.0006423600025300402,0.00021754000044893473,4.547199932858348e-05,0.00011881999671459198
full_suite,16,gOMP+AdaptiveScreen,optimized,0.0012405369998305105,2.7603997295955196e-05,0.0006707920001645107,0.00023315200087381527,4.0328999602934346e-05,0.00011658699440886267
full_suite,17,gOMP+AdaptiveScreen,optimized,0.001100202000088757,2.2186002752278e-05,0.0005884780002816115,0.00021414300499600358,3.5660999856190756e-05,0.00011432199607952498
full_suite,18,gOMP+AdaptiveScreen,optimized,0.001214050000271527,2.4172000848921016e-05,0.000554631002160022,0.00018668499978957698,3.518399898894131e-05,0.0002973299997393042
full_suite,19,gOMP+AdaptiveScreen,optimized,0.0011301449994789436,2.3096999939298257e-05,0.000612181996984873,0.00019903800057363696,4.1686002077767625e-05,0.00012984900240553543
full_suite,20,gOMP+AdaptiveScreen,optimized,0.0011459099987405352,2.6047000574180856e-05,0.0006034909929439891,0.0002006700015044771,4.430599801708013e-05,0.00014260799798648804
full_suite,21,gOMP+AdaptiveScreen,optimized,0.0011846380002680235,2.2923006326891482e-05,0.0006689010042464361,0.0002012009972531814,4.085900218342431e-05,0.0001234889932675287
full_suite,22,gOMP+AdaptiveScreen,optimized,0.001027939000778133,2.4085002223728225e-05,0.0005423949987743981,0.0001854170004662592,4.776300193043426e-05,0.00011597698903642595
full_suite,23,gOMP+AdaptiveScreen,optimized,0.0013226740011305083,2.5666002329671755e-05,0.0006155450028018095,0.00021545199706451967,5.1367998821660876e-05,0.0002875299978768453
full_suite,24,gOMP+AdaptiveScreen,optimized,0.0010977519996231422,2.4464996386086568e-05,0.0005834829971718136,0.000192836992937373,4.203499702271074e-05,0.00012001400318695232
full_suite,25,gOMP+AdaptiveScreen,optimized,0.0010337639978388324,2.393199611105956e-05,0.0005404240037023555,0.00018668999473447911,4.975599949830212e-05,0.00011493300553411245
full_suite,26,gOMP+AdaptiveScreen,optimized,0.0014299909998953808,2.5353001547046006e-05,0.0006485749945568386,0.00020941200273227878,3.9922993892105296e-05,0.0003673690043797251
full_suite,27,gOMP+AdaptiveScreen,optimized,0.0010360779997427016,2.1152001863811165e-05,0.0005535690033866558,0.00019096000323770568,3.699000444612466e-05,0.00011973900109296665
full_suite,28,gOMP+AdaptiveScreen,optimized,0.0013403289995039813,2.912600029958412e-05,0.0006163969992485363,0.00022511399583891034,4.3772004573838785e-05,0.0002993789967149496
full_suite,29,gOMP+AdaptiveScreen,optimized,0.0010641759981808718,2.2111002181190997e-05,0.0005809660033264663,0.0001913090054586064,3.479099541436881e-05,0.00011655799607979134
