coeff_mode,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,0,gOMP,baseline,0.00062971100123832,2.983499871334061e-05,8.355700265383348e-05,0.000269078002020251,5.845300984219648e-05,0.0
gaussian,0,gOMP,optimized,0.0003226369990443345,2.6222991436952725e-05,6.12840049143415e-05,0.00013906099775340408,3.456400372670032e-05,0.0
gaussian,1,gOMP,baseline,0.00044461300058173947,2.8990005375817418e-05,6.424200182664208e-05,0.0001717429986456409,3.384600131539628e-05,0.0
gaussian,1,gOMP,optimized,0.00023858799977460876,2.1694995666621253e-05,4.941400038660504e-05,8.933700155466795e-05,3.083499541389756e-05,0.0
gaussian,2,gOMP,baseline,0.0004339180013630539,2.1185998775763437e-05,6.332499833661132e-05,0.00017124599980888888,3.3310996514046565e-05,0.0
gaussian,2,gOMP,optimized,0.00032240899963653646,2.7630005206447095e-05,6.525199569296092e-05,0.00011947500388487242,4.9718000809662044e-05,0.0
gaussian,3,gOMP,baseline,0.0005090179984108545,3.055700290133245e-05,7.42980046197772e-05,0.00019233199418522418,4.3544001528061926e-05,0.0
gaussian,3,gOMP,optimized,0.00021978100267006084,2.258099993923679e-05,4.623099812306464e-05,7.887800165917724e-05,2.6825997338164598e-05,0.0
gaussian,4,gOMP,baseline,0.00040764799996395595,1.9632007024483755e-05,5.774500095867552e-05,0.0001616060071683023,3.024399484274909e-05,0.0
gaussian,4,gOMP,optimized,0.0002999399985128548,3.0836003134027123e-05,7.018199903541245e-05,0.00010055800521513447,3.2351992558687925e-05,0.0
gaussian,5,gOMP,baseline,0.00041415200030314736,2.4785003915894777e-05,5.794200478703715e-05,0.00016171099559869617,3.2256997656077147e-05,0.0
gaussian,5,gOMP,optimized,0.0002203290023317095,2.3354998120339587e-05,4.8565005272394046e-05,7.585499770357274e-05,2.63660003838595e-05,0.0
gaussian,6,gOMP,baseline,0.0004211750019749161,2.329800190636888e-05,5.883399353479035e-05,0.00016792300084489398,3.210600698366761e-05,0.0
gaussian,6,gOMP,optimized,0.00022528199770022184,2.2766002075513825e-05,4.952400195179507e-05,7.849899702705443e-05,2.6730995159596205e-05,0.0
gaussian,7,gOMP,baseline,0.0004452760003914591,2.1707000996684656e-05,6.498399307020009e-05,0.00016288299957523122,3.405800089240074e-05,0.0
gaussian,7,gOMP,optimized,0.0002333389966224786,2.1065003238618374e-05,5.162200613995083e-05,8.205300036934204e-05,2.7495996619109064e-05,0.0
gaussian,8,gOMP,baseline,0.00043030000233557075,2.0330000552348793e-05,5.939099719398655e-05,0.00017000199659378268,3.543200364219956e-05,0.0
gaussian,8,gOMP,optimized,0.00021523499890463427,1.8449005438014865e-05,4.7205001465044916e-05,7.70760016166605e-05,2.6052002795040607e-05,0.0
gaussian,9,gOMP,baseline,0.00038841599962324835,2.274500366183929e-05,5.4518004617420956e-05,0.00015096199786057696,3.115900472039357e-05,0.0
gaussian,9,gOMP,optimized,0.00022953300140216015,2.2409003577195108e-05,5.820599471917376e-05,7.607300722156651e-05,2.7718004275811836e-05,0.0
