matrix_kind,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,0,gOMP,baseline,0.0006144360013422556,6.012800440657884e-05,8.816100307740271e-05,0.00021980100791552104,5.383300958783366e-05,0.0
gaussian,0,gOMP,optimized,0.00026096600049640983,2.4262993974843994e-05,4.804200216312893e-05,0.00010348900468670763,2.959099947474897e-05,0.0
gaussian,1,gOMP,baseline,0.0004329570001573302,2.1294003090588376e-05,6.04759952693712e-05,0.00017304999710177071,3.271900277468376e-05,0.0
gaussian,1,gOMP,optimized,0.00024249199850601144,1.896000321721658e-05,4.639100006897934e-05,0.00010023200229625218,2.9615996027132496e-05,0.0
gaussian,2,gOMP,baseline,0.0004982640020898543,2.2506999812321737e-05,6.137999662314542e-05,0.00022729400370735675,3.61400016117841e-05,0.0
gaussian,2,gOMP,optimized,0.00020336500165285543,1.77570000232663e-05,4.142900070291944e-05,7.756400009384379e-05,2.496600427548401e-05,0.0
gaussian,3,gOMP,baseline,0.0004954329997417517,2.8116995963500813e-05,6.405299791367725e-05,0.00018251800065627322,5.920200055697933e-05,0.0
gaussian,3,gOMP,optimized,0.0002395899973635096,2.38779975916259e-05,4.829400131711736e-05,8.811299630906433e-05,2.804999894578941e-05,0.0
gaussian,4,gOMP,baseline,0.0005155860017111991,2.6679008442442864e-05,6.978700548643246e-05,0.0002109990018652752,3.9755999750923365e-05,0.0
gaussian,4,gOMP,optimized,0.00022970699865254574,2.0850005967076868e-05,4.669999543693848e-05,8.644000263302587e-05,2.7932001103181392e-05,0.0
gaussian,5,gOMP,baseline,0.0007295270006579813,3.830499917967245e-05,9.49990026128944e-05,0.00027162799960933626,6.462999954237603e-05,0.0
gaussian,5,gOMP,optimized,0.0002474140019330662,2.2927004465600476e-05,4.936700497637503e-05,9.014000534079969e-05,3.027999628102407e-05,0.0
gaussian,6,gOMP,baseline,0.00040384300154983066,2.251699334010482e-05,5.4947002354310825e-05,0.0001617259949853178,3.1887997465673834e-05,0.0
gaussian,6,gOMP,optimized,0.00020474600023590028,2.08609999390319e-05,4.044900197186507e-05,7.527400157414377e-05,2.580499858595431e-05,0.0
gaussian,7,gOMP,baseline,0.0004320939988247119,2.109300476149656e-05,5.726000381400809e-05,0.00016646400035824627,4.168199302512221e-05,0.0
gaussian,7,gOMP,optimized,0.0002108310000039637,1.845299993874505e-05,4.366799839772284e-05,7.930300489533693e-05,2.5975001335609704e-05,0.0
gaussian,8,gOMP,baseline,0.0004380149985081516,2.488500831532292e-05,5.603700265055522e-05,0.00017467799625592306,3.615800233092159e-05,0.0
gaussian,8,gOMP,optimized,0.00020069300080649555,2.0815994503209367e-05,3.9223003113875166e-05,7.6020005508326e-05,2.4369008315261453e-05,0.0
gaussian,9,gOMP,baseline,0.00038634899829048663,2.0145998860243708e-05,5.1366998377488926e-05,0.00015206800526357256,2.9284998163348064e-05,0.0
gaussian,9,gOMP,optimized,0.00020514599964371882,1.9078997866017744e-05,4.307599738240242e-05,7.477999679394998e-05,2.561599831096828e-05,0.0
gaussian,10,gOMP,baseline,0.00040037199869402684,2.3293992853723466e-05,5.2076997235417366e-05,0.00015889400310697965,3.1496001611230895e-05,0.0
gaussian,10,gOMP,optimized,0.00020832200243603438,2.1714997274102643e-05,4.312200690037571e-05,7.486700269510038e-05,2.4755998310865834e-05,0.0
gaussian,11,gOMP,baseline,0.0006521820032503456,2.8298996767261997e-05,7.31069922039751e-05,0.0002883640045183711,5.7681998441694304e-05,0.0
gaussian,11,gOMP,optimized,0.0002446930011501536,2.1163999917916954e-05,4.83859985251911e-05,9.366100493934937e-05,2.9462000384228304e-05,0.0
gaussian,12,gOMP,baseline,0.0004380960017442703,2.4191005650209263e-05,5.909999890718609e-05,0.00017768299585441127,3.574999936972745e-05,0.0
gaussian,12,gOMP,optimized,0.00020119200053159148,2.084900188492611e-05,4.04029997298494e-05,7.447899770340882e-05,2.458500603097491e-05,0.0
gaussian,13,gOMP,baseline,0.0004482689982978627,2.230600148322992e-05,6.04859997110907e-05,0.00018173199714510702,3.301199831184931e-05,0.0
gaussian,13,gOMP,optimized,0.00021898699924349785,1.9701998098753393e-05,4.437200186657719e-05,7.947200356284156e-05,3.1011000828584656e-05,0.0
gaussian,14,gOMP,baseline,0.0004297160012356471,2.3762004275340587e-05,5.626100391964428e-05,0.00016372200116165914,3.349899634486064e-05,0.0
gaussian,14,gOMP,optimized,0.00020566899911500514,2.093400325975381e-05,4.1541999962646514e-05,7.530999573646113e-05,2.544099697843194e-05,0.0
gaussian,15,gOMP,baseline,0.0009102900003199466,6.582000787602738e-05,0.00012227399929543026,0.0003106889998889528,5.6648004829185084e-05,0.0
gaussian,15,gOMP,optimized,0.0008004479968803935,9.77019990386907e-05,0.00019866300499415956,0.0002867680013878271,0.00012022000009892508,0.0
gaussian,16,gOMP,baseline,0.00041420499837840907,2.295799640705809e-05,5.501499981619418e-05,0.0001623800017114263,3.261700112489052e-05,0.0
gaussian,16,gOMP,optimized,0.0002858949992514681,2.160900112357922e-05,4.3347998143872246e-05,7.904100129962899e-05,6.899500294821337e-05,0.0
gaussian,17,gOMP,baseline,0.00046450700028799474,2.0774001313839108e-05,5.889399835723452e-05,0.0001690239987510722,3.122500129393302e-05,0.0
gaussian,17,gOMP,optimized,0.0002896250007324852,1.9663002603920177e-05,6.277099964790978e-05,9.939300070982426e-05,3.0319002689793706e-05,0.0
gaussian,18,gOMP,baseline,0.0003939260022889357,2.2496999008581042e-05,5.362799856811762e-05,0.00015575599900330417,3.091599865001626e-05,0.0
gaussian,18,gOMP,optimized,0.00020147699979133904,2.025399953708984e-05,3.9822996768634766e-05,7.477499821106903e-05,2.466099613229744e-05,0.0
gaussian,19,gOMP,baseline,0.000494772000820376,2.4246994144050404e-05,6.35659926047083e-05,0.0001837089985201601,3.657400520751253e-05,0.0
gaussian,19,gOMP,optimized,0.00022195099882083014,2.0272997062420473e-05,4.889800038654357e-05,8.194100155378692e-05,2.708200190681964e-05,0.0
bernoulli,0,gOMP,baseline,0.0005582080011663493,3.1533003493677825e-05,7.170600292738527e-05,0.00020485300410655327,4.54540058854036e-05,0.0
bernoulli,0,gOMP,optimized,0.00026591400092002004,2.6996000087819993e-05,5.2381994464667514e-05,9.798599785426632e-05,3.582500357879326e-05,0.0
bernoulli,1,gOMP,baseline,0.0004906649992335588,2.1030999050708488e-05,5.814900214318186e-05,0.0002181229974667076,4.3550997361307964e-05,0.0
bernoulli,1,gOMP,optimized,0.000216965996514773,1.9348000932950526e-05,4.732699744636193e-05,7.947799895191565e-05,2.6134999643545598e-05,0.0
bernoulli,2,gOMP,baseline,0.0006738159972883295,3.282799298176542e-05,9.058199793798849e-05,0.0002728360013861675,4.6435998228844255e-05,0.0
bernoulli,2,gOMP,optimized,0.0002410139968560543,2.102000144077465e-05,4.971100497641601e-05,9.154899817076512e-05,2.8398997528711334e-05,0.0
bernoulli,3,gOMP,baseline,0.0005261869991954882,2.4714994651731104e-05,0.00010054999802378006,0.00019300600251881406,4.4660995627054945e-05,0.0
bernoulli,3,gOMP,optimized,0.00022283699945546687,1.9606999558163807e-05,4.479199924389832e-05,8.492800770909525e-05,2.8491002012742683e-05,0.0
bernoulli,4,gOMP,baseline,0.0004078579986526165,2.3167001927504316e-05,5.52099991182331e-05,0.0001568509978824295,3.20919971272815e-05,0.0
bernoulli,4,gOMP,optimized,0.0002056499979516957,2.08000055863522e-05,4.240200360072777e-05,7.298699711100198e-05,2.4950000806711614e-05,0.0
bernoulli,5,gOMP,baseline,0.00038277099883998744,2.0504998246906325e-05,5.042500197305344e-05,0.0001522639904578682,2.8798996936529875e-05,0.0
bernoulli,5,gOMP,optimized,0.00020367400065879337,1.8121998436981812e-05,4.06360013585072e-05,7.404000280075707e-05,2.5440000172238797e-05,0.0
bernoulli,6,gOMP,baseline,0.00045963199954712763,2.205599594162777e-05,7.031900167930871e-05,0.00018249900313094258,3.4463002521079034e-05,0.0
bernoulli,6,gOMP,optimized,0.00022191099924384616,1.9430000975262374e-05,4.601599357556552e-05,8.090200208243914e-05,3.0270002753240988e-05,0.0
bernoulli,7,gOMP,baseline,0.0006965109969314653,3.441399894654751e-05,0.00010621199908200651,0.0002705229926505126,5.338799746823497e-05,0.0
bernoulli,7,gOMP,optimized,0.0003965319992857985,3.228299829061143e-05,8.273399726022035e-05,0.00013406000289251097,6.430000212276354e-05,0.0
bernoulli,8,gOMP,baseline,0.0004061500003444962,2.088699329760857e-05,5.5694003094686195e-05,0.00015992799671948887,3.226199623895809e-05,0.0
bernoulli,8,gOMP,optimized,0.00022420599998440593,1.986100323847495e-05,5.072799831395969e-05,8.036500366870314e-05,2.6726003852672875e-05,0.0
bernoulli,9,gOMP,baseline,0.0003923030017176643,1.9998999050585553e-05,5.216899808146991e-05,0.0001543200050946325,2.9298003937583417e-05,0.0
bernoulli,9,gOMP,optimized,0.00019809799778158776,1.7614001990295947e-05,4.1138006054097787e-05,7.202000415418297e-05,2.5331999495392665e-05,0.0
bernoulli,10,gOMP,baseline,0.00044139300007373095,2.4805995053611696e-05,6.414099698304199e-05,0.00017685199782135896,3.315099820611067e-05,0.0
bernoulli,10,gOMP,optimized,0.00024034700254560448,1.937300112331286e-05,4.882800203631632e-05,9.578399840393104e-05,3.0229002732085064e-05,0.0
bernoulli,11,gOMP,baseline,0.00042439000026206486,2.0520994439721107e-05,5.732499630539678e-05,0.0001698340020084288,3.24079992424231e-05,0.0
bernoulli,11,gOMP,optimized,0.00024004499937291257,1.9190003513358533e-05,5.998200140311383e-05,8.392800373258069e-05,3.1117004255065694e-05,0.0
bernoulli,12,gOMP,baseline,0.000451113999588415,2.1208004909567535e-05,6.348399983835407e-05,0.00017126100283348933,3.199800266884267e-05,0.0
bernoulli,12,gOMP,optimized,0.00027420699916547164,5.763400622527115e-05,4.9974998546531424e-05,8.546300159650855e-05,2.8164005925646052e-05,0.0
bernoulli,13,gOMP,baseline,0.00046639300126116723,2.221600152552128e-05,6.0499001847347245e-05,0.0001916110013553407,3.718500374816358e-05,0.0
bernoulli,13,gOMP,optimized,0.0002165850019082427,1.918400448630564e-05,4.762699973070994e-05,7.887500032666139e-05,2.663400664459914e-05,0.0
bernoulli,14,gOMP,baseline,0.00046816399844828993,2.1933999960310757e-05,7.600299431942403e-05,0.00017725899670040235,3.469199873507023e-05,0.0
bernoulli,14,gOMP,optimized,0.000204108000616543,1.8397997337160632e-05,4.244699812261388e-05,7.545399421360344e-05,2.58879954344593e-05,0.0
bernoulli,15,gOMP,baseline,0.0004871769997407682,1.923300078487955e-05,5.566400068346411e-05,0.0001580220014147926,3.0157996661728248e-05,0.0
bernoulli,15,gOMP,optimized,0.00027491400032886304,2.6409998099552467e-05,5.606999548035674e-05,9.739099914440885e-05,3.7418991269078106e-05,0.0
bernoulli,16,gOMP,baseline,0.00043897399882553145,2.0045004930580035e-05,6.799400216550566e-05,0.00016921899805311114,3.237999408156611e-05,0.0
bernoulli,16,gOMP,optimized,0.00023320900072576478,1.8823000573320314e-05,5.431799218058586e-05,8.602700472692959e-05,2.7886999305337667e-05,0.0
bernoulli,17,gOMP,baseline,0.0005917749986110721,3.1914001738186926e-05,7.247800385812297e-05,0.00021841700072400272,4.3265001295367256e-05,0.0
bernoulli,17,gOMP,optimized,0.00022724700102116913,2.3309996322495863e-05,4.685800013248809e-05,7.981099770404398e-05,2.719799886108376e-05,0.0
bernoulli,18,gOMP,baseline,0.00041868799962685443,1.982300091185607e-05,5.5182998039526865e-05,0.0001715340004011523,3.3192998671438545e-05,0.0
bernoulli,18,gOMP,optimized,0.0002081239981635008,1.8267000996274874e-05,4.2782005039043725e-05,7.578500299132429e-05,2.5226996513083577e-05,0.0
bernoulli,19,gOMP,baseline,0.0006905379996169358,3.136600207653828e-05,8.055700163822621e-05,0.0002993379966937937,5.732799763791263e-05,0.0
bernoulli,19,gOMP,optimized,0.0004293929996492807,2.770200080703944e-05,7.635699876118451e-05,0.00019747899932553992,6.163799844216555e-05,0.0
partial_dct,0,gOMP,baseline,0.00040657199861016124,1.9549996068235487e-05,5.383799725677818e-05,0.0001657249995332677,3.0070998036535457e-05,0.0
partial_dct,0,gOMP,optimized,0.0002058930003840942,1.748400245560333e-05,4.221500421408564e-05,7.864199869800359e-05,2.480100010870956e-05,0.0
partial_dct,1,gOMP,baseline,0.00039740000283927657,2.2682001144858077e-05,5.369499922380783e-05,0.000156789999891771,3.163000656059012e-05,0.0
partial_dct,1,gOMP,optimized,0.00021170299805817194,2.134899841621518e-05,4.143700425629504e-05,7.672599895158783e-05,2.5754001399036497e-05,0.0
partial_dct,2,gOMP,baseline,0.0004125599989492912,2.3086995497578755e-05,5.5675001931376755e-05,0.00016288899860228412,3.3133004762930796e-05,0.0
partial_dct,2,gOMP,optimized,0.00021268099953886122,2.0956002117600292e-05,4.697400072473101e-05,7.577900032629259e-05,2.5557998014846817e-05,0.0
partial_dct,3,gOMP,baseline,0.00039437300074496306,2.2400003217626363e-05,5.1321003411430866e-05,0.0001568100014992524,3.178100087097846e-05,0.0
partial_dct,3,gOMP,optimized,0.00020161499924142845,2.0428004063433036e-05,4.14789974456653e-05,7.269499474205077e-05,2.4649994884384796e-05,0.0
partial_dct,4,gOMP,baseline,0.0006756729999324307,3.123100395896472e-05,0.00011039700257242657,0.000280490996374283,5.5153002904262394e-05,0.0
partial_dct,4,gOMP,optimized,0.00023110099937184714,1.980299930437468e-05,4.6146004024194553e-05,8.645399429951794e-05,2.8353999368846416e-05,0.0
partial_dct,5,gOMP,baseline,0.00041712800157256424,2.3520991817349568e-05,5.426999996416271e-05,0.00016549199062865227,3.2711002859286964e-05,0.0
partial_dct,5,gOMP,optimized,0.00021087500135763548,2.106999818352051e-05,4.6809003833914176e-05,7.476601240341552e-05,2.4823999410727993e-05,0.0
partial_dct,6,gOMP,baseline,0.00042085200038854964,2.3276996216736734e-05,5.804499960504472e-05,0.00016341900118277408,3.3676999009912834e-05,0.0
partial_dct,6,gOMP,optimized,0.00020505900101852603,2.0831004803767428e-05,4.21029981225729e-05,7.463000292773359e-05,2.5468998501310125e-05,0.0
partial_dct,7,gOMP,baseline,0.0004001669985882472,2.204500196967274e-05,5.286199666443281e-05,0.00016030400365707465,3.1419996957993135e-05,0.0
partial_dct,7,gOMP,optimized,0.00020221099839545786,2.0858002244494855e-05,4.0984996303450316e-05,7.398700108751655e-05,2.513798972358927e-05,0.0
partial_dct,8,gOMP,baseline,0.000424458001361927,2.1196996385697275e-05,5.6173998018493876e-05,0.00017316199955530465,3.2261003070743755e-05,0.0
partial_dct,8,gOMP,optimized,0.00024940300136222504,1.894799788715318e-05,4.5785003749188036e-05,9.535400386084802e-05,3.0221995984902605e-05,0.0
