k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,0,gOMP,baseline,0.00015110700041987002,9.740004315972328e-06,3.445098991505802e-05,4.6303000999614596e-05,1.3773998944088817e-05,0.0
4,0,gOMP,optimized,0.00010312999074812979,8.95498669706285e-06,2.2218009689822793e-05,3.3688993426039815e-05,8.70700750965625e-06,0.0
4,1,gOMP,baseline,0.00013586301065515727,9.821000276133418e-06,2.699298784136772e-05,4.3302992708049715e-05,1.3275988749228418e-05,0.0
4,1,gOMP,optimized,8.916400838643312e-05,8.256989531219006e-06,1.9826999050565064e-05,2.7717993361875415e-05,8.294009603559971e-06,0.0
4,2,gOMP,baseline,0.00012422699364833534,9.141003829427063e-06,2.363701059948653e-05,3.889499930664897e-05,1.142600376624614e-05,0.0
4,2,gOMP,optimized,8.700400940142572e-05,8.172006346285343e-06,1.8165010260418057e-05,2.714100992307067e-05,8.159011485986412e-06,0.0
4,3,gOMP,baseline,0.00010659299732651561,6.928996299393475e-06,2.1674000890925527e-05,3.454300167504698e-05,9.889990906231105e-06,0.0
4,3,gOMP,optimized,7.825400098226964e-05,6.413989467546344e-06,1.7063997802324593e-05,2.5453002308495343e-05,7.77801324147731e-06,0.0
4,4,gOMP,baseline,0.00011446699500083923,8.781018550507724e-06,2.2647014702670276e-05,3.495100827421993e-05,1.228798646479845e-05,0.0
4,4,gOMP,optimized,8.681901090312749e-05,8.376999176107347e-06,1.8532999092713e-05,2.660798782017082e-05,8.58200655784458e-06,0.0
4,5,gOMP,baseline,0.0002391039888607338,1.7869999282993376e-05,4.076599725522101e-05,9.361200500279665e-05,2.653001865837723e-05,0.0
4,5,gOMP,optimized,9.960400348063558e-05,8.675007848069072e-06,2.2599997464567423e-05,3.21910047205165e-05,9.276001947000623e-06,0.0
4,6,gOMP,baseline,0.00028835500415880233,1.1618001735769212e-05,6.162100180517882e-05,0.00012623300426639616,2.8788999770767987e-05,0.0
4,6,gOMP,optimized,0.00020105199655517936,2.57050123764202e-05,4.2289975681342185e-05,6.840798596385866e-05,1.5765006537549198e-05,0.0
4,7,gOMP,baseline,0.00012932700337842107,8.823990356177092e-06,2.660699828993529e-05,4.015499143861234e-05,1.2437012628652155e-05,0.0
4,7,gOMP,optimized,8.924100256990641e-05,7.669994374737144e-06,1.9484010408632457e-05,2.8299997211433947e-05,8.791990694589913e-06,0.0
4,8,gOMP,baseline,0.00011291699775028974,8.144008461385965e-06,2.2114996681921184e-05,3.691799065563828e-05,1.0855990694835782e-05,0.0
4,8,gOMP,optimized,0.00020944199059158564,1.2989010429009795e-05,6.527500227093697e-05,6.143400969449431e-05,1.799898745957762e-05,0.0
4,9,gOMP,baseline,0.00012488100037444383,7.887007086537778e-06,2.5793007807806134e-05,4.111199814360589e-05,1.1455995263531804e-05,0.0
4,9,gOMP,optimized,8.510900079272687e-05,7.098002242855728e-06,1.8436010577715933e-05,2.561199653428048e-05,1.141701068263501e-05,0.0
4,10,gOMP,baseline,0.00011041700781788677,8.271992555819452e-06,2.220200258307159e-05,3.334900247864425e-05,1.134999911300838e-05,0.0
4,10,gOMP,optimized,9.340699762105942e-05,8.257018635049462e-06,2.2113992599770427e-05,2.7084999601356685e-05,8.22299625724554e-06,0.0
4,11,gOMP,baseline,0.00010908600233960897,7.382986950688064e-06,2.2118998458608985e-05,3.327400190755725e-05,1.0303978342562914e-05,0.0
4,11,gOMP,optimized,8.335600432474166e-05,7.186987204477191e-06,1.8687991541810334e-05,2.5558998459018767e-05,8.448987500742078e-06,0.0
4,12,gOMP,baseline,0.00014184699102770537,1.0143994586542249e-05,3.050100349355489e-05,4.265400639269501e-05,1.3776007108390331e-05,0.0
4,12,gOMP,optimized,0.00011381600052118301,1.1051000910811126e-05,2.204001066274941e-05,3.635200846474618e-05,1.0948002454824746e-05,0.0
4,13,gOMP,baseline,0.0001456360041629523,9.227005648426712e-06,3.136799205094576e-05,4.743099270854145e-05,1.3294993550516665e-05,0.0
4,13,gOMP,optimized,9.124100324697793e-05,7.676004315726459e-06,1.9583996618166566e-05,2.9706003260798752e-05,8.750983397476375e-06,0.0
4,14,gOMP,baseline,0.00011764299415517598,8.68999632075429e-06,2.3653017706237733e-05,3.6591009120456874e-05,1.2008997146040201e-05,0.0
4,14,gOMP,optimized,8.54279933264479e-05,8.283983333967626e-06,1.849699765443802e-05,2.6914014597423375e-05,8.02901922725141e-06,0.0
4,15,gOMP,baseline,0.00017861300148069859,9.032009984366596e-06,4.4509986764751375e-05,5.720600893255323e-05,1.654100196901709e-05,0.0
4,15,gOMP,optimized,0.00010807500802911818,8.497008820995688e-06,2.5540008209645748e-05,3.583199577406049e-05,9.745985153131187e-06,0.0
4,16,gOMP,baseline,0.00013055199815426022,9.89199907053262e-06,2.4313005269505084e-05,4.4240005081519485e-05,1.2365999282337725e-05,0.0
4,16,gOMP,optimized,9.63019992923364e-05,8.791001164354384e-06,1.9284998415969312e-05,3.343599382787943e-05,8.834991604089737e-06,0.0
4,17,gOMP,baseline,0.00012127000081818551,7.95800588093698e-06,2.6313995476812124e-05,3.60690028173849e-05,1.2579010217450559e-05,0.0
4,17,gOMP,optimized,0.00011656701099127531,1.5453013475053012e-05,2.706899249460548e-05,3.488300717435777e-05,1.004498335532844e-05,0.0
4,18,gOMP,baseline,0.00012265700206626207,8.992996299639344e-06,2.5025001377798617e-05,3.8384998333640397e-05,1.3024997315369546e-05,0.0
4,18,gOMP,optimized,8.398000500164926e-05,8.695002179592848e-06,1.806698855943978e-05,2.604699693620205e-05,8.26800533104688e-06,0.0
4,19,gOMP,baseline,0.00011524900037329644,7.746013579890132e-06,2.456600486766547e-05,3.43229912687093e-05,1.1420997907407582e-05,0.0
4,19,gOMP,optimized,9.186701208818704e-05,9.987008525058627e-06,1.9297003746032715e-05,2.787799166981131e-05,8.62700107973069e-06,0.0
4,20,gOMP,baseline,0.00011931100743822753,8.727991371415555e-06,2.4630004190839827e-05,3.636398469097912e-05,1.151599281001836e-05,0.0
4,20,gOMP,optimized,0.0001243839942617342,1.0952993761748075e-05,2.5214991183020175e-05,3.0745999538339674e-05,1.0731993825174868e-05,0.0
4,21,gOMP,baseline,0.0001501789956819266,7.854003342799842e-06,2.63969850493595e-05,5.4257980082184076e-05,1.4917997759766877e-05,0.0
4,21,gOMP,optimized,9.231900912709534e-05,7.703987648710608e-06,2.142100129276514e-05,2.8233000193722546e-05,8.842995157465339e-06,0.0
4,22,gOMP,baseline,0.00011330899724271148,7.692011422477663e-06,2.2530992282554507e-05,3.540099714882672e-05,1.1272015399299562e-05,0.0
4,22,gOMP,optimized,8.316300227306783e-05,7.241993444040418e-06,1.8178994650952518e-05,2.618401776999235e-05,8.285001968033612e-06,0.0
4,23,gOMP,baseline,0.00030087100458331406,1.091499871108681e-05,4.013899888377637e-05,5.146001058164984e-05,4.495501343626529e-05,0.0
