n,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
128,0,Improved-gOMP,baseline,0.00224760000128299,3.409996861591935e-05,0.0016839999880176038,0.00013640004908666015,2.9099988751113415e-05,3.7999998312443495e-06
128,0,Improved-gOMP,optimized,0.0008680000028107315,1.8999999156221747e-05,0.0004752999811898917,0.00021769999875687063,2.8300040867179632e-05,2.200016751885414e-06
128,1,Improved-gOMP,baseline,0.00231430001440458,2.300000051036477e-05,0.001632299943594262,0.00016229998436756432,3.130000550299883e-05,0.0001521999656688422
128,1,Improved-gOMP,optimized,0.0010747000051196665,2.1100015146657825e-05,0.0005218999576754868,0.000228599994443357,3.16000368911773e-05,0.00012159999459981918
128,2,Improved-gOMP,baseline,0.0031925000075716525,2.9600021662190557e-05,0.0023701000318396837,0.0001902000221889466,3.6200013710185885e-05,0.00016430002870038152
128,2,Improved-gOMP,optimized,0.0008537000103387982,1.9400002202019095e-05,0.0004684999876189977,0.00021039994317106903,2.8700014809146523e-05,2.200016751885414e-06
128,3,Improved-gOMP,baseline,0.0031546000100206584,2.230002428404987e-05,0.0021501999581232667,0.0001771999814081937,3.120000474154949e-05,0.00043409992940723896
128,3,Improved-gOMP,optimized,0.0011817000049632043,2.1199986804276705e-05,0.0005744000081904233,0.0002533000078983605,3.559998003765941e-05,0.00013599995872937143
128,4,Improved-gOMP,baseline,0.003378800000064075,3.0199997127056122e-05,0.0023701000318396837,0.000360800011549145,4.73999825771898e-05,0.00017230003140866756
128,4,Improved-gOMP,optimized,0.0012903000169899315,2.3900007363408804e-05,0.0006647999980486929,0.00028560005011968315,3.640001523308456e-05,0.00011459997040219605
256,0,Improved-gOMP,baseline,0.0023852000012993813,2.649999805726111e-05,0.0016913999570533633,0.00015999999595806003,3.300001844763756e-05,0.00016380002489313483
256,0,Improved-gOMP,optimized,0.0011971000058110803,2.5899993488565087e-05,0.0005849999724887311,0.00025850001838989556,4.380004247650504e-05,0.00012909999350085855
256,1,Improved-gOMP,baseline,0.0024895000096876174,3.1700037652626634e-05,0.0017598000122234225,0.0001763000327628106,3.930003731511533e-05,0.00016599998343735933
256,1,Improved-gOMP,optimized,0.000956700008828193,2.3500004317611456e-05,0.0005689999961759895,0.00020519996178336442,3.6500015994533896e-05,2.100015990436077e-06
256,2,Improved-gOMP,baseline,0.00226390000898391,2.680000034160912e-05,0.0016116999613586813,0.00015579999308101833,3.360002301633358e-05,0.0001399999891873449
256,2,Improved-gOMP,optimized,0.001071599981514737,2.3500004317611456e-05,0.0005124000017531216,0.00023510001483373344,3.6299985367804766e-05,0.00012240000069141388
256,3,Improved-gOMP,baseline,0.0033073000086005777,3.640001523308456e-05,0.0023919999948702753,0.00025830004597082734,5.7900004321709275e-05,0.00016459997277706861
256,3,Improved-gOMP,optimized,0.0012943000183440745,3.0499999411404133e-05,0.0006159000040497631,0.0003110999532509595,4.930002614855766e-05,0.00012039998546242714
256,4,Improved-gOMP,baseline,0.002791500010062009,2.640002639964223e-05,0.0017621000297367573,0.0002136999974027276,6.23000378254801e-05,0.0002964000159408897
256,4,Improved-gOMP,optimized,0.001110800018068403,2.3500004317611456e-05,0.0006042999739293009,0.0002933999930974096,4.0399987483397126e-05,3.100023604929447e-06
384,0,Improved-gOMP,baseline,0.001770899980328977,2.7600006433203816e-05,0.001344699994660914,0.00013730002683587372,3.3599964808672667e-05,2.900022082030773e-06
384,0,Improved-gOMP,optimized,0.0009741000249050558,2.5699991965666413e-05,0.0005510000046342611,0.0002053999633062631,6.23000378254801e-05,2.300017513334751e-06
384,1,Improved-gOMP,baseline,0.0028153999883215874,4.689997876994312e-05,0.0019953000301029533,0.00018009997438639402,4.650000482797623e-05,0.0001584000128787011
384,1,Improved-gOMP,optimized,0.0011325000086799264,3.170000854879618e-05,0.0005365000106394291,0.0002440999960526824,4.370001261122525e-05,0.00012889996287412941
384,2,Improved-gOMP,baseline,0.0032424000091850758,3.129997639916837e-05,0.002210400067269802,0.00017860002117231488,3.9799982914701104e-05,0.000440200004959479
384,2,Improved-gOMP,optimized,0.0011566999892238528,2.8099952032789588e-05,0.0005674000130966306,0.00024189997930079699,4.1099992813542485e-05,0.00012670000432990491
384,3,Improved-gOMP,baseline,0.0020705999922938645,3.1100003980100155e-05,0.0015551999968010932,0.0001469000126235187,4.12999652326107e-05,3.400025889277458e-06
384,3,Improved-gOMP,optimized,0.001308799983235076,3.130000550299883e-05,0.0006657999474555254,0.0003651999868452549,5.229999078437686e-05,3.0999653972685337e-06
384,4,Improved-gOMP,baseline,0.00179720000596717,2.599993604235351e-05,0.001382599992211908,0.00013059997581876814,3.099997411482036e-05,3.00002284348011e-06
384,4,Improved-gOMP,optimized,0.0008384000102523714,2.249996759928763e-05,0.00045449999743141234,0.00020769995171576738,3.549997927621007e-05,2.100015990436077e-06
512,0,Improved-gOMP,baseline,0.0031993000011425465,4.489996354095638e-05,0.002154000016162172,0.00023179996060207486,5.939995753578842e-05,0.00020080004469491541
512,0,Improved-gOMP,optimized,0.0014140999992378056,5.460003740154207e-05,0.0006748999876435846,0.00027969994698651135,8.410002919845283e-05,0.00013689999468624592
512,1,Improved-gOMP,baseline,0.00369660000433214,8.280001929961145e-05,0.0023594000085722655,0.00027099999715574086,7.109998841769993e-05,0.00018690002616494894
512,1,Improved-gOMP,optimized,0.0013636999938171357,5.0300004659220576e-05,0.0006573999708052725,0.00027619997854344547,6.019999273121357e-05,0.00013810000382363796
512,2,Improved-gOMP,baseline,0.00303580000763759,3.899997682310641e-05,0.002016999962506816,0.00018779997481033206,4.660006379708648e-05,0.00040600000647827983
512,2,Improved-gOMP,optimized,0.0010289000056218356,2.9099988751113415e-05,0.0004841000190936029,0.00021309999283403158,4.2899977415800095e-05,0.00012459998833946884
512,3,Improved-gOMP,baseline,0.0034653000184334815,4.569999873638153e-05,0.0020951000333297998,0.00017790001584216952,6.540000322274864e-05,0.0007309999782592058
512,3,Improved-gOMP,optimized,0.0012980999890714884,4.39999857917428e-05,0.0006061999883968383,0.00025790004292503,5.8899924624711275e-05,0.00015130001702345908
512,4,Improved-gOMP,baseline,0.003878999996231869,4.129999433644116e-05,0.0025391999806743115,0.00018649999401532114,4.75000124424696e-05,0.0006869999633636326
512,4,Improved-gOMP,optimized,0.0016133000026457012,4.2199972085654736e-05,0.0007407999946735799,0.0003191000141669065,5.98999613430351e-05,0.00026150004123337567
