ablation_variant,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
full_suite,0,Improved-gOMP,optimized,0.0011194049984624144,2.164499892387539e-05,0.0006173510009830352,0.0002003800036618486,3.3075000828830525e-05,0.0001177829944936093
full_suite,1,Improved-gOMP,optimized,0.0010770619992399588,3.8588997995248064e-05,0.0005726130002585705,0.00021453399676829576,3.5977001971332356e-05,4.018100298708305e-05
full_suite,2,Improved-gOMP,optimized,0.001109272001485806,2.5647001166362315e-05,0.0006936479949217755,0.00021912900410825387,3.6939996789442375e-05,2.8459980967454612e-06
full_suite,3,Improved-gOMP,optimized,0.0009366579979541712,2.2281001292867586e-05,0.0004789259983226657,0.00018424799782224,3.149499752908014e-05,9.955499626812525e-05
full_suite,4,Improved-gOMP,optimized,0.0007240000013553072,1.7511996702523902e-05,0.00041765299829421565,0.00016378700092900544,2.655500065884553e-05,2.0859988580923527e-06
full_suite,5,Improved-gOMP,optimized,0.0007883959988248535,3.1602001399733126e-05,0.0004403510029078461,0.00017661200035945512,2.9299993911990896e-05,4.2140054574701935e-06
full_suite,6,Improved-gOMP,optimized,0.0007870979970903136,1.889299528556876e-05,0.0004447189967322629,0.00018071999875246547,2.99460043606814e-05,2.1679989004042e-06
full_suite,7,Improved-gOMP,optimized,0.0008109869995678309,2.105499879689887e-05,0.0004587280018313322,0.000190610000572633,3.49549954989925e-05,2.2070016711950302e-06
full_suite,8,Improved-gOMP,optimized,0.0008701500009919982,1.9978004274889827e-05,0.0004909650015179068,0.0001930639919009991,4.3153995648026466e-05,2.2319982235785574e-06
full_suite,9,Improved-gOMP,optimized,0.0007722859991190489,2.207299621659331e-05,0.00043790200288640335,0.00016561100346734747,3.1618001230526716e-05,2.1709929569624364e-06
full_suite,10,Improved-gOMP,optimized,0.0006257610002649017,1.3336997653823346e-05,0.00035295700217830017,0.00015331499525927939,2.3438005882781e-05,1.7220008885487914e-06
full_suite,11,Improved-gOMP,optimized,0.0007206919981399551,1.9721999706234783e-05,0.0004153240006417036,0.00016212999980780296,2.8103004297008738e-05,2.048003807431087e-06
full_suite,12,Improved-gOMP,optimized,0.0007441759989887942,1.8542996258474886e-05,0.0004271910001989454,0.00016513000446138903,3.054000262636691e-05,2.0750012481585145e-06
full_suite,13,Improved-gOMP,optimized,0.0005634660010400694,1.5633999282727018e-05,0.0003165740017720964,0.00012782100020558573,2.2659001842839643e-05,1.676999090705067e-06
full_suite,14,Improved-gOMP,optimized,0.0008549730009690393,1.794800118659623e-05,0.0005056929985585157,0.0001872040011221543,3.221399674657732e-05,2.220000169472769e-06
full_suite,15,Improved-gOMP,optimized,0.0007932730004540645,2.0970994228264317e-05,0.0004534419967967551,0.00016882899217307568,2.957800097647123e-05,2.2740023268852383e-06
full_suite,16,Improved-gOMP,optimized,0.0012607900025614072,2.227200093329884e-05,0.000678937001794111,0.00024399299945798703,3.83160040655639e-05,0.0001296860064030625
full_suite,17,Improved-gOMP,optimized,0.0007001879966992419,1.6971993318293244e-05,0.00040879500375012867,0.00015386999803013168,2.5462995836278424e-05,2.0049992599524558e-06
full_suite,18,Improved-gOMP,optimized,0.0009607050014892593,2.0423001842573285e-05,0.00047612499838578515,0.00018505200205254368,3.1967003451427445e-05,0.00012807000166503713
full_suite,19,Improved-gOMP,optimized,0.0007207240014395211,1.8700997316045687e-05,0.00040988500040839426,0.0001549139997223392,3.96129944419954e-05,2.1600026229862124e-06
full_suite,20,Improved-gOMP,optimized,0.0006112010014476255,1.5678993804613128e-05,0.00034674400376388803,0.0001416910017724149,2.3642998712603003e-05,1.6270059859380126e-06
full_suite,21,Improved-gOMP,optimized,0.001079149998986395,2.0639996364479885e-05,0.0005641340030706488,0.00020704300186480395,3.36519988195505e-05,0.00012174500079709105
full_suite,22,Improved-gOMP,optimized,0.0010372369979450013,2.4572003894718364e-05,0.0005431520075944718,0.00020364799638628028,3.489699156489223e-05,0.00010322199887013994
full_suite,23,Improved-gOMP,optimized,0.0005736990024161059,1.3625998690258712e-05,0.0003216139994037803,0.0001314510009251535,2.2043004719307646e-05,1.663000148255378e-06
full_suite,24,Improved-gOMP,optimized,0.0005847100001119543,1.5182999050011858e-05,0.00033519800126668997,0.00013061299978289753,2.346800101804547e-05,1.471998984925449e-06
full_suite,25,Improved-gOMP,optimized,0.0005552279981202446,1.3327997294254601e-05,0.0003201930048817303,0.00012332099868217483,2.026300353463739e-05,1.5500008885283023e-06
full_suite,26,Improved-gOMP,optimized,0.0015264960020431317,2.6289002562407404e-05,0.0006990359943301883,0.00023738799791317433,4.525500116869807e-05,0.00037832600355613977
full_suite,27,Improved-gOMP,optimized,0.0007598279989906587,1.8375001673121005e-05,0.0004387440021673683,0.00017003300308715552,2.7203001081943512e-05,2.273001882713288e-06
full_suite,28,Improved-gOMP,optimized,0.0011303499995847233,2.225400385214016e-05,0.0006786480007576756,0.00024253800438600592,6.273200051509775e-05,2.5449953682255e-06
full_suite,29,Improved-gOMP,optimized,0.0007139119989005849,1.7472004401497543e-05,0.00041430200144532137,0.00015813799836905673,2.616300480440259e-05,1.93000232684426e-06
