coeff_mode,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,0,Improved-gOMP,baseline,0.005258188000880182,6.292303442023695e-05,0.0039297319744946435,0.00032489802106283605,8.399796206504107e-05,0.00018505900516174734
gaussian,0,Improved-gOMP,optimized,0.0014084400027059019,3.163202200084925e-05,0.0007345020130742341,0.0002827870048349723,5.092198261991143e-05,0.00013638399832416326
gaussian,1,Improved-gOMP,baseline,0.0030098169954726472,4.293698293622583e-05,0.002043139989837073,0.0001804759813239798,3.847201878670603e-05,0.0002177110145566985
gaussian,1,Improved-gOMP,optimized,0.0016369890072382987,3.6555997212417424e-05,0.0008584929892094806,0.0003194190067006275,4.484601959120482e-05,0.00014944002032279968
gaussian,2,Improved-gOMP,baseline,0.001898760994663462,2.6640002033673227e-05,0.0014454349875450134,0.00013299399870447814,3.213799209333956e-05,3.7380086723715067e-06
gaussian,2,Improved-gOMP,optimized,0.000900846003787592,2.389799919910729e-05,0.0005032320041209459,0.0002045510191237554,3.417000698391348e-05,2.7709902497008443e-06
gaussian,3,Improved-gOMP,baseline,0.002829210992786102,3.2904004910960793e-05,0.0019513500155881047,0.0002264259965158999,4.4823013013228774e-05,0.00017929100431501865
gaussian,3,Improved-gOMP,optimized,0.0016479210025863722,3.060798917431384e-05,0.0007933800225146115,0.00034187200071755797,9.285901614930481e-05,0.00015975700807757676
gaussian,4,Improved-gOMP,baseline,0.002555355997174047,3.198299964424223e-05,0.0017910989990923554,0.00017703899357002228,3.921899769920856e-05,0.00016828399384394288
gaussian,4,Improved-gOMP,optimized,0.0011022039980161935,3.313599154353142e-05,0.0005712059792131186,0.0003096049913438037,4.111199814360589e-05,2.712986315600574e-06
gaussian,5,Improved-gOMP,baseline,0.0029563459975179285,3.66460153600201e-05,0.002098237004247494,0.00019487501413095742,3.980402834713459e-05,0.0001699459826340899
gaussian,5,Improved-gOMP,optimized,0.0012223710073158145,2.295500598847866e-05,0.0006153869908303022,0.00025797297712415457,3.805798769462854e-05,0.00013347102503757924
gaussian,6,Improved-gOMP,baseline,0.002472382999258116,3.305998689029366e-05,0.001710794007522054,0.0001733290118863806,3.764998109545559e-05,0.00015587900998070836
gaussian,6,Improved-gOMP,optimized,0.0012541379983304068,2.83479894278571e-05,0.0006238759669940919,0.00025496899615973234,4.22889570472762e-05,0.00013679898984264582
gaussian,7,Improved-gOMP,baseline,0.002805229989462532,2.8584996471181512e-05,0.0017776769964257255,0.00017195698455907404,3.67519969586283e-05,0.00018757398356683552
gaussian,7,Improved-gOMP,optimized,0.003988853000919335,6.380099512171e-05,0.0022434330167016014,0.0007788920047460124,0.00013402501645032316,0.0003458770224824548
gaussian,8,Improved-gOMP,baseline,0.0034505439980421215,3.6878016544505954e-05,0.002319145016372204,0.00018392100173514336,4.387901572044939e-05,0.0004584050038829446
gaussian,8,Improved-gOMP,optimized,0.0014533750072587281,3.175102756358683e-05,0.000788021003245376,0.00028310800553299487,4.4145999709144235e-05,0.00013322300219442695
gaussian,9,Improved-gOMP,baseline,0.004096386008313857,5.879100353922695e-05,0.0029798409959767014,0.00023151100322138518,6.351000047288835e-05,0.00016580997908022255
gaussian,9,Improved-gOMP,optimized,0.0014118859980953857,4.2302985093556345e-05,0.0006655119941569865,0.00030434600193984807,5.473097553476691e-05,0.00016487599350512028
gaussian,10,Improved-gOMP,baseline,0.002753705994109623,3.304498386569321e-05,0.0019295649835839868,0.00016690399206709117,4.735600668936968e-05,0.00019267799507360905
gaussian,10,Improved-gOMP,optimized,0.0015913189999992028,3.191098221577704e-05,0.0008452130277873948,0.00030082000012043864,5.32980338903144e-05,0.00015987397637218237
gaussian,11,Improved-gOMP,baseline,0.0027939790015807375,2.925195440184325e-05,0.001994439007830806,0.00019491997954901308,4.0081984479911625e-05,0.00016338098794221878
gaussian,11,Improved-gOMP,optimized,0.0014565579913323745,2.6005975087173283e-05,0.0007373620028374717,0.00031233699701260775,5.256201256997883e-05,0.00015458400594070554
gaussian,12,Improved-gOMP,baseline,0.002534012994146906,3.8394980947487056e-05,0.0017258139996556565,0.00018277599883731455,6.067501090001315e-05,0.0001592759945197031
gaussian,12,Improved-gOMP,optimized,0.0015421919961227104,2.878799568861723e-05,0.0008027380099520087,0.0003073129919357598,4.95970161864534e-05,0.00017395699978806078
gaussian,13,Improved-gOMP,baseline,0.003831515001365915,4.0062019252218306e-05,0.002561087007052265,0.00023802602663636208,4.7066991101019084e-05,0.0004593130142893642
gaussian,13,Improved-gOMP,optimized,0.001523540006019175,2.5771980290301144e-05,0.000876814010553062,0.0002641640021465719,4.030998388770968e-05,0.00014186101907398552
gaussian,14,Improved-gOMP,baseline,0.0029525059944717214,3.3593998523429036e-05,0.002075636017252691,0.0001979609951376915,4.990299930796027e-05,0.0001684220042079687
gaussian,14,Improved-gOMP,optimized,0.0015812640049261972,3.390299389138818e-05,0.0008168759813997895,0.00033013599750120193,5.521401180885732e-05,0.00014941197878215462
gaussian,15,Improved-gOMP,baseline,0.0028837659920100123,3.3671982237137854e-05,0.0019907630048692226,0.00018628397083375603,3.660199581645429e-05,0.00017749599646776915
gaussian,15,Improved-gOMP,optimized,0.0013249229959910735,3.1189993023872375e-05,0.0006710949819535017,0.00026417599292472005,5.341600626707077e-05,0.00012036599218845367
gaussian,16,Improved-gOMP,baseline,0.002841459005139768,6.405900057870895e-05,0.00196661202062387,0.00019293997320346534,4.134302434977144e-05,0.00017069200112018734
gaussian,16,Improved-gOMP,optimized,0.0012546820071293041,2.99219973385334e-05,0.0006549320096382871,0.00024378797388635576,4.1508013964630663e-05,0.00012223896919749677
gaussian,17,Improved-gOMP,baseline,0.002903160988353193,3.326899604871869e-05,0.0020206379995215684,0.00021710201690439135,5.3849013056606054e-05,0.0001874990266514942
gaussian,17,Improved-gOMP,optimized,0.0010600690002320334,2.3931002942845225e-05,0.0006116520380601287,0.00023727100051473826,3.744002606254071e-05,3.1640083761885762e-06
gaussian,18,Improved-gOMP,baseline,0.0031992019939934835,4.490101127885282e-05,0.002182418975280598,0.00019163901743013412,5.092403443995863e-05,0.00023276402498595417
gaussian,18,Improved-gOMP,optimized,0.0015796999941812828,3.371397906448692e-05,0.0008066479786066338,0.0003551150148268789,5.0417002057656646e-05,0.00013569001748692244
gaussian,19,Improved-gOMP,baseline,0.003003067002282478,3.926698991563171e-05,0.002066280983854085,0.00024067699268925935,5.668897938448936e-05,0.00018276700575370342
gaussian,19,Improved-gOMP,optimized,0.0015414920053444803,3.533798735588789e-05,0.0007943010132294148,0.000296921978588216,5.0578993977978826e-05,0.00013806897914037108
gaussian,20,Improved-gOMP,baseline,0.003926126009901054,3.525700594764203e-05,0.0026042090175906196,0.00020720700558740646,5.094800144433975e-05,0.0005572009977186099
gaussian,20,Improved-gOMP,optimized,0.00143426499562338,2.6581983547657728e-05,0.0007177930237958208,0.00029031801386736333,4.032299329992384e-05,0.00018475700926501304
gaussian,21,Improved-gOMP,baseline,0.003572759000235237,3.288700827397406e-05,0.002330134011572227,0.00020673796825576574,4.1471008444204926e-05,0.0005521369748748839
gaussian,21,Improved-gOMP,optimized,0.001599524010089226,3.481398744042963e-05,0.000817570005892776,0.00031554298766423017,5.872399196960032e-05,0.00018833002832252532
gaussian,22,Improved-gOMP,baseline,0.00369908100401517,2.944200241472572e-05,0.002454948000377044,0.00020577298710122705,5.377100023906678e-05,0.0005293820140650496
gaussian,22,Improved-gOMP,optimized,0.002026358008151874,3.0336988857015967e-05,0.0009235220059053972,0.0003080539754591882,4.6685003326274455e-05,0.0005169199866941199
gaussian,23,Improved-gOMP,baseline,0.0029474400071194395,3.938699956052005e-05,0.002047032001428306,0.00019355901167728007,4.646800516638905e-05,0.0001921760122058913
gaussian,23,Improved-gOMP,optimized,0.001338259011390619,3.002501034643501e-05,0.0006877879932289943,0.0002685559884412214,4.459297633729875e-05,0.00013848200615029782
gaussian,24,Improved-gOMP,baseline,0.0039266660023713484,3.852102963719517e-05,0.002895006982726045,0.0002295640151714906,5.865698039997369e-05,0.00020794299780391157
gaussian,24,Improved-gOMP,optimized,0.0014787880063522607,3.473499964457005e-05,0.0007449830009136349,0.00028444100462365896,8.816900663077831e-05,0.0001320850133197382
gaussian,25,Improved-gOMP,baseline,0.0016679719992680475,1.9762999727390707e-05,0.0012644910166272894,0.00011115000233985484,3.1019008019939065e-05,3.67801112588495e-06
gaussian,25,Improved-gOMP,optimized,0.0007882550125941634,1.8450984498485923e-05,0.00044714300020132214,0.00017031202150974423,2.8224982088431716e-05,2.1899904822930694e-06
gaussian,26,Improved-gOMP,baseline,0.0034935619914904237,4.578901280183345e-05,0.0022942339855944738,0.00023355901066679507,5.523199797607958e-05,0.0004297290142858401
gaussian,26,Improved-gOMP,optimized,0.0019962229998782277,3.369100159034133e-05,0.0011241310130571947,0.00039218898746185005,6.219198985490948e-05,0.00018054500105790794
gaussian,27,Improved-gOMP,baseline,0.002912167998147197,3.6492012441158295e-05,0.002002450986765325,0.00024542798928450793,5.497700476553291e-05,0.00016009702812880278
gaussian,27,Improved-gOMP,optimized,0.001419941007043235,2.7844012947753072e-05,0.0007393359992420301,0.0002827769931172952,4.307199560571462e-05,0.00012698200589511544
gaussian,28,Improved-gOMP,baseline,0.0030238840117817745,3.5707998904399574e-05,0.002089351008180529,0.00019646098371595144,4.2113999370485544e-05,0.00020450200827326626
gaussian,28,Improved-gOMP,optimized,0.0016905209922697395,3.256599302403629e-05,0.0007871190027799457,0.00040918799641076475,5.83789951633662e-05,0.00019545498071238399
gaussian,29,Improved-gOMP,baseline,0.0034567510010674596,4.52369567938149e-05,0.0022590229782508686,0.00020947599841747433,5.2354022045619786e-05,0.0004631560150301084
gaussian,29,Improved-gOMP,optimized,0.001852877001510933,3.114198625553399e-05,0.0007506069960072637,0.00027394302014727145,3.963400376960635e-05,0.0005674229905707762
gaussian,30,Improved-gOMP,baseline,0.004217440000502393,3.741499676834792e-05,0.0029025939875282347,0.00021448101324494928,4.805000207852572e-05,0.0005172170349396765
gaussian,30,Improved-gOMP,optimized,0.001223131999722682,2.8124995878897607e-05,0.0007296220137504861,0.0002506029704818502,5.359199712984264e-05,3.254011971876025e-06
