matrix_kind,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,0,Improved-gOMP,baseline,0.003169167001033202,3.084400304942392e-05,0.0021400949990493245,0.00018792900300468318,4.0278002416016534e-05,0.00037034900014987215
gaussian,0,Improved-gOMP,optimized,0.0012994530006835703,2.798600326059386e-05,0.0006469549989560619,0.00026475300182937644,4.134099435759708e-05,0.00013553000462707132
gaussian,1,Improved-gOMP,baseline,0.0022575809998670593,2.5130004360107705e-05,0.0015632039940101095,0.00014761199781787582,3.188700065948069e-05,0.00014834800094831735
gaussian,1,Improved-gOMP,optimized,0.0012014229978376534,2.5146000552922487e-05,0.0006497239955933765,0.0002313089971721638,3.80020028387662e-05,0.0001103470021917019
gaussian,2,Improved-gOMP,baseline,0.0024743929971009493,2.5787001504795626e-05,0.0016601499992248137,0.00022208700102055445,4.254699524608441e-05,0.00014496099538519047
gaussian,2,Improved-gOMP,optimized,0.0014970360025472473,2.751500142039731e-05,0.0006169579974084627,0.0002410929992038291,3.622800431912765e-05,0.00040487199294148013
gaussian,3,Improved-gOMP,baseline,0.002050695999059826,2.589900395832956e-05,0.0014532590030285064,0.00014482500046142377,3.2743999327067286e-05,0.0001243919978151098
gaussian,3,Improved-gOMP,optimized,0.0007900109994807281,2.1157004084670916e-05,0.00043772999561042525,0.00018916299450211227,3.269199805799872e-05,2.377004420850426e-06
gaussian,4,Improved-gOMP,baseline,0.0021509729995159432,2.565500108175911e-05,0.0015331099930335768,0.00014602999362978153,3.1497002055402845e-05,0.00012181500642327592
gaussian,4,Improved-gOMP,optimized,0.0007230760020320304,1.8003000150201842e-05,0.00041387600140296854,0.00016592899555689655,2.6611996872816235e-05,2.1840023691765964e-06
gaussian,5,Improved-gOMP,baseline,0.002156352999008959,2.8188005671836436e-05,0.0015189120022114366,0.000150788007886149,3.300599928479642e-05,0.000132581997604575
