snr_db,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
5.0,0,Improved-gOMP,baseline,0.0017693910012894776,2.8748996555805206e-05,0.0013254439982119948,0.00010204200225416571,2.5016997824423015e-05,3.203000233042985e-06
5.0,0,Improved-gOMP,optimized,0.001142678000178421,1.756699930410832e-05,0.0007367969956248999,0.00021378200835897587,2.90019997919444e-05,2.5749977794475853e-06
5.0,1,Improved-gOMP,baseline,0.001348312998743495,1.6860001778695732e-05,0.0010207239902229048,9.47720036492683e-05,2.3511001927545294e-05,2.154003595933318e-06
5.0,1,Improved-gOMP,optimized,0.0004951600021740887,1.1337000614730641e-05,0.0002728019971982576,0.00011722399722202681,1.752200478222221e-05,1.5410005289595574e-06
5.0,2,Improved-gOMP,baseline,0.0007935400026326533,1.1883003026014194e-05,0.0005955730011919513,5.6852000852813944e-05,1.657299799262546e-05,1.5259975043591112e-06
5.0,2,Improved-gOMP,optimized,0.00049583800137043,1.1024003470083699e-05,0.0002693560018087737,0.0001232169997820165,1.7868002032628283e-05,1.4750039554201066e-06
5.0,3,Improved-gOMP,baseline,0.0008355610007129144,1.3772998499916866e-05,0.0006228759993973654,5.883999983780086e-05,1.6895002772798762e-05,1.6569974832236767e-06
5.0,3,Improved-gOMP,optimized,0.0004754209985549096,1.3376004062592983e-05,0.00026008700297097676,0.00011278699821559712,1.79049966391176e-05,1.395997969666496e-06
5.0,4,Improved-gOMP,baseline,0.0008325950002472382,1.1945998267037794e-05,0.000627840003289748,5.604599937214516e-05,1.5500998415518552e-05,1.7330021364614367e-06
5.0,4,Improved-gOMP,optimized,0.0003332149972266052,6.924998160684481e-06,0.000179745999048464,7.935300163808279e-05,1.2866996257798746e-05,1.0499970812816173e-06
5.0,5,Improved-gOMP,baseline,0.0005919079994782805,8.821996743790805e-06,0.00045113099986338057,3.608000042731874e-05,1.1132000508951023e-05,1.077001797966659e-06
5.0,5,Improved-gOMP,optimized,0.0003410839999560267,7.336999260587618e-06,0.00016722299915272743,7.75439984863624e-05,2.5663997803349048e-05,1.043998054228723e-06
5.0,6,Improved-gOMP,baseline,0.0011600510006246623,1.7444002878619358e-05,0.0008399480029765982,0.00012059800064889714,2.5201003154506907e-05,2.020999090746045e-06
5.0,6,Improved-gOMP,optimized,0.0004973779978172388,1.2344000424491242e-05,0.0002648720001161564,0.0001291170046897605,1.8964001355925575e-05,1.348002115264535e-06
5.0,7,Improved-gOMP,baseline,0.0008852430000843015,1.2582997442223132e-05,0.0006710130001010839,5.72280005144421e-05,1.546800194773823e-05,1.59599949256517e-06
5.0,7,Improved-gOMP,optimized,0.00048615400010021403,1.0905001545324922e-05,0.00025606700364733115,0.0001111310011765454,1.6701000276952982e-05,1.468000846216455e-06
5.0,8,Improved-gOMP,baseline,0.001263049998669885,1.8982998881256208e-05,0.0009400150011060759,9.807300375541672e-05,2.4134998966474086e-05,2.0169973140582442e-06
5.0,8,Improved-gOMP,optimized,0.0003140110020467546,8.12299913377501e-06,0.00016117999984999187,7.567699867649935e-05,1.2424996384652331e-05,1.000997144728899e-06
5.0,9,Improved-gOMP,baseline,0.0012931669989484362,1.6363002941943705e-05,0.0010354480000387412,7.023199941613711e-05,1.9006998627446592e-05,2.176999259972945e-06
5.0,9,Improved-gOMP,optimized,0.0006432560003304388,1.5819001419004053e-05,0.0003552330017555505,0.00013308499910635874,2.1055999241070822e-05,1.6459962353110313e-06
5.0,10,Improved-gOMP,baseline,0.0011603999992075842,1.8184000509791076e-05,0.0008761780009081122,8.299099499708973e-05,2.1740001102443784e-05,2.0519983081612736e-06
5.0,10,Improved-gOMP,optimized,0.00048508899999433197,1.2193995644338429e-05,0.00027465700259199366,0.00010991799717885442,1.857500319601968e-05,1.4020006346981972e-06
5.0,11,Improved-gOMP,baseline,0.0015315290002035908,1.87539953913074e-05,0.0012054929975420237,9.959899762179703e-05,2.6048001018352807e-05,2.4890068743843585e-06
5.0,11,Improved-gOMP,optimized,0.0007270089990925044,1.6024005162762478e-05,0.00039101500078686513,0.0001687520016275812,2.729799598455429e-05,2.0260013116057962e-06
5.0,12,Improved-gOMP,baseline,0.001136881001002621,1.8022998119704425e-05,0.0008578549968660809,8.581600195611827e-05,2.2824002371635288e-05,2.0030020095873624e-06
5.0,12,Improved-gOMP,optimized,0.000764885000535287,1.9645001884782687e-05,0.0004195419969619252,0.00018531699970480986,3.533800190780312e-05,2.086995664285496e-06
5.0,13,Improved-gOMP,baseline,0.0007680890012125019,1.1252999684074894e-05,0.0005652949985233136,5.3902000217931345e-05,1.483699816162698e-05,1.4279976312536746e-06
5.0,13,Improved-gOMP,optimized,0.00045914400106994435,1.0867996024899185e-05,0.00025392599854967557,0.00010928699703072198,1.6547997802263126e-05,1.4809993444941938e-06
5.0,14,Improved-gOMP,baseline,0.0008126040011120494,1.280799915548414e-05,0.0006144850012788083,5.621700256597251e-05,1.644100120756775e-05,1.4939978427719325e-06
5.0,14,Improved-gOMP,optimized,0.0004704329985543154,1.242099460796453e-05,0.0002592750024632551,0.00011279800310148858,1.7677000869298354e-05,1.448002876713872e-06
5.0,15,Improved-gOMP,baseline,0.0012461799997254275,1.539599907118827e-05,0.0009682759991846979,8.516300295013934e-05,2.0876002963632345e-05,2.0129991753492504e-06
5.0,15,Improved-gOMP,optimized,0.00045762899753754027,1.0399999155197293e-05,0.0002503949981473852,0.00010769400250865147,1.6299003618769348e-05,1.3969984138384461e-06
5.0,16,Improved-gOMP,baseline,0.0033417880003980827,4.728200292447582e-05,0.0027395099968998693,0.00018638499750522897,4.9592996219871566e-05,3.3610012906137854e-06
5.0,16,Improved-gOMP,optimized,0.001296450001973426,2.6337998860981315e-05,0.0007715929968981072,0.0003056840068893507,4.5455002691596746e-05,3.1130039133131504e-06
5.0,17,Improved-gOMP,baseline,0.001183549000415951,1.571000029798597e-05,0.0009015269970404916,8.556899774703197e-05,2.1623000066028908e-05,2.0889965526293963e-06
5.0,17,Improved-gOMP,optimized,0.0006888110001455061,1.5070996596477926e-05,0.0003869120009767357,0.0001689119999355171,2.414199843769893e-05,2.0049992599524558e-06
5.0,18,Improved-gOMP,baseline,0.0011532600001373794,1.7501999536762014e-05,0.0008829339967633132,8.29800010251347e-05,2.295800732099451e-05,1.7929996829479933e-06
5.0,18,Improved-gOMP,optimized,0.0004930719987896737,1.204199725179933e-05,0.0002830820012604818,0.00011017600263585337,1.8703998648561537e-05,1.334996341029182e-06
5.0,19,Improved-gOMP,baseline,0.0007861599988245871,1.2242002412676811e-05,0.0005961889983154833,5.250499816611409e-05,1.5592995623592287e-05,1.4610013749916106e-06
5.0,19,Improved-gOMP,optimized,0.000304469998809509,7.654998626094311e-06,0.00015574200006085448,7.542099774582312e-05,1.235599847859703e-05,9.479954314883798e-07
5.0,20,Improved-gOMP,baseline,0.0008520949995727278,1.2780998076777905e-05,0.0006117849989095703,8.258400339400396e-05,1.9478007743600756e-05,1.667995093157515e-06
5.0,20,Improved-gOMP,optimized,0.0007651080013602041,1.4681001630378887e-05,0.0004669699992518872,0.00016121400039992295,2.414600021438673e-05,2.0830048015341163e-06
5.0,21,Improved-gOMP,baseline,0.0007461200002580881,1.1052004992961884e-05,0.0005597000017587561,5.3498999477596954e-05,1.4338998880703002e-05,1.5360019460786134e-06
5.0,21,Improved-gOMP,optimized,0.0005467109986057039,1.1686999641824514e-05,0.00030440499904216267,0.00012783100100932643,1.893599983304739e-05,1.5179975889623165e-06
5.0,22,Improved-gOMP,baseline,0.000813995000498835,1.3507997209671885e-05,0.000617205001617549,5.535699528991245e-05,1.6913996660150588e-05,1.4829965948592871e-06
5.0,22,Improved-gOMP,optimized,0.0005470180003612768,1.2798998795915395e-05,0.00031840899464441463,0.00011995400200248696,2.031999611062929e-05,1.5600016922689974e-06
5.0,23,Improved-gOMP,baseline,0.0004820260000997223,8.08499680715613e-06,0.00036130599983152933,3.258800279581919e-05,1.036200046655722e-05,9.659997886046767e-07
5.0,23,Improved-gOMP,optimized,0.0003002160010510124,1.487800182076171e-05,0.00015115199857973494,7.21159995009657e-05,1.1667998478515074e-05,9.2400296125561e-07
5.0,24,Improved-gOMP,baseline,0.0008242580006481148,1.1829000868601725e-05,0.0006242989984457381,5.7634999393485487e-05,1.605199577170424e-05,1.5030018403194845e-06
5.0,24,Improved-gOMP,optimized,0.0004950279981130734,1.0448002285556868e-05,0.00026079799863509834,0.0001319250040978659,1.8915998225566e-05,1.4329998521134257e-06
5.0,25,Improved-gOMP,baseline,0.0010926069990091491,1.7056005162885413e-05,0.0008237040019594133,8.231399988289922e-05,2.1938001736998558e-05,1.8989994714502245e-06
5.0,25,Improved-gOMP,optimized,0.0008028689990169369,1.9871000404236838e-05,0.00046127399764372967,0.00017066000145860016,2.847799623850733e-05,2.221993781859055e-06
5.0,26,Improved-gOMP,baseline,0.0008585739997215569,1.3059001503279433e-05,0.0006322359949990641,5.786600013379939e-05,2.7123001927975565e-05,1.5559962776023895e-06
5.0,26,Improved-gOMP,optimized,0.00038806100201327354,7.621001714142039e-06,0.0002069590009341482,9.446599869988859e-05,1.9551000150386244e-05,1.0440016922075301e-06
5.0,27,Improved-gOMP,baseline,0.0007876399977249093,1.4452001778408885e-05,0.0005833509967487771,5.3259998821886256e-05,1.6013000276871026e-05,1.4659999578725547e-06
5.0,27,Improved-gOMP,optimized,0.00030084899844950996,8.184997568605468e-06,0.00015566799629596062,7.464100053766742e-05,1.237299875356257e-05,1.0039984772447497e-06
5.0,28,Improved-gOMP,baseline,0.0008499300020048395,1.255300230695866e-05,0.0006482149983639829,5.661899922415614e-05,1.5239002095768228e-05,1.5550031093880534e-06
5.0,28,Improved-gOMP,optimized,0.0004983780017937534,1.0731993825174868e-05,0.00026779200561577454,0.00011990400162176229,1.8469003407517448e-05,1.4459983503911644e-06
5.0,29,Improved-gOMP,baseline,0.0014845690020592883,2.1325002308003604e-05,0.0011272420015302487,0.00011281299885013141,2.602800668682903e-05,2.2849999368190765e-06
5.0,29,Improved-gOMP,optimized,0.0007268539993674494,1.702599911368452e-05,0.0004093039970030077,0.00017184299940709025,3.828899934887886e-05,1.8179998733103275e-06
10.0,0,Improved-gOMP,baseline,0.0022185939997143578,2.5802004529396072e-05,0.0015765059979457874,0.00012637899635592476,3.124500290141441e-05,0.00014455099517363124
10.0,0,Improved-gOMP,optimized,0.0010339299988118,2.1036998077761382e-05,0.0004756320013257209,0.00023118999888538383,3.318300150567666e-05,0.00013054000373813324
10.0,1,Improved-gOMP,baseline,0.0011397259986551944,1.7648002540227026e-05,0.0008697350021975581,7.956700210343115e-05,2.0972998754587024e-05,1.9229955796618015e-06
10.0,1,Improved-gOMP,optimized,0.0005945550001342781,1.619400063646026e-05,0.0003365199991094414,0.0001355560016236268,2.3535005311714485e-05,1.8660030036699027e-06
10.0,2,Improved-gOMP,baseline,0.0011393860004318412,1.7362999642500654e-05,0.0008618140018370468,8.530299965059385e-05,2.1062998712295666e-05,1.9139988580718637e-06
10.0,2,Improved-gOMP,optimized,0.0007224319997476414,1.719599822536111e-05,0.00042391600072733127,0.0001516660013294313,3.7374997191363946e-05,6.10899951425381e-06
10.0,3,Improved-gOMP,baseline,0.0027107759997306857,3.1661995308240876e-05,0.0018598899987409823,0.00016113299716380425,3.4462998883100227e-05,0.0003258459983044304
10.0,3,Improved-gOMP,optimized,0.000984321999567328,2.09560057555791e-05,0.0004853939972235821,0.00021006599490647204,3.107399970758706e-05,0.00011728800018317997
10.0,4,Improved-gOMP,baseline,0.0016624439995212015,2.1746003767475486e-05,0.0011561249993974343,0.0001151489959738683,2.595000114524737e-05,0.00012077499923179857
10.0,4,Improved-gOMP,optimized,0.0009271540002373513,2.01479961106088e-05,0.00047296400225604884,0.00018327199722989462,2.8129001293564215e-05,0.0001106609997805208
10.0,5,Improved-gOMP,baseline,0.0017250620003324002,2.2415999410441145e-05,0.0011631779962044675,0.00012931800665683113,3.052300598938018e-05,0.00014203899991116486
10.0,5,Improved-gOMP,optimized,0.0006531019971589558,1.6150999726960436e-05,0.00036828600423177704,0.00014818800627836026,2.7869999030372128e-05,1.911997969727963e-06
10.0,6,Improved-gOMP,baseline,0.0011861349994433112,1.873999644885771e-05,0.0008933239951147698,8.918199819163419e-05,2.4245000531664118e-05,1.9260005501564592e-06
10.0,6,Improved-gOMP,optimized,0.0007332590030273423,1.6982998204184696e-05,0.0004440119992068503,0.0001552660069137346,2.5605997507227585e-05,1.89200000022538e-06
10.0,7,Improved-gOMP,baseline,0.001443289002054371,1.7526999727124348e-05,0.0011480739958642516,8.795100075076334e-05,2.2667001758236438e-05,2.063996362267062e-06
10.0,7,Improved-gOMP,optimized,0.0007276469987118617,1.7700993339531124e-05,0.00041008100015460514,0.00017946899970411323,2.5645000278018415e-05,1.8980026652570814e-06
10.0,8,Improved-gOMP,baseline,0.0009654649984440766,1.6680998669471592e-05,0.0007402149931294844,6.3213003159035e-05,1.8710994481807575e-05,1.6559970390517265e-06
10.0,8,Improved-gOMP,optimized,0.00045552899973699823,1.2110001989640296e-05,0.0002526890020817518,0.00010581199967418797,1.8033002561423928e-05,1.3600001693703234e-06
10.0,9,Improved-gOMP,baseline,0.0012048710013914388,1.7726997612044215e-05,0.0009241959996870719,8.400999649893492e-05,2.1345003915484995e-05,2.1079977159388363e-06
10.0,9,Improved-gOMP,optimized,0.0006391139977495186,1.6462996427435428e-05,0.000359076995664509,0.0001456299978599418,2.5115998141700402e-05,1.901000359794125e-06
10.0,10,Improved-gOMP,baseline,0.0020798929981538095,4.8450998292537406e-05,0.0013951200016890652,0.0001412880010320805,3.2885000109672546e-05,0.00015489599536522292
10.0,10,Improved-gOMP,optimized,0.0009780190011952072,2.1412000933196396e-05,0.0004917539990856312,0.00020675899577327073,3.1440999009646475e-05,0.00010279200432705693
10.0,11,Improved-gOMP,baseline,0.0017503290000604466,2.2197004000190645e-05,0.001221452999743633,0.00011881099999300204,2.7794001653091982e-05,0.00012419800259522162
10.0,11,Improved-gOMP,optimized,0.0010834439999598544,2.283699723193422e-05,0.0005744360023527406,0.00021682900114683434,3.837800250039436e-05,0.00010513000233913772
10.0,12,Improved-gOMP,baseline,0.0011625330007518642,1.801899998099543e-05,0.0008789569983491674,9.034000686369836e-05,2.2149004507809877e-05,1.909007551148534e-06
10.0,12,Improved-gOMP,optimized,0.0006784129982406739,1.609999526408501e-05,0.00039993600148591213,0.0001498199999332428,2.408300497336313e-05,1.824999344535172e-06
10.0,13,Improved-gOMP,baseline,0.001881665000837529,2.7540001610759646e-05,0.0013060060045972932,0.00012676399637712166,3.128199386992492e-05,0.00013535500329453498
10.0,13,Improved-gOMP,optimized,0.0009080449999601115,2.019300518441014e-05,0.00046790699707344174,0.0001794499985408038,2.908799797296524e-05,9.837099787546322e-05
