k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,0,Improved-gOMP,baseline,0.0007844259998819325,8.826998964650556e-06,0.0004650010014302097,2.7439004043117166e-05,1.1149997590109706e-05,0.00014953799836803228
4,0,Improved-gOMP,optimized,0.0005076979978184681,9.535997378407046e-06,0.00015443700249306858,0.00011170400102855638,1.5025998436613008e-05,0.00015421799980686046
4,1,Improved-gOMP,baseline,0.0010554159998719115,1.1953001376241446e-05,0.0007149060002120677,3.6114000977249816e-05,1.501500082667917e-05,0.00016467599925817922
4,1,Improved-gOMP,optimized,0.0005622379976557568,9.324998245574534e-06,0.00014472900147666223,0.00012674200115725398,1.530900044599548e-05,0.00019950199930462986
4,2,Improved-gOMP,baseline,0.0007271840004250407,1.0021001799032092e-05,0.00047688499762443826,2.6779001927934587e-05,1.1632000678218901e-05,9.752900223247707e-05
4,2,Improved-gOMP,optimized,0.00013128800128470175,3.8239995774347335e-06,4.6597000618930906e-05,3.951799953938462e-05,6.275000487221405e-06,5.520014383364469e-07
4,3,Improved-gOMP,baseline,0.000862765999045223,7.742997695459053e-06,0.0005376420012908056,2.8009999368805438e-05,1.123100082622841e-05,0.00018060000002151355
4,3,Improved-gOMP,optimized,0.0006367790010699537,9.020001016324386e-06,0.0002733979999902658,0.00012986000001546927,1.7057001969078556e-05,0.00014616800399380736
4,4,Improved-gOMP,baseline,0.0007413610001094639,1.142400287790224e-05,0.00046594200102845207,3.054500120924786e-05,1.221799902850762e-05,9.961400064639747e-05
4,4,Improved-gOMP,optimized,0.00044999999954598024,7.927999831736088e-06,0.00015256500410032459,6.977900193305686e-05,1.3641998521052301e-05,0.00015209800039883703
4,5,Improved-gOMP,baseline,0.0007044689991744235,8.321003406308591e-06,0.00043719099630834535,2.414499977021478e-05,1.0799998563015833e-05,0.00013447899982566014
4,5,Improved-gOMP,optimized,0.0004449190018931404,8.965002052718773e-06,0.00013226700320956297,0.00011331199857522734,1.610499748494476e-05,0.00012148400128353387
4,6,Improved-gOMP,baseline,0.0005459720014187042,6.641999789280817e-06,0.0003399520028324332,2.2365999029716477e-05,9.058003342943266e-06,9.339199459645897e-05
4,6,Improved-gOMP,optimized,0.00041008699918165803,7.010003173490986e-06,0.00011644300320767798,5.984399831504561e-05,1.3484001101460308e-05,0.00013291499635670334
4,7,Improved-gOMP,baseline,0.0006547510020027403,8.057999366428703e-06,0.00039596500209881924,3.158999970764853e-05,1.107700154534541e-05,0.00012182200589450076
4,7,Improved-gOMP,optimized,0.0009698209978523664,1.0845000360859558e-05,0.00043569799890974537,0.00014725399887538515,1.816799704101868e-05,0.0001555720009491779
4,8,Improved-gOMP,baseline,0.0009178750005958136,1.0527000995352864e-05,0.0005889519961783662,2.9586000891868025e-05,3.529799505486153e-05,0.00011036800060537644
4,8,Improved-gOMP,optimized,0.0004159380005148705,7.732000085525215e-06,0.0001362430011795368,6.737500007147901e-05,1.2000000424450263e-05,0.00013884899817639962
4,9,Improved-gOMP,baseline,0.0006085489985707682,7.882998033892363e-06,0.000391099998523714,2.289500116603449e-05,1.0103998647537082e-05,9.261800005333498e-05
4,9,Improved-gOMP,optimized,0.00034429700099281035,7.6169962994754314e-06,0.00011216799975954928,6.028099960531108e-05,1.1463998816907406e-05,0.00010597299842629582
4,10,Improved-gOMP,baseline,0.0006186409991641995,6.805003067711368e-06,0.0003924529992218595,2.4095999833662063e-05,9.417002729605883e-06,0.00010234000001219101
4,10,Improved-gOMP,optimized,0.00034742099887807854,6.7490036599338055e-06,0.00011902800179086626,5.9925001551164314e-05,1.0178999218624085e-05,0.00010613299673423171
4,11,Improved-gOMP,baseline,0.0006130910005595069,8.882001566234976e-06,0.00039009799729683436,2.419700103928335e-05,1.048099875333719e-05,9.16559984034393e-05
4,11,Improved-gOMP,optimized,0.00038553899867110886,7.856000593164936e-06,0.0001256100003956817,6.392900104401633e-05,1.2421998690115288e-05,0.00012682499800575897
4,12,Improved-gOMP,baseline,0.0005971579994366039,7.138001819839701e-06,0.0003813219991570804,2.7658999897539616e-05,9.708997822599486e-06,8.949399853008799e-05
4,12,Improved-gOMP,optimized,0.00046577199827879667,6.7399996623862535e-06,0.00011083699791925028,5.806999979540706e-05,9.805000445339829e-06,0.0002320970015716739
4,13,Improved-gOMP,baseline,0.0006039359977876302,8.57299892231822e-06,0.0003860199976770673,2.4056997062871233e-05,1.0831998224603012e-05,9.470599979977123e-05
4,13,Improved-gOMP,optimized,0.00046636700062663294,8.519000402884558e-06,0.00013071900320937857,6.670600123470649e-05,1.2599997717188671e-05,0.0001962850001291372
4,14,Improved-gOMP,baseline,0.0005500449988176115,6.761001714039594e-06,0.0003438700005062856,2.1697003830922768e-05,8.555001841159537e-06,9.002899605548009e-05
4,14,Improved-gOMP,optimized,0.000335733999236254,6.864996976219118e-06,0.00011205600094399415,5.787099871668033e-05,1.0663003195077181e-05,0.00010479900083737448
4,15,Improved-gOMP,baseline,0.0006559909998031799,8.912997145671397e-06,0.0004092210001545027,2.652500188560225e-05,1.0989999282173812e-05,0.00011353500303812325
4,15,Improved-gOMP,optimized,0.00013790799857815728,3.773999196710065e-06,4.793799962499179e-05,4.2952000512741506e-05,6.7780019890051335e-06,5.779984348919243e-07
4,16,Improved-gOMP,baseline,0.0004414430004544556,6.609003321500495e-06,0.0003407849981158506,2.2025004000170156e-05,8.737999451113865e-06,1.0379990271758288e-06
4,16,Improved-gOMP,optimized,0.00033873699794639833,6.817001121817157e-06,0.00011537700265762396,5.887099541723728e-05,1.0242005373584107e-05,0.00010526299956836738
4,17,Improved-gOMP,baseline,0.0005956099994364195,7.935999747132882e-06,0.00037979300032020546,2.3551001504529268e-05,9.714000043459237e-06,9.381500422023237e-05
4,17,Improved-gOMP,optimized,0.00011975899906246923,3.578999894671142e-06,4.111800080863759e-05,3.819599805865437e-05,5.703001079382375e-06,5.139991117175668e-07
4,18,Improved-gOMP,baseline,0.0006015580001985654,7.869999535614625e-06,0.0003811939968727529,2.436599970678799e-05,1.0077004844788462e-05,9.411500286660157e-05
4,18,Improved-gOMP,optimized,0.00011460300083854236,3.134999133180827e-06,3.9875998481875286e-05,3.647599805844948e-05,5.137000698596239e-06,4.480025381781161e-07
4,19,Improved-gOMP,baseline,0.0005605580008705147,7.956998160807416e-06,0.00035187899993616156,2.4299002689076588e-05,9.883002348942682e-06,9.04139997146558e-05
4,19,Improved-gOMP,optimized,0.00035725400084629655,7.991002348717302e-06,0.00011933800124097615,6.185500024002977e-05,1.1456999345682561e-05,0.00011149900092277676
4,20,Improved-gOMP,baseline,0.0005540729980566539,7.124999683583155e-06,0.00034644700281205587,2.257899905089289e-05,9.022001904668286e-06,8.908399831852876e-05
4,20,Improved-gOMP,optimized,0.00038861400025780313,6.46100306767039e-06,0.00011176299813087098,5.946700184722431e-05,1.0540999937802553e-05,0.00015513399921474047
