n,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
128,0,OMP,baseline,0.001167299982625991,7.059995550662279e-05,0.00011630007065832615,0.00048780004726722836,9.629991836845875e-05,0.0
128,0,OMP,optimized,0.0006550000107381493,4.909999552182853e-05,2.800003858283162e-05,0.00026690002414397895,8.359996718354523e-05,0.000132200017105788
128,1,OMP,baseline,0.0011956000234931707,6.800005212426186e-05,9.799998952075839e-05,0.000524800067069009,9.59999451879412e-05,0.0
128,1,OMP,optimized,0.0008144999737851322,5.089998012408614e-05,2.3500004317611456e-05,0.0004437000025063753,9.529993985779583e-05,0.00012670000432990491
128,2,OMP,baseline,0.0010500999924261123,5.900001269765198e-05,8.900000830180943e-05,0.00043750001350417733,9.62999474722892e-05,0.0
128,2,OMP,optimized,0.0006045999762136489,5.070003680884838e-05,2.1899992134422064e-05,0.00024270001449622214,8.700008038431406e-05,0.00012779998360201716
128,3,OMP,baseline,0.0009759000095073134,5.3599971579387784e-05,8.399997022934258e-05,0.0004112001333851367,7.829992682673037e-05,0.0
128,3,OMP,optimized,0.000606399989919737,4.929996794089675e-05,2.2700027329847217e-05,0.0002429000160191208,9.059999138116837e-05,0.00012879999121651053
128,4,OMP,baseline,0.0009583999926690012,5.420000525191426e-05,8.330005221068859e-05,0.00040290001197718084,8.039994281716645e-05,0.0
128,4,OMP,optimized,0.0005201000021770597,4.449993139132857e-05,1.8999999156221747e-05,0.000206099939532578,7.400006870739162e-05,0.00011269992683082819
256,0,OMP,baseline,0.0012642999936360866,7.580002420581877e-05,0.00011009996524080634,0.0005322999495547265,0.00012180008343420923,0.0
256,0,OMP,optimized,0.0005918999959249049,5.940001574344933e-05,2.3100001271814108e-05,0.00023440000950358808,8.180001168511808e-05,0.00012369995238259435
256,1,OMP,baseline,0.0010603999835439026,7.889993139542639e-05,0.00010140001541003585,0.00041450001299381256,0.00010179998935200274,0.0
256,1,OMP,optimized,0.0005872999900020659,6.53000024612993e-05,2.1800020476803184e-05,0.0002302999491803348,8.050003089010715e-05,0.00012139999307692051
256,2,OMP,baseline,0.0010316999978385866,6.450005457736552e-05,0.0001015000743791461,0.00042529997881501913,9.24999185372144e-05,0.0
256,2,OMP,optimized,0.0005554000090342015,5.409994628280401e-05,2.150004729628563e-05,0.0002179000002797693,7.959993672557175e-05,0.00011660001473501325
256,3,OMP,baseline,0.0010784000041894615,7.390000973828137e-05,0.00011519997497089207,0.00043080002069473267,0.00010040006600320339,0.0
256,3,OMP,optimized,0.000621199986198917,6.629998097196221e-05,2.340009086765349e-05,0.0002499000693205744,8.669990347698331e-05,0.00012620000052265823
256,4,OMP,baseline,0.0011218000145163387,6.290001329034567e-05,0.00010500007192604244,0.0004633000062312931,0.00011490003089420497,0.0
256,4,OMP,optimized,0.0005480000108946115,5.209996015764773e-05,2.169999061152339e-05,0.00021740002557635307,7.639991235919297e-05,0.0001154000055976212
384,0,OMP,baseline,0.001039199996739626,7.589993765577674e-05,0.000118900032248348,0.000401899975258857,9.780004620552063e-05,0.0
384,0,OMP,optimized,0.0007275000098161399,8.100000559352338e-05,2.6900001103058457e-05,0.0002525000600144267,9.279997902922332e-05,0.00019479996990412474
384,1,OMP,baseline,0.0009989000100176781,8.53999808896333e-05,0.000102200050605461,0.000378099997760728,0.00010050000855699182,0.0
384,1,OMP,optimized,0.0006151999987196177,8.299996261484921e-05,2.270008553750813e-05,0.0002360999642405659,8.390002767555416e-05,0.00012370001059025526
384,2,OMP,baseline,0.001058599998941645,7.71000050008297e-05,0.0001080999500118196,0.0004183000128250569,0.00010450000991113484,0.0
384,2,OMP,optimized,0.0005639999872073531,6.180006312206388e-05,2.539993147365749e-05,0.00021850000484846532,7.680003182031214e-05,0.0001170000177808106
384,3,OMP,baseline,0.001186500012408942,8.510000770911574e-05,0.00011910006287507713,0.0004489999555516988,0.00014280001050792634,0.0
384,3,OMP,optimized,0.0007023999933153391,7.349997758865356e-05,2.5899906177073717e-05,0.0002969999623019248,9.320001117885113e-05,0.00013450003461912274
384,4,OMP,baseline,0.0010289999772794545,7.390000973828137e-05,0.0001047999830916524,0.000403700047172606,0.00010269999620504677,0.0
384,4,OMP,optimized,0.0005661000031977892,6.470002699643373e-05,2.2300082491710782e-05,0.00021790002938359976,7.759997970424592e-05,0.0001175999641418457
512,0,OMP,baseline,0.0011485999857541174,9.539999882690609e-05,0.00011660010204650462,0.00044569995952770114,0.00011749990517273545,0.0
512,0,OMP,optimized,0.001047800004016608,9.459990542382002e-05,0.00030169999809004366,0.0002894999925047159,0.00010020006448030472,0.00017320000915788114
512,1,OMP,baseline,0.0010689999908208847,0.00010410000686533749,0.00010760000441223383,0.00039539995486848056,0.0001196000084746629,0.0
512,1,OMP,optimized,0.0005991999933030456,9.890002547763288e-05,2.1899963030591607e-05,0.0002160000440198928,7.779995212331414e-05,0.00011720004840753973
512,2,OMP,baseline,0.0010618000233080238,8.820006041787565e-05,0.00011130000348202884,0.00039790006121620536,0.00011779993656091392,0.0
512,2,OMP,optimized,0.0006037999992258847,7.940008072182536e-05,2.2399850422516465e-05,0.0002309999254066497,8.000011439435184e-05,0.00011890000314451754
512,3,OMP,baseline,0.0011559000122360885,0.00010750009096227586,0.0001129999291151762,0.00041249996866099536,0.0001245000457856804,0.0
512,3,OMP,optimized,0.001048400008585304,0.00023930001771077514,3.970006946474314e-05,0.00034320002305321395,0.00011999995331279933,0.00020849995780736208
512,4,OMP,baseline,0.0010856000008061528,8.789999992586672e-05,0.00010950001887977123,0.0004194999928586185,0.00011850002920255065,0.0
512,4,OMP,optimized,0.0006397000106517226,8.420008816756308e-05,2.3999949917197227e-05,0.00023479995434172451,8.460006210952997e-05,0.00012550005340017378
