measurement_ratio,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.1875,0,OMP,baseline,0.001072290000593057,5.571198926190846e-05,0.0001370819954900071,0.0004372239964141045,9.075200068764389e-05,0.0
0.1875,0,OMP,optimized,0.0005633679975289851,4.1657007386675104e-05,2.732999564614147e-05,0.00023693399634794332,7.598700176458806e-05,0.00010898099208134227
0.1875,1,OMP,baseline,0.0008419980003964156,4.799999078386463e-05,9.268599387723953e-05,0.00033436899684602395,7.102000017766841e-05,0.0
0.1875,1,OMP,optimized,0.0004420650002430193,3.640400245785713e-05,1.7584996385267004e-05,0.00018151000404031947,5.918000533711165e-05,9.037900599651039e-05
0.1875,2,OMP,baseline,0.0008907930023269728,4.5423006667988375e-05,8.941499618231319e-05,0.0003662069975689519,7.720300709479488e-05,0.0
0.1875,2,OMP,optimized,0.000558718998945551,4.588999945553951e-05,2.153400782844983e-05,0.00023391600188915618,7.924100282252766e-05,0.00010706999455578625
0.1875,3,OMP,baseline,0.0008710090005479287,5.032199987908825e-05,9.483599569648504e-05,0.00036022000494995154,7.479100167984143e-05,0.0
0.1875,3,OMP,optimized,0.00048316399988834746,4.239999907440506e-05,1.890600469778292e-05,0.00020255198978702538,6.51179943815805e-05,9.469000360695645e-05
0.1875,4,OMP,baseline,0.0009510160016361624,5.0462997023714706e-05,0.0001156819926109165,0.0004070020113431383,7.497399565181695e-05,0.0
0.1875,4,OMP,optimized,0.000543767000635853,4.345299385022372e-05,2.243899871245958e-05,0.00022623500262852758,7.446099698427133e-05,0.00010921100692939945
0.1875,5,OMP,baseline,0.0008076649974100292,4.330699812271632e-05,9.501799650024623e-05,0.00032757100052549504,6.690700683975592e-05,0.0
0.1875,5,OMP,optimized,0.0004938099991704803,4.053900920553133e-05,1.9678005628520623e-05,0.00019680701007018797,7.479599662474357e-05,9.98599934973754e-05
0.1875,6,OMP,baseline,0.0008260720023827162,4.710700886789709e-05,8.945800072979182e-05,0.00034016199788311496,7.37979935365729e-05,0.0
0.1875,6,OMP,optimized,0.0004572359976009466,4.155700298724696e-05,1.779300146154128e-05,0.00018748500224319287,6.219998977030627e-05,8.968798647401854e-05
0.1875,7,OMP,baseline,0.00087431599968113,5.046200385550037e-05,9.788399984245189e-05,0.0003406550058571156,7.375198765657842e-05,0.0
0.1875,7,OMP,optimized,0.00046761700286879204,3.8588997995248064e-05,1.779100057319738e-05,0.00019678500757436268,6.229499922483228e-05,9.223799497704022e-05
0.1875,8,OMP,baseline,0.0008559280031477101,5.0693000957835466e-05,9.460199362365529e-05,0.00033395199716323987,8.874599006958306e-05,0.0
0.1875,8,OMP,optimized,0.00048339899876737036,4.1642997530288994e-05,1.8686998373595998e-05,0.00020203599706292152,6.501399548142217e-05,9.509899609838612e-05
0.1875,9,OMP,baseline,0.0008109640002658125,5.7919995015254244e-05,8.719400648260489e-05,0.000323341999319382,7.070299761835486e-05,0.0
0.1875,9,OMP,optimized,0.0004814000021724496,4.144199920119718e-05,3.1419996957993135e-05,0.00018738100698101334,6.219098941073753e-05,9.63869970291853e-05
0.1875,10,OMP,baseline,0.0011061320001317654,6.642599691986106e-05,0.00015784800052642822,0.0004321710075601004,9.929599036695436e-05,0.0
0.1875,10,OMP,optimized,0.0004771509993588552,4.236900349496864e-05,1.895900277304463e-05,0.00020025099365739152,6.36630029475782e-05,9.454799510422163e-05
0.1875,11,OMP,baseline,0.000879356997756986,5.354199674911797e-05,9.620600394555368e-05,0.00033874900327646174,8.877600339474156e-05,0.0
0.1875,11,OMP,optimized,0.0006317240004136693,5.341500218492001e-05,2.589699943200685e-05,0.00024764099725871347,8.01190035417676e-05,0.0001327780009887647
0.1875,12,OMP,baseline,0.0007951959996717051,4.466800601221621e-05,8.609900396550074e-05,0.0003173060067638289,6.372600546455942e-05,0.0
0.1875,12,OMP,optimized,0.00047633599751861766,4.4109008740633726e-05,1.8292004824616015e-05,0.0001916819928737823,6.481099262600765e-05,9.644299279898405e-05
0.1875,13,OMP,baseline,0.0008197889983421192,4.4256004912313074e-05,9.215600584866479e-05,0.00032829499832587317,6.891598968650214e-05,0.0
0.1875,13,OMP,optimized,0.0008636400016257539,4.980400262866169e-05,2.1556996216531843e-05,0.00026762000925373286,0.0002133939997293055,0.0001619830036361236
0.1875,14,OMP,baseline,0.0008431930000369903,5.6249002227559686e-05,9.174899605568498e-05,0.00033199000608874485,6.982699414948002e-05,0.0
0.1875,14,OMP,optimized,0.0004740799995488487,3.958700108341873e-05,2.3173008230514824e-05,0.00018748099682852626,7.001800622674637e-05,9.627100007492118e-05
0.1875,15,OMP,baseline,0.0008337940016645007,4.565601557260379e-05,8.783000157563947e-05,0.0003348060017742682,8.043500201893039e-05,0.0
0.1875,15,OMP,optimized,0.0009541199979139492,7.198299499577843e-05,2.7347003197064623e-05,0.0004334759978519287,0.00020606199177564122,0.0001244650011358317
0.1875,16,OMP,baseline,0.000804960000095889,4.6432996896328405e-05,8.694299685885198e-05,0.000318883998261299,6.52330054435879e-05,0.0
0.1875,16,OMP,optimized,0.00045925100130261853,3.6790988815482706e-05,1.7590999050298706e-05,0.00018359700698056258,6.238799687707797e-05,0.00010088700582855381
0.1875,17,OMP,baseline,0.0010190850007347763,5.6469998526154086e-05,0.0001162510016001761,0.00042127100459765643,8.811299994704314e-05,0.0
