snr_db,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
5.0,0,OMP,baseline,0.0015537740109721199,8.80650186445564e-05,0.00021607497183140367,0.0006412030052160844,0.00013091896835248917,0.0
5.0,0,OMP,optimized,0.000885872999788262,6.6626031184569e-05,4.2961022700183094e-05,0.0003740489628398791,0.0001144320413004607,0.00017611899238545448
5.0,1,OMP,baseline,0.0018707819981500506,0.00014438701327890158,0.00024333794135600328,0.0006085450440878049,0.0002804460091283545,0.0
5.0,1,OMP,optimized,0.0007339830044656992,9.225498070009053e-05,3.1045026844367385e-05,0.00027478601259645075,9.307601430919021e-05,0.0001418530009686947
5.0,2,OMP,baseline,0.001062987998011522,7.731004734523594e-05,0.00011299096513539553,0.0004220640257699415,9.730103192850947e-05,0.0
5.0,2,OMP,optimized,0.0005821360100526363,5.847898137290031e-05,3.402403672225773e-05,0.00022693995560985059,7.529396680183709e-05,0.00011601498408708721
5.0,3,OMP,baseline,0.0010343629983253777,7.042300421744585e-05,0.0001093389728339389,0.00041181598498951644,0.00010090395517181605,0.0
5.0,3,OMP,optimized,0.0007079879869706929,7.117996574379504e-05,2.9319955501705408e-05,0.00025105391978286207,8.176598930731416e-05,0.0001548980362713337
5.0,4,OMP,baseline,0.0011502720008138567,7.135803753044456e-05,0.00012858699483331293,0.00044914099271409214,0.00012256695481482893,0.0
5.0,4,OMP,optimized,0.0017842530069174245,0.00017892300093080848,0.00017319699691142887,0.0006345400324789807,0.0002552000369178131,0.0003792100033024326
5.0,5,OMP,baseline,0.0015189160039881244,9.072899410966784e-05,0.00014928501332178712,0.0006460079894168302,0.0001705779868643731,0.0
5.0,5,OMP,optimized,0.0009495690028415993,0.00011251898831687868,3.780599217861891e-05,0.00032131200714502484,0.00012548998347483575,0.00021764701523352414
5.0,6,OMP,baseline,0.0015161250048549846,0.00010436598677188158,0.00016906500968616456,0.0005026809958508238,0.00022964502568356693,0.0
5.0,6,OMP,optimized,0.0007358639995800331,8.245298522524536e-05,2.7996022254228592e-05,0.0002696970332181081,9.796298400033265e-05,0.00013958798081148416
5.0,7,OMP,baseline,0.0010965380060952157,7.749098585918546e-05,0.00011929700849577785,0.000438964954810217,0.00011146297038067132,0.0
5.0,7,OMP,optimized,0.0005977810069452971,6.651405419688672e-05,2.4132037651725113e-05,0.00024409701291006058,7.539399666711688e-05,0.00011616705160122365
5.0,8,OMP,baseline,0.001147207003668882,7.069198181852698e-05,0.0001502679951954633,0.0004512110026553273,0.0001124270202126354,0.0
5.0,8,OMP,optimized,0.0006366849993355572,5.926798621658236e-05,2.5740009732544422e-05,0.0002517640095902607,9.429801139049232e-05,0.00012614301522262394
5.0,9,OMP,baseline,0.0013772590027656406,8.93010146683082e-05,0.00014322293282020837,0.0004932029987685382,0.00023246400814969093,0.0
5.0,9,OMP,optimized,0.0008352079894393682,7.993103645276278e-05,3.6003009881824255e-05,0.0003835489915218204,9.299798693973571e-05,0.00014124297013040632
5.0,10,OMP,baseline,0.0017048769950633869,0.00010582199320197105,0.00016300501010846347,0.0006475320260506123,0.00019190598686691374,0.0
5.0,10,OMP,optimized,0.00110749299346935,0.00010467000538483262,4.6421977458521724e-05,0.0004515819746302441,0.00015935799456201494,0.00021418195683509111
5.0,11,OMP,baseline,0.0018258179916301742,0.0001189510221593082,0.00022580398945137858,0.0006727059953846037,0.00020874400797765702,0.0
5.0,11,OMP,optimized,0.0010202230041613802,0.00010257896792609245,4.109699511900544e-05,0.0003954009589506313,0.00012940098531544209,0.00019799699657596648
5.0,12,OMP,baseline,0.0010545289987931028,6.501202005892992e-05,0.00011538197577465326,0.0004239999980200082,9.793203207664192e-05,0.0
5.0,12,OMP,optimized,0.0005750269920099527,5.7497003581374884e-05,2.1784973796457052e-05,0.00022538700432050973,7.452302088495344e-05,0.00012056606647092849
5.0,13,OMP,baseline,0.001578923998749815,0.00012141598563175648,0.0001516129996161908,0.0006027420167811215,0.00020829301502089947,0.0
5.0,13,OMP,optimized,0.000675713992677629,7.741998706478626e-05,2.715596929192543e-05,0.0002641949977260083,8.439998782705516e-05,0.00013023402425460517
5.0,14,OMP,baseline,0.0012835969973821193,7.560801168438047e-05,0.00016392397810705006,0.0005000470264349133,0.00012084101035725325,0.0
5.0,14,OMP,optimized,0.000618098012637347,5.868898006156087e-05,2.2418986191041768e-05,0.00025114700838457793,8.411999442614615e-05,0.00011900499521289021
5.0,15,OMP,baseline,0.0015959050069795921,0.00011288598761893809,0.00016189497546292841,0.0005856340139871463,0.0001730770309222862,0.0
5.0,15,OMP,optimized,0.0007575839990749955,9.009000496007502e-05,3.074095002375543e-05,0.0002735850139288232,9.453699749428779e-05,0.00014211096276994795
5.0,16,OMP,baseline,0.0010089420102303848,6.593397120013833e-05,0.0001110349694499746,0.0003972470440203324,9.495997801423073e-05,0.0
5.0,16,OMP,optimized,0.0005835310003021732,5.684595089405775e-05,2.191802195739001e-05,0.00023978197714313865,7.420999463647604e-05,0.00012105297355446965
5.0,17,OMP,baseline,0.0014504260034300387,0.00011028700100723654,0.00017121099517680705,0.0005404579860623926,0.0001312650420004502,0.0
5.0,17,OMP,optimized,0.0006446699990192428,6.833499355707318e-05,2.3142012651078403e-05,0.00024098200083244592,0.00010465102968737483,0.00012024794705212116
5.0,18,OMP,baseline,0.0010462540085427463,6.212398875504732e-05,0.00010196999937761575,0.0004417819873197004,9.98589675873518e-05,0.0
5.0,18,OMP,optimized,0.0005370139988372102,6.33469462627545e-05,2.1626008674502373e-05,0.00020717795996461064,6.980700709391385e-05,0.00011025201820302755
5.0,19,OMP,baseline,0.0014314099971670657,0.0001118159998441115,0.00015367200830951333,0.000493049985379912,0.00014537095557898283,0.0
5.0,19,OMP,optimized,0.000973647998762317,0.00010236099478788674,3.085500793531537e-05,0.00028458899760153145,0.00010574796760920435,0.00014642196765635163
5.0,20,OMP,baseline,0.0010024350049206987,6.124500941950828e-05,0.00011414200707804412,0.0003878619900206104,8.621800225228071e-05,0.0
5.0,20,OMP,optimized,0.0006369280017679557,5.3987023420631886e-05,2.2247972083278e-05,0.0002925729932030663,7.99710105638951e-05,0.00011504802387207747
5.0,21,OMP,baseline,0.0010741190053522587,7.17850198270753e-05,0.00011206997442059219,0.0004147209838265553,9.573101124260575e-05,0.0
5.0,21,OMP,optimized,0.0005534280062420294,6.379801197908819e-05,2.1432017092593014e-05,0.00022040700423531234,7.170600292738527e-05,0.00011037800868507475
5.0,22,OMP,baseline,0.0013529050047509372,9.112400584854186e-05,0.00015259601059369743,0.000494082982186228,0.00011834601173177361,0.0
5.0,22,OMP,optimized,0.0005879810050828382,5.815899930894375e-05,2.3702028556726873e-05,0.00023637399135623127,7.546404958702624e-05,0.00011798900959547609
5.0,23,OMP,baseline,0.0009171639976557344,6.329701864160597e-05,9.349103493150324e-05,0.0003658059722511098,8.827599231153727e-05,0.0
5.0,23,OMP,optimized,0.0005316960014170036,5.7124983868561685e-05,2.0045990822836757e-05,0.0002029250026680529,6.962595216464251e-05,0.00011545901361387223
5.0,24,OMP,baseline,0.0015924000035738572,0.00010082396329380572,0.00019842799520120025,0.0005970699712634087,0.00014291700790636241,0.0
5.0,24,OMP,optimized,0.0005269350076559931,5.062599666416645e-05,2.0934006897732615e-05,0.00020578698604367673,7.176099461503327e-05,0.00010683300206437707
5.0,25,OMP,baseline,0.0013612830080091953,8.830497972667217e-05,0.00017892396135721356,0.0004959760117344558,0.00012808396422769874,0.0
5.0,25,OMP,optimized,0.0005723170033888891,6.168904656078666e-05,2.2171996533870697e-05,0.00022577401250600815,7.715602987445891e-05,0.00011388007260393351
5.0,26,OMP,baseline,0.0015738729998702183,0.00011500400432851166,0.00016099798085633665,0.0006468469800893217,0.000146039979881607,0.0
5.0,26,OMP,optimized,0.0006093870033510029,6.016998668201268e-05,2.4369015591219068e-05,0.00024159498570952564,7.948502025101334e-05,0.00012427200272213668
5.0,27,OMP,baseline,0.0010200230026384816,6.954700802452862e-05,0.00010343601752538234,0.0003914749395335093,9.591301204636693e-05,0.0
5.0,27,OMP,optimized,0.0005524989974219352,5.875303759239614e-05,2.5286994059570134e-05,0.00021593798010144383,7.363999611698091e-05,0.00010982598178088665
5.0,28,OMP,baseline,0.0009721899987198412,6.0628008213825524e-05,9.862000297289342e-05,0.00037969398545101285,8.593902748543769e-05,0.0
5.0,28,OMP,optimized,0.00048319999768864363,4.72650135634467e-05,1.9817001884803176e-05,0.00019337203411851078,6.482898606918752e-05,0.0001001799973892048
5.0,29,OMP,baseline,0.0010434520081616938,6.738395313732326e-05,0.0001272460212931037,0.00041238500853069127,0.00010525799007155001,0.0
5.0,29,OMP,optimized,0.0005488540045917034,6.0064965509809554e-05,2.0912004401907325e-05,0.00021714699687436223,7.077799818944186e-05,0.00011092897329945117
5.0,30,OMP,baseline,0.0009744020062498748,6.118301826063544e-05,0.00010285401367582381,0.0003980509645771235,8.43249581521377e-05,0.0
5.0,30,OMP,optimized,0.0004998000076739118,4.757997521664947e-05,2.133304951712489e-05,0.00020003000099677593,6.737998046446592e-05,0.00010201000259257853
5.0,31,OMP,baseline,0.0012118260056013241,8.207204518839717e-05,0.00012444000458344817,0.00042282699723728,0.00022936500317882746,0.0
5.0,31,OMP,optimized,0.0005143559974385425,5.724797665607184e-05,2.0016959751956165e-05,0.00019995802722405642,6.696303898934275e-05,0.00010349095100536942
5.0,32,OMP,baseline,0.0010184279963141307,6.543300696648657e-05,0.00010929402196779847,0.00039249699329957366,8.996203541755676e-05,0.0
5.0,32,OMP,optimized,0.000626319000730291,5.519497790373862e-05,3.21749976137653e-05,0.0002553099620854482,8.185300976037979e-05,0.00011741201160475612
5.0,33,OMP,baseline,0.0017476270004408434,0.00010626199946273118,0.00014060000830795616,0.0006408669287338853,0.0002940250124083832,0.0
5.0,33,OMP,optimized,0.0005722089990740642,6.364805449265987e-05,2.239704190287739e-05,0.00022793200332671404,7.406200165860355e-05,0.00011536302918102592
5.0,34,OMP,baseline,0.0010842149931704625,6.691704038530588e-05,0.00011575903045013547,0.00042981300794053823,0.00010435897274874151,0.0
5.0,34,OMP,optimized,0.0005155040125828236,4.881499626208097e-05,2.0094987121410668e-05,0.00020894399494864047,6.711596506647766e-05,0.00010567501885816455
5.0,35,OMP,baseline,0.0010033629951067269,6.904300244059414e-05,9.89959662547335e-05,0.0003645959950517863,0.00014337799802888185,0.0
5.0,35,OMP,optimized,0.0007713090017205104,5.6903023505583405e-05,1.9319020793773234e-05,0.00019324901222717017,6.595499871764332e-05,0.00010224903235211968
5.0,36,OMP,baseline,0.000956814008532092,6.0133024817332625e-05,0.00010378306615166366,0.0003829219931503758,9.015297109726816e-05,0.0
5.0,36,OMP,optimized,0.0005595410038949922,5.509301263373345e-05,2.1746003767475486e-05,0.00021041097352281213,8.784201054368168e-05,0.00010799200390465558
5.0,37,OMP,baseline,0.0010311590012861416,7.205197471193969e-05,0.00010320701403543353,0.00038423801015596837,9.417002729605883e-05,0.0
5.0,37,OMP,optimized,0.0005538029945455492,6.196400499902666e-05,2.5048997486010194e-05,0.000208239012863487,7.274100789800286e-05,0.0001060809736372903
5.0,38,OMP,baseline,0.0016728629998397082,0.00014869800361339003,0.0002249080134788528,0.0006490680098067969,0.00018550100503489375,0.0
5.0,38,OMP,optimized,0.0007654989894945174,8.581698057241738e-05,3.161300264764577e-05,0.0002914529904955998,0.00010903402289841324,0.00015360400720965117
5.0,39,OMP,baseline,0.001130113989347592,8.307298412546515e-05,0.00010554799519013613,0.00040832201193552464,0.00016749001224525273,0.0
5.0,39,OMP,optimized,0.0005087680037831888,5.685898941010237e-05,1.955598418135196e-05,0.000201233007828705,6.65940169710666e-05,0.00010289601050317287
5.0,40,OMP,baseline,0.0008917399973142892,5.518800753634423e-05,9.196797327604145e-05,0.00035671899968292564,8.039797830861062e-05,0.0
5.0,40,OMP,optimized,0.0005055119981989264,4.661697312258184e-05,1.882496871985495e-05,0.00019467897072900087,6.613205187022686e-05,9.901798330247402e-05
