k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,0,OMP,baseline,0.0006293350015766919,4.1113002225756645e-05,9.148599929176271e-05,0.00022544899547938257,7.691001519560814e-05,0.0
4,0,OMP,optimized,0.00024771700554993004,2.127799962181598e-05,1.699400309007615e-05,0.00010009501420427114,2.3714994313195348e-05,3.841097350232303e-05
4,1,OMP,baseline,0.00023993100330699235,1.9724990124814212e-05,3.430599463172257e-05,8.318701293319464e-05,2.7752001187764108e-05,0.0
4,1,OMP,optimized,0.00022039499890524894,1.6448015230707824e-05,8.451985195279121e-06,5.915900692343712e-05,1.7355981981381774e-05,2.8779992135241628e-05
4,2,OMP,baseline,0.00021051500516477972,1.9849001546390355e-05,3.097699664067477e-05,6.767301238141954e-05,2.5331013603135943e-05,0.0
4,2,OMP,optimized,0.00017614700482226908,1.7927988665178418e-05,8.000002708286047e-06,6.254202162381262e-05,1.7965998267754912e-05,2.701900666579604e-05
4,3,OMP,baseline,0.0001792299881344661,1.4743010979145765e-05,2.6901980163529515e-05,5.8873993111774325e-05,2.048301394097507e-05,0.0
4,3,OMP,optimized,0.00017122100689448416,1.5241006622090936e-05,7.360009476542473e-06,7.267598994076252e-05,1.947801501955837e-05,2.6987981982529163e-05
4,4,OMP,baseline,0.0002445639984216541,1.9705024897120893e-05,3.3137010177597404e-05,8.934301149565727e-05,2.9867005650885403e-05,0.0
4,4,OMP,optimized,0.00016765900363679975,1.8032980733551085e-05,7.634997018612921e-06,6.231800944078714e-05,1.8600010662339628e-05,3.0184004572220147e-05
4,5,OMP,baseline,0.00043304900464136153,1.7277008737437427e-05,4.8093992518261075e-05,0.00013167099677957594,0.000123715988593176,0.0
4,5,OMP,optimized,0.000244633003603667,2.071398193947971e-05,9.756971849128604e-06,8.246698416769505e-05,3.042099706362933e-05,5.9160011005587876e-05
4,6,OMP,baseline,0.0006632790027651936,9.005199535749853e-05,5.294999573379755e-05,0.00014756897871848196,9.339000098407269e-05,0.0
4,6,OMP,optimized,0.00024974400002975017,3.040701267309487e-05,1.1374999303370714e-05,8.932300261221826e-05,2.421600220259279e-05,3.9915001252666116e-05
4,7,OMP,baseline,0.00020938500529155135,1.7063997802324593e-05,3.201997606083751e-05,6.733501504641026e-05,2.4273002054542303e-05,0.0
4,7,OMP,optimized,0.00017571100033819675,1.7942002159543335e-05,1.4924007700756192e-05,5.978601984679699e-05,1.9064988009631634e-05,2.9753005946986377e-05
4,8,OMP,baseline,0.0002113719965564087,1.8418970284983516e-05,3.052299143746495e-05,6.985499931033701e-05,2.587601193226874e-05,0.0
4,8,OMP,optimized,0.0001586599973961711,1.71590072568506e-05,7.772992830723524e-06,5.7874000049196184e-05,1.787200744729489e-05,2.9034010367468e-05
4,9,OMP,baseline,0.0001993040059460327,1.6449994291178882e-05,2.979699638672173e-05,6.466699414886534e-05,2.287098322995007e-05,0.0
4,9,OMP,optimized,0.0002777070039883256,1.841099583543837e-05,9.77099989540875e-06,0.00010145099076908082,7.204301073215902e-05,3.6591009120456874e-05
4,10,OMP,baseline,0.00020084099378436804,1.8293983885087073e-05,3.0261013307608664e-05,6.279998342506588e-05,2.4141991161741316e-05,0.0
4,10,OMP,optimized,0.00016258200048469007,1.7247002688236535e-05,7.565977284684777e-06,6.125797517597675e-05,1.812398841138929e-05,2.8929993277415633e-05
4,11,OMP,baseline,0.00022593500034417957,1.7248006770387292e-05,3.069400554522872e-05,6.90600136294961e-05,2.492901694495231e-05,0.0
4,11,OMP,optimized,0.00015583100321236998,1.5264973626472056e-05,7.0050155045464635e-06,5.670399696100503e-05,1.794900163076818e-05,2.9408984119072556e-05
4,12,OMP,baseline,0.000203546995180659,1.7614976968616247e-05,3.3289019484072924e-05,6.439302524086088e-05,2.561099245212972e-05,0.0
4,12,OMP,optimized,0.0002855990023817867,2.0539999241009355e-05,4.087800334673375e-05,9.977900481317192e-05,2.8748007025569677e-05,4.9748006858862936e-05
4,13,OMP,baseline,0.0003080560127273202,1.8212012946605682e-05,3.440999716985971e-05,7.597800868097693e-05,6.107801164034754e-05,0.0
4,13,OMP,optimized,0.00024595699505880475,2.2948021069169044e-05,1.712799712549895e-05,9.41709877224639e-05,2.826300624292344e-05,4.048300615977496e-05
4,14,OMP,baseline,0.00022238200472202152,1.9476021407172084e-05,3.177298640366644e-05,7.519198697991669e-05,2.7071015210822225e-05,0.0
