n,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
128,0,RMP,baseline,0.001040527000441216,4.0767990867607296e-05,3.940700844395906e-05,0.0004271939833415672,0.0001456980244256556,0.0
128,0,RMP,optimized,0.0006096490105846897,3.814899537246674e-05,3.050101804547012e-05,0.00014081601693760604,0.00013905599189456552,0.00015081897436175495
128,1,RMP,baseline,0.0010663400025805458,4.5114982640370727e-05,3.357800596859306e-05,0.0004355260025477037,0.0001686530013103038,0.0
128,1,RMP,optimized,0.0006308029987849295,4.3462030589580536e-05,3.7350968341343105e-05,0.00014048401499167085,0.0001609739993000403,0.0001483269443269819
128,2,RMP,baseline,0.0021294689940987155,7.442098285537213e-05,0.00010371198004577309,0.000840831984532997,0.0003161029890179634,0.0
128,2,RMP,optimized,0.0009957110014511272,5.944599979557097e-05,5.556197720579803e-05,0.0002372770250076428,0.0002876960061257705,0.00021614698925986886
128,3,RMP,baseline,0.0010083289962494746,3.7784018786624074e-05,3.303002449683845e-05,0.00041955101187340915,0.0001418210013071075,0.0
128,3,RMP,optimized,0.0005187500064494088,3.283498517703265e-05,3.270996967330575e-05,0.00012133402924519032,0.0001253700174856931,0.00013068702537566423
128,4,RMP,baseline,0.00112959899706766,4.5393011532723904e-05,4.623598942998797e-05,0.0004435789887793362,0.0001587229926371947,0.0
128,4,RMP,optimized,0.0006508560036309063,4.3201958760619164e-05,3.146000381093472e-05,0.00013543797831516713,0.00017926798318512738,0.0001680410059634596
128,5,RMP,baseline,0.0010349930089432746,3.797901445068419e-05,3.73849761672318e-05,0.00042997403943445534,0.00014391900913324207,0.0
128,5,RMP,optimized,0.0004986080020898953,3.3110976801253855e-05,2.4441033019684255e-05,0.00012621200585272163,0.00012300797970965505,0.00011689201346598566
128,6,RMP,baseline,0.0012249209976289421,5.985701864119619e-05,4.094802716281265e-05,0.0004969799774698913,0.0001697149855317548,0.0
128,6,RMP,optimized,0.0005775069876108319,4.5931999920867383e-05,3.136502346023917e-05,0.00014161803119350225,0.00014654602273367345,0.0001302510208915919
128,7,RMP,baseline,0.0011702429910656065,4.032501601614058e-05,3.753100463654846e-05,0.0004558939690468833,0.0001949969882844016,0.0
128,7,RMP,optimized,0.0004935930046485737,3.3670003176666796e-05,2.614098775666207e-05,0.00011584398453123868,0.00012878402776550502,0.00011256602010689676
128,8,RMP,baseline,0.001176185003714636,4.5435939682647586e-05,6.051798118278384e-05,0.00045158396824263036,0.0001722740416880697,0.0
128,8,RMP,optimized,0.0006380209961207584,4.1364008211530745e-05,3.793701762333512e-05,0.00014914001803845167,0.000176552013726905,0.00014150897914078087
128,9,RMP,baseline,0.0011031110043404624,4.113801696803421e-05,4.0543993236497045e-05,0.00043740798719227314,0.00017144597950391471,0.0
128,9,RMP,optimized,0.0005874519993085414,3.924500197172165e-05,2.9477974749170244e-05,0.00013359106378629804,0.00013853699783794582,0.00013427995145320892
128,10,RMP,baseline,0.0010178140073549002,4.118101787753403e-05,3.167500835843384e-05,0.00041268899803981185,0.00014886698045302182,0.0
128,10,RMP,optimized,0.0004996460047550499,3.920099698007107e-05,2.712800051085651e-05,0.00011381499643903226,0.00013117103662807494,0.00011663003533612937
128,11,RMP,baseline,0.002988546999404207,0.00012927102216053754,0.0001166319998446852,0.0011698669841280207,0.0005097529938211665,0.0
128,11,RMP,optimized,0.0016287300095427781,0.00011178702698089182,9.949698869604617e-05,0.0003548220411175862,0.0004186189762549475,0.00041591899935156107
128,12,RMP,baseline,0.001270099004614167,4.1741994209587574e-05,3.911001840606332e-05,0.0005321929784258828,0.00017068399756681174,0.0
128,12,RMP,optimized,0.0006937270081834868,4.233098297845572e-05,3.4914977732114494e-05,0.0002185600169468671,0.00014562103024218231,0.0001576140202814713
128,13,RMP,baseline,0.0013917759933974594,4.7555979108437896e-05,4.5507971663028e-05,0.0006192959845066071,0.00018600898329168558,0.0
128,13,RMP,optimized,0.0006332900084089488,5.206499190535396e-05,4.301199805922806e-05,0.00015153501590248197,0.00015487200289499015,0.00013999703514855355
128,14,RMP,baseline,0.0013874099968234077,4.7167035518214107e-05,5.193099786993116e-05,0.0005882470140932128,0.00022037797316443175,0.0
128,14,RMP,optimized,0.0006530579994432628,3.762099368032068e-05,3.191498399246484e-05,0.00018722302047535777,0.00015517201973125339,0.0001405370276188478
128,15,RMP,baseline,0.0016438239981653169,8.310900011565536e-05,6.0134960222058e-05,0.0006031350349076092,0.00023634805984329432,0.0
128,15,RMP,optimized,0.0005906599981244653,4.0627041016705334e-05,3.0082970624789596e-05,0.0001425819646101445,0.0001475539756938815,0.0001297790149692446
128,16,RMP,baseline,0.0013123790122335777,5.1785013056360185e-05,4.546002310235053e-05,0.0005057780217612162,0.00020119702094234526,0.0
128,16,RMP,optimized,0.0007570629968540743,4.796999564860016e-05,4.2852043407037854e-05,0.0001864440127974376,0.00020921601390000433,0.00016289899940602481
128,17,RMP,baseline,0.001362570998026058,7.06229911884293e-05,4.530302248895168e-05,0.0005065289878984913,0.00021212702267803252,0.0
128,17,RMP,optimized,0.0006238490022951737,4.662694118451327e-05,3.214797470718622e-05,0.00015566102229058743,0.00016704798326827586,0.0001352389808744192
