snr_db,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
5.0,0,RMP,baseline,0.0008995749994937796,4.3920997995883226e-05,3.138999090879224e-05,0.00035305599158164114,0.00013351900634006597,0.0
5.0,0,RMP,optimized,0.0007231609997688793,4.7499001084361225e-05,3.838200427708216e-05,0.00019508700643200427,0.00018358799570705742,0.00015172300481935963
5.0,1,RMP,baseline,0.0009591279995220248,4.884699228568934e-05,3.298200317658484e-05,0.0003797799981839489,0.00013698700422537513,0.0
5.0,1,RMP,optimized,0.000430073996540159,3.721499160747044e-05,2.5952005671570078e-05,9.854300515144132e-05,0.00010972098971251398,9.463500100537203e-05
5.0,2,RMP,baseline,0.0009241360021405853,4.34709909313824e-05,3.1003997719381005e-05,0.0003741910004464444,0.00013341300291358493,0.0
5.0,2,RMP,optimized,0.0005198299986659549,4.272600926924497e-05,2.470500476192683e-05,0.00012178600081824698,0.00012546499783638865,0.00010667301103239879
5.0,3,RMP,baseline,0.0009003160012071021,5.0435002776794136e-05,3.0535997211700305e-05,0.00035204700543545187,0.00013732999286730774,0.0
5.0,3,RMP,optimized,0.0006346810005197767,5.7803987147053704e-05,3.447599374339916e-05,0.00016372200479963794,0.00016600600065430626,0.00012197400064906105
5.0,4,RMP,baseline,0.00095427799897152,4.570900273392908e-05,3.268299042247236e-05,0.00036741299845743924,0.00014291600746219046,0.0
5.0,4,RMP,optimized,0.00047100500160013326,3.8572998164454475e-05,2.3693010007264093e-05,0.00010321999070583843,0.00012764801067532972,0.00010702799772843719
5.0,5,RMP,baseline,0.000840610999148339,4.141700264881365e-05,2.777299960143864e-05,0.0003372669998498168,0.00012061599045409821,0.0
5.0,5,RMP,optimized,0.000492330000270158,4.116600757697597e-05,2.446100188535638e-05,0.000125682996440446,0.00012653899102588184,0.00010476999887032434
5.0,6,RMP,baseline,0.0008264450007118285,4.859800174017437e-05,2.7331992896506563e-05,0.0003262269965489395,0.00012367399540380575,0.0
5.0,6,RMP,optimized,0.0011280809994786978,0.00012243599849171005,8.691999391885474e-05,0.0002201000133936759,0.00024917000337154604,0.00025863499104161747
5.0,7,RMP,baseline,0.0009062149983947165,4.51300002168864e-05,2.960699566756375e-05,0.0003595569978642743,0.00013131500236340798,0.0
5.0,7,RMP,optimized,0.000426787999458611,3.959400419262238e-05,2.2224012354854494e-05,9.770000906428322e-05,0.00011227301365579478,9.380200208397582e-05
5.0,8,RMP,baseline,0.0010239080002065748,5.2756007789867e-05,3.502400068100542e-05,0.00038418999611167237,0.00020483299522311427,0.0
5.0,8,RMP,optimized,0.000483446001453558,4.750299922307022e-05,2.4736993509577587e-05,0.00011432401151978411,0.0001269269996555522,0.00010431799455545843
5.0,9,RMP,baseline,0.0008445729981758632,4.2146995838265866e-05,2.982699515996501e-05,0.0003327839986013714,0.00012651100405491889,0.0
5.0,9,RMP,optimized,0.00046099999963189475,3.80569945264142e-05,2.393700196989812e-05,0.00010223900608252734,0.00012903499737149104,9.770298493094742e-05
5.0,10,RMP,baseline,0.0009474959988438059,5.1605995395220816e-05,3.159300104016438e-05,0.00036061399441678077,0.00014885800192132592,0.0
5.0,10,RMP,optimized,0.0004591110009641852,4.896800237474963e-05,2.3013013560557738e-05,0.00010207600280409679,0.000124351994600147,9.792298806132749e-05
5.0,11,RMP,baseline,0.0009489209987805225,4.818199886358343e-05,3.471400123089552e-05,0.0003736620092240628,0.00014218700016499497,0.0
5.0,11,RMP,optimized,0.0004728620006062556,3.8188009057193995e-05,2.7793001208920032e-05,0.00010410300455987453,0.00012809200416086242,0.00010003799616242759
5.0,12,RMP,baseline,0.0008652260003145784,4.928099951939657e-05,2.8847996873082593e-05,0.00033078699198085815,0.0001419000000169035,0.0
5.0,12,RMP,optimized,0.00047679999988758937,4.660599006456323e-05,2.3332009732257575e-05,0.00010500600910745561,0.0001238369986822363,0.00010889600162045099
5.0,13,RMP,baseline,0.0008599310021963902,4.193000131635927e-05,3.0783001420786604e-05,0.00033983999674092047,0.00012112499825889245,0.0
5.0,13,RMP,optimized,0.0005845269988640212,4.500399882090278e-05,2.9738999728579074e-05,0.0001239159973920323,0.00016262400458799675,0.00013772500096820295
5.0,14,RMP,baseline,0.0009347889972559642,5.2141993364784867e-05,3.461500091361813e-05,0.0003666379961941857,0.00013919000048190355,0.0
