trial,k,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.02329901423079079,0.0018546658388825144,0.04306583145467546,1.0,1.0,1,0.0003871200024150312,4,4.0,0.25194305552565704,target_sparsity_reached,0,0,0.00015157000234466977,1.0,False,,0,0,1.2108357646338166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,2.4949997168732807e-05,6.753000343451276e-05,0.00015157000234466977,3.396499960217625e-05,0.0
0,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.02329901423079079,0.0018546658372070954,0.04306583143522363,1.0,1.0,1,0.00020088300152565353,4,4.0,0.251943055525657,target_sparsity_reached,0,0,8.01049973233603e-05,1.0,True,,0,0,1.2108357646338166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.7643997125560418e-05,1.1877997167175636e-05,8.01049973233603e-05,1.924900061567314e-05,3.559399920050055e-05
0,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.02329901423079079,0.033857689911314416,0.18400459209300843,0.75,0.75,0,0.00027410999973653816,2,4.0,0.5031387765254413,target_sparsity_reached,1,1,0.00012667500050156377,3.0,False,,0,0,1.5404554765292093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,1.1883003026014194e-05,3.59759978891816e-05,0.00012667500050156377,2.96990001515951e-05,0.0
0,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.02329901423079079,0.0338576899152047,0.18400459210357956,0.75,0.75,0,0.00011302799975965172,2,4.0,0.5031387765254413,target_sparsity_reached,1,1,3.8991998735582456e-05,3.0,True,,0,0,1.5404554765292093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,9.735002095112577e-06,2.4149001546902582e-05,3.8991998735582456e-05,9.434999810764566e-06,0.0
0,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.02329901423079079,0.0018546658388825144,0.04306583145467546,1.0,1.0,1,0.0007844259998819325,2,4.0,0.25194305552565704,target_sparsity_reached,0,0,4.842099951929413e-05,11.5,False,,0,0,1.2108357646338166,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,8.826998964650556e-06,0.0004650010014302097,2.7439004043117166e-05,1.1149997590109706e-05,0.00014953799836803228
0,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.02329901423079079,0.0018546658388825144,0.04306583145467546,1.0,1.0,1,0.0005076979978184681,2,4.0,0.25194305552565704,target_sparsity_reached,0,0,6.188299812492914e-05,0.0,True,,0,0,1.2108357646338166,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,9.535997378407046e-06,0.00015443700249306858,0.00011170400102855638,1.5025998436613008e-05,0.00015421799980686046
1,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.014271046584498983,0.0009805533087726675,0.03131378783814995,1.0,1.0,1,0.0002873370031011291,4,4.0,0.1371746506989401,target_sparsity_reached,0,0,8.166599582182243e-05,1.0,False,,0,0,1.2861950015320986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.8185004591941833e-05,8.507799793733284e-05,8.166599582182243e-05,3.027099955943413e-05,0.0
1,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.014271046584498983,0.0009805533061376362,0.03131378779607533,1.0,1.0,1,0.00036653600182035007,4,4.0,0.13717465069894014,target_sparsity_reached,0,0,0.00016614199921605177,1.0,True,,0,0,1.2861950015320986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,2.7875004889210686e-05,1.3317006960278377e-05,0.00016614199921605177,5.120599962538108e-05,5.198600047151558e-05
1,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.014271046584498983,0.030363809856997957,0.17425214448321133,0.75,0.75,0,0.00020877700080745853,2,4.0,0.24855826832413097,target_sparsity_reached,1,1,5.218000296736136e-05,3.0,False,,0,0,1.5091096974682583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,1.3285996828926727e-05,3.1637002393836156e-05,5.218000296736136e-05,4.304599860915914e-05,0.0
1,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.014271046584498983,0.03036380985656553,0.17425214448197052,0.75,0.75,0,9.56879994191695e-05,2,4.0,0.24855826832413097,target_sparsity_reached,1,1,2.9793998692184687e-05,3.0,True,,0,0,1.5091096974682583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,8.793002052698284e-06,2.0768999092979357e-05,2.9793998692184687e-05,8.659997547511011e-06,0.0
1,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.014271046584498983,0.0009805533087726675,0.03131378783814995,1.0,1.0,1,0.0010554159998719115,2,4.0,0.1371746506989401,target_sparsity_reached,0,0,5.6346998462686315e-05,11.5,False,,0,0,1.2861950015320986,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,1.1953001376241446e-05,0.0007149060002120677,3.6114000977249816e-05,1.501500082667917e-05,0.00016467599925817922
1,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.014271046584498983,0.0009805533087726675,0.03131378783814995,1.0,1.0,1,0.0005622379976557568,2,4.0,0.1371746506989401,target_sparsity_reached,0,0,4.1945000702980906e-05,0.0,True,,0,0,1.2861950015320986,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,9.324998245574534e-06,0.00014472900147666223,0.00012674200115725398,1.530900044599548e-05,0.00019950199930462986
2,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.015604946210195553,0.00017466755420451397,0.01321618531212823,1.0,1.0,1,0.0002860249987861607,4,4.0,0.14068789044577662,target_sparsity_reached,0,0,9.882000085781328e-05,1.0,False,,0,0,1.2099940606233215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,4.4759002776117995e-05,3.4567001421237364e-05,9.882000085781328e-05,3.0647002859041095e-05,0.0
2,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.015604946210195553,0.00017466755519454337,0.013216185349583418,1.0,1.0,1,0.00014662199828308076,4,4.0,0.14068789044577662,target_sparsity_reached,0,0,5.1255006837891415e-05,1.0,True,,0,0,1.2099940606233215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.642099960008636e-05,7.724007446086034e-06,5.1255006837891415e-05,1.7507005395600572e-05,2.6507997972657904e-05
2,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.015604946210195553,0.00017466755420451397,0.01321618531212823,1.0,1.0,1,9.942099859472364e-05,2,4.0,0.14068789044577662,target_sparsity_reached,0,0,3.0338997021317482e-05,3.0,False,,0,0,1.2099940606233215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,7.595001079607755e-06,1.9298997358419e-05,3.0338997021317482e-05,1.0230996849713847e-05,0.0
2,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.015604946210195553,0.0001746675551945416,0.013216185349583352,1.0,1.0,1,7.285500032594427e-05,2,4.0,0.14068789044577662,target_sparsity_reached,0,0,2.23360002564732e-05,3.0,True,,0,0,1.2099940606233215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,7.088998245308176e-06,1.5331999748013914e-05,2.23360002564732e-05,7.441998604917899e-06,0.0
2,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.015604946210195553,0.00017466755420451397,0.01321618531212823,1.0,1.0,1,0.0007271840004250407,2,4.0,0.14068789044577662,target_sparsity_reached,0,0,3.936099892598577e-05,12.5,False,,0,0,1.2099940606233215,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,1.0021001799032092e-05,0.00047688499762443826,2.6779001927934587e-05,1.1632000678218901e-05,9.752900223247707e-05
2,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.015604946210195553,0.0019329285238908005,0.04396508300789162,0.75,1.0,0,0.00013128800128470175,1,3.0,0.1482296199465587,noise_floor,0,1,1.9988001440651715e-05,0.0,True,,0,0,1.0627543377102706,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2968.0,768.0,2048.0,0.0,72.0,24.0,24.0,16.0,8.0,0.0,0.0,8.0,0.0,3.8239995774347335e-06,4.6597000618930906e-05,3.951799953938462e-05,6.275000487221405e-06,5.520014383364469e-07
3,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.014955951311683384,0.0003808677235556945,0.0195158326380325,1.0,1.0,1,0.00019297600010759197,4,4.0,0.17834385786312007,target_sparsity_reached,0,0,6.589700205950066e-05,1.0,False,,0,0,1.2528622405732575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.5572004485875368e-05,2.7696001779986545e-05,6.589700205950066e-05,2.3144995793700218e-05,0.0
3,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.014955951311683384,0.00038086772325662566,0.01951583263037029,1.0,1.0,1,0.0003593840010580607,4,4.0,0.17834385786312004,target_sparsity_reached,0,0,8.774800153332762e-05,1.0,True,,0,0,1.2528622405732575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,2.8824000764871016e-05,1.1653002729872242e-05,8.774800153332762e-05,7.362599353655241e-05,0.00011183499736944214
3,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.014955951311683384,0.00564763272837327,0.07515073338546517,0.75,0.75,0,0.00018707699928199872,2,4.0,0.21142542700783679,target_sparsity_reached,1,1,8.014399645617232e-05,3.0,False,,0,0,1.364533610265362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,9.659004717832431e-06,3.0233000870794058e-05,8.014399645617232e-05,1.8267000996274874e-05,0.0
3,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.014955951311683384,0.005647632728373694,0.075150733385468,0.75,0.75,0,9.453799793845974e-05,2,4.0,0.21142542700783679,target_sparsity_reached,1,1,2.9843999072909355e-05,3.0,True,,0,0,1.364533610265362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,7.886996172601357e-06,2.1005995222367346e-05,2.9843999072909355e-05,9.10699600353837e-06,0.0
3,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.014955951311683384,0.0003808677235556945,0.0195158326380325,1.0,1.0,1,0.000862765999045223,2,4.0,0.17834385786312007,target_sparsity_reached,0,0,5.117899854667485e-05,12.0,False,,0,0,1.2528622405732575,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,7.742997695459053e-06,0.0005376420012908056,2.8009999368805438e-05,1.123100082622841e-05,0.00018060000002151355
3,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.014955951311683384,0.0003808677235556945,0.0195158326380325,1.0,1.0,1,0.0006367790010699537,2,4.0,0.17834385786312007,target_sparsity_reached,0,0,4.9317997763864696e-05,0.0,True,,0,0,1.2528622405732575,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,9.020001016324386e-06,0.0002733979999902658,0.00012986000001546927,1.7057001969078556e-05,0.00014616800399380736
4,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.014838648731869243,0.00020568948819123717,0.01434187882361433,1.0,1.0,1,0.00023315500220633112,4,4.0,0.14969040466703143,target_sparsity_reached,0,0,6.329499956336804e-05,1.0,False,,0,0,1.1595296395263635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,2.065399894490838e-05,2.9291000828379765e-05,6.329499956336804e-05,2.4953998945420608e-05,0.0
4,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.014838648731869243,0.00020568948967979284,0.01434187887550975,1.0,1.0,1,0.00014388999989023432,4,4.0,0.14969040466703143,target_sparsity_reached,0,0,5.0651997298700735e-05,1.0,True,,0,0,1.1595296395263635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.5715999325038865e-05,6.137001037131995e-06,5.0651997298700735e-05,1.7000998923322186e-05,2.6372996217105538e-05
4,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.014838648731869243,0.00020568948819123717,0.01434187882361433,1.0,1.0,1,0.00010326600022381172,2,4.0,0.14969040466703143,target_sparsity_reached,0,0,3.318299786769785e-05,3.0,False,,0,0,1.1595296395263635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,7.4549971031956375e-06,1.959699875442311e-05,3.318299786769785e-05,1.040300412569195e-05,0.0
4,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.014838648731869243,0.00020568948967978663,0.014341878875509534,1.0,1.0,1,0.00014350800120155327,2,4.0,0.14969040466703143,target_sparsity_reached,0,0,5.361399962566793e-05,3.0,True,,0,0,1.1595296395263635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,1.3392003893386573e-05,2.0681000023614615e-05,5.361399962566793e-05,2.4097997084027156e-05,0.0
4,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,20.0,0.014838648731869243,0.00020568948819123717,0.01434187882361433,1.0,1.0,1,0.0007413610001094639,2,4.0,0.14969040466703143,target_sparsity_reached,0,0,4.3495005229488015e-05,11.0,False,,0,0,1.1595296395263635,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,1.142400287790224e-05,0.00046594200102845207,3.054500120924786e-05,1.221799902850762e-05,9.961400064639747e-05
