trial,k,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,1.9454280587910704e-31,4.4107006912633174e-16,1.0,1.0,1,0.00041347900696564466,4,4.0,7.7622818318268045e-16,target_sparsity_reached,0,0,0.00016437699378002435,1.0,False,,0,0,1.2723595936682386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,2.4502005544491112e-05,7.259700214490294e-05,0.00016437699378002435,3.566899977158755e-05,0.0
0,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.389527457279258e-20,1.1787821924678274e-10,1.0,1.0,1,0.00025188399013131857,4,4.0,2.0494568502491766e-10,target_sparsity_reached,0,0,9.428201883565634e-05,1.0,True,,0,0,1.2723595936682386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,2.2234991774894297e-05,1.6739009879529476e-05,9.428201883565634e-05,2.2849009837955236e-05,3.8964004488661885e-05
0,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,0.02072202063936723,0.14395145236977372,0.75,0.75,0,0.00012456398690119386,2,4.0,0.2664350117943348,target_sparsity_reached,1,1,3.8955011405050755e-05,3.0,False,,0,0,1.44362631678055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,7.666007149964571e-06,2.912401396315545e-05,3.8955011405050755e-05,1.0809992090798914e-05,0.0
0,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.020722020637185982,0.1439514523621974,0.75,0.75,0,9.179400512948632e-05,2,4.0,0.2664350117943348,target_sparsity_reached,1,1,3.1158997444435954e-05,3.0,True,,0,0,1.44362631678055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,7.2830007411539555e-06,1.781899482011795e-05,3.1158997444435954e-05,8.29000782687217e-06,0.0
0,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,0.02118666268283071,0.14555639004465146,0.75,0.75,0,0.0007515619945479557,2,4.0,0.2637529692406971,target_sparsity_reached,1,1,4.2990010115318e-05,12.0,False,,0,0,1.4417075520003664,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,8.998002158477902e-06,0.0004703969898400828,2.9421993531286716e-05,1.089200668502599e-05,0.00011303000792395324
0,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.9454280587910704e-31,4.4107006912633174e-16,1.0,1.0,1,0.0005124849994899705,2,4.0,7.7622818318268045e-16,residual_tol,0,0,3.919198934454471e-05,0.0,True,,0,0,1.2723595936682386,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,8.174989488907158e-06,0.00014273599663283676,7.27070146240294e-05,1.4513003407046199e-05,0.00020581998978741467
1,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,6.895929364287032e-31,8.304173266669616e-16,1.0,1.0,1,0.0002383660030318424,4,4.0,2.388260030869467e-15,target_sparsity_reached,0,0,8.54399986565113e-05,1.0,False,,0,0,1.2345163341483958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.700701250229031e-05,4.0157014154829085e-05,8.54399986565113e-05,2.509600017219782e-05,0.0
1,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.1507473553626772e-20,1.0727289291161477e-10,1.0,1.0,1,0.00019188399892300367,4,4.0,2.878367541108162e-10,target_sparsity_reached,0,0,6.37800112599507e-05,1.0,True,,0,0,1.2345163341483958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.796397555153817e-05,8.069997420534492e-06,6.37800112599507e-05,3.3414005883969367e-05,3.409398777876049e-05
1,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,0.03268406341271931,0.18078734306560099,0.5,0.5,0,0.00012253300519660115,2,4.0,0.49640943554211775,target_sparsity_reached,2,2,3.713900514412671e-05,3.0,False,,0,0,1.6862540519816311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,8.419010555371642e-06,2.4704000679776073e-05,3.713900514412671e-05,1.196000084746629e-05,0.0
1,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.0326840634168047,0.1807873430768999,0.5,0.5,0,8.612799865659326e-05,2,4.0,0.4964094355421177,target_sparsity_reached,2,2,2.7349989977665246e-05,3.0,True,,0,0,1.6862540519816311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,7.284994353540242e-06,1.842901110649109e-05,2.7349989977665246e-05,8.282993803732097e-06,0.0
1,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,0.01306923928757578,0.11432077364843093,0.75,0.75,0,0.0007559180085081607,2,4.0,0.3077655774133163,target_sparsity_reached,1,1,4.17420087615028e-05,12.5,False,,0,0,1.4148049477093285,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,8.090006303973496e-06,0.0004917049955110997,2.683699131011963e-05,1.0896008461713791e-05,0.00011192698730155826
1,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.013005285858408062,0.11404072017664596,0.75,0.75,0,0.0004057990008732304,2,4.0,0.3093672267330571,target_sparsity_reached,1,1,3.6169003578834236e-05,0.0,True,,0,0,1.431224820961295,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,7.213006028905511e-06,0.00012566900113597512,6.614498852286488e-05,1.1088006431236863e-05,0.0001451519929105416
2,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,7.533467477608811e-32,2.7447162836272915e-16,1.0,1.0,1,0.0001807670050766319,4,4.0,5.352670878442924e-16,target_sparsity_reached,0,0,5.578900163527578e-05,1.0,False,,0,0,1.2334146377274446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.600199902895838e-05,2.5825007469393313e-05,5.578900163527578e-05,2.1725005353800952e-05,0.0
