trial,k,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0,4,OMP,baseline,OMP (baseline),128,256,0.5,gaussian,gaussian,clean,0.0,1.91255393484971e-31,4.373275585701992e-16,1.0,1.0,1,0.000515713996719569,4,4.0,1.2074086634894817e-15,target_sparsity_reached,0,0,0.00019687200256157666,1.0,False,,0,0,1.241339474037738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3224.0,1024.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,3.1567004043608904e-05,8.147601329255849e-05,0.00019687200256157666,5.0000991905108094e-05,0.0
0,4,OMP,optimized,OMP (optimized),128,256,0.5,gaussian,gaussian,clean,0.0,8.613967400360141e-21,9.281146157862261e-11,1.0,1.0,1,0.0002330759889446199,4,4.0,2.4690469709828727e-10,target_sparsity_reached,0,0,9.64359933277592e-05,1.0,True,,0,0,1.241339474037738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520.0,1024.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,2.1094994735904038e-05,1.639602123759687e-05,9.64359933277592e-05,2.1996020223014057e-05,3.547999949660152e-05
0,4,gOMP,baseline,gOMP (baseline),128,256,0.5,gaussian,gaussian,clean,0.0,1.91255393484971e-31,4.373275585701992e-16,1.0,1.0,1,0.00021596798615064472,2,4.0,1.2074086634894817e-15,target_sparsity_reached,0,0,4.9152004066854715e-05,3.0,False,,0,0,1.241339474037738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3424.0,1024.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,1.1782001820392907e-05,3.678198845591396e-05,4.9152004066854715e-05,3.700501110870391e-05,0.0
0,4,gOMP,optimized,gOMP (optimized),128,256,0.5,gaussian,gaussian,clean,0.0,8.613967152519804e-21,9.281146024344087e-11,1.0,1.0,1,0.00011860700033139437,2,4.0,2.469047622238203e-10,target_sparsity_reached,0,0,3.9690989069640636e-05,3.0,True,,0,0,1.241339474037738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.0,1024.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,1.01169862318784e-05,2.459798997733742e-05,3.9690989069640636e-05,9.524999768473208e-06,0.0
0,4,Improved-gOMP,baseline,Improved-gOMP (baseline),128,256,0.5,gaussian,gaussian,clean,0.0,1.91255393484971e-31,4.373275585701992e-16,1.0,1.0,1,0.0009774929931154475,2,4.0,1.2074086634894817e-15,residual_tol,0,0,7.765401096548885e-05,12.5,False,,0,0,1.241339474037738,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3208.0,1024.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,1.2382995919324458e-05,0.0005588700150838122,3.353401552885771e-05,1.226500899065286e-05,0.0002143379970220849
0,4,Improved-gOMP,optimized,Improved-gOMP (optimized),128,256,0.5,gaussian,gaussian,clean,0.0,1.91255393484971e-31,4.373275585701992e-16,1.0,1.0,1,0.0005365539982449263,2,4.0,1.2074086634894817e-15,residual_tol,0,0,4.699398414231837e-05,0.0,True,,0,0,1.241339474037738,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3312.0,1024.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,1.2678006896749139e-05,0.00017728899547364563,8.194701513275504e-05,1.776100543793291e-05,0.0001806759973987937
1,4,OMP,baseline,OMP (baseline),128,256,0.5,gaussian,gaussian,clean,0.0,3.572979546550828e-31,5.977440544707097e-16,1.0,1.0,1,0.0002370060101384297,4,4.0,5.646040666532743e-16,target_sparsity_reached,0,0,8.485998841933906e-05,1.0,False,,0,0,1.115453813158808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3224.0,1024.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.881599018815905e-05,3.535101132001728e-05,8.485998841933906e-05,2.6919995434582233e-05,0.0
1,4,OMP,optimized,OMP (optimized),128,256,0.5,gaussian,gaussian,clean,0.0,9.432955258345677e-21,9.712340221772338e-11,1.0,1.0,1,0.00016904900257941335,4,4.0,9.278573326599488e-11,target_sparsity_reached,0,0,5.774899909738451e-05,1.0,True,,0,0,1.115453813158808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520.0,1024.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.780599995981902e-05,8.39300628285855e-06,5.774899909738451e-05,1.871600397862494e-05,2.8849972295574844e-05
1,4,gOMP,baseline,gOMP (baseline),128,256,0.5,gaussian,gaussian,clean,0.0,3.572979546550828e-31,5.977440544707097e-16,1.0,1.0,1,0.00015098000585567206,2,4.0,5.646040666532743e-16,target_sparsity_reached,0,0,5.285699444357306e-05,3.0,False,,0,0,1.115453813158808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3424.0,1024.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,1.0137009667232633e-05,2.7268004487268627e-05,5.285699444357306e-05,1.5940007870085537e-05,0.0
1,4,gOMP,optimized,gOMP (optimized),128,256,0.5,gaussian,gaussian,clean,0.0,9.432975906893811e-21,9.712350851824604e-11,1.0,1.0,1,8.982900180853903e-05,2,4.0,9.278583599207156e-11,target_sparsity_reached,0,0,2.7775007765740156e-05,3.0,True,,0,0,1.115453813158808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.0,1024.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,8.262999472208321e-06,1.983300899155438e-05,2.7775007765740156e-05,8.518982212990522e-06,0.0
