trial,k,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0,4,OMP,baseline,OMP (baseline),80,256,0.3125,gaussian,gaussian,clean,0.0,7.744550671857872e-31,8.80031287617541e-16,1.0,1.0,1,0.00041742400208022445,4,4.0,2.2294328398422774e-15,target_sparsity_reached,0,0,0.00016434000281151384,1.0,False,,0,0,1.431615482969502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,640.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,2.376898191869259e-05,8.406900451518595e-05,0.00016434000281151384,3.385299351066351e-05,0.0
0,4,OMP,optimized,OMP (optimized),80,256,0.3125,gaussian,gaussian,clean,0.0,1.9107143619018244e-20,1.382285919013076e-10,1.0,1.0,1,0.00021493699750863016,4,4.0,3.3012845099786954e-10,target_sparsity_reached,0,0,9.335897630080581e-05,1.0,True,,0,0,1.431615482969502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.0,640.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.5337005606852472e-05,1.4703022316098213e-05,9.335897630080581e-05,1.9150000298395753e-05,3.564600774552673e-05
0,4,gOMP,baseline,gOMP (baseline),80,256,0.3125,gaussian,gaussian,clean,0.0,0.2529043792068997,0.5028959924347177,0.5,0.5,0,0.00017693899280857295,2,4.0,1.1456598329660679,target_sparsity_reached,2,2,4.835501022171229e-05,3.0,False,,0,0,1.6418639626110263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.0,640.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,2.7357993531040847e-05,3.916201239917427e-05,4.835501022171229e-05,1.4910998288542032e-05,0.0
0,4,gOMP,optimized,gOMP (optimized),80,256,0.3125,gaussian,gaussian,clean,0.0,0.25290437923357606,0.5028959924612404,0.5,0.5,0,0.00010774799739010632,2,4.0,1.1456598329660679,target_sparsity_reached,2,2,3.693399776238948e-05,3.0,True,,0,0,1.6418639626110263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,640.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,7.580005330964923e-06,2.21210066229105e-05,3.693399776238948e-05,9.645998943597078e-06,0.0
0,4,Improved-gOMP,baseline,Improved-gOMP (baseline),80,256,0.3125,gaussian,gaussian,clean,0.0,0.2318386323578519,0.48149624334760066,0.5,0.6666666666666666,0,0.0006839659909019247,2,3.0,1.1991674943791677,max_iter,1,2,2.7280999347567558e-05,11.0,False,,0,0,1.4253494923550833,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2816.0,640.0,2048.0,0.0,0.0,0.0,40.0,24.0,16.0,16.0,16.0,16.0,0.0,8.502000127919018e-06,0.0005169439973542467,3.076098801102489e-05,1.1711992556229234e-05,2.067012246698141e-06
0,4,Improved-gOMP,optimized,Improved-gOMP (optimized),80,256,0.3125,gaussian,gaussian,clean,0.0,0.11688452607723793,0.34188379031073984,0.75,0.75,0,0.0005881139950361103,2,4.0,0.8150846451165549,target_sparsity_reached,1,1,4.685300518758595e-05,0.0,True,,0,0,1.4646834176746006,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2928.0,640.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,1.2644988601095974e-05,0.00019719399278983474,8.439100929535925e-05,3.583599755074829e-05,0.00018696200277190655
1,4,OMP,baseline,OMP (baseline),80,256,0.3125,gaussian,gaussian,clean,0.0,4.831915089673943e-31,6.951197803022111e-16,1.0,1.0,1,0.00021412299247458577,4,4.0,1.0261164302325133e-15,target_sparsity_reached,0,0,6.641300569754094e-05,1.0,False,,0,0,1.2029771477727986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,640.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.6277990653179586e-05,3.356301749590784e-05,6.641300569754094e-05,2.4698005290701985e-05,0.0
1,4,OMP,optimized,OMP (optimized),80,256,0.3125,gaussian,gaussian,clean,0.0,1.1688140709613522e-20,1.081117047761875e-10,1.0,1.0,1,0.0001639139954932034,4,4.0,1.6028386666256431e-10,target_sparsity_reached,0,0,5.8043995522893965e-05,1.0,True,,0,0,1.2029771477727986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.0,640.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.6260994016192853e-05,8.912989869713783e-06,5.8043995522893965e-05,1.7843995010480285e-05,2.7771005989052355e-05
1,4,gOMP,baseline,gOMP (baseline),80,256,0.3125,gaussian,gaussian,clean,0.0,4.831915089673943e-31,6.951197803022111e-16,1.0,1.0,1,0.00011473199992906302,2,4.0,1.0261164302325133e-15,target_sparsity_reached,0,0,3.5146993468515575e-05,3.0,False,,0,0,1.2029771477727986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040.0,640.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,7.013004506006837e-06,2.599299477878958e-05,3.5146993468515575e-05,1.0742995073087513e-05,0.0
1,4,gOMP,optimized,gOMP (optimized),80,256,0.3125,gaussian,gaussian,clean,0.0,1.1688223552427839e-20,1.0811208791077822e-10,1.0,1.0,1,7.836199074517936e-05,2,4.0,1.6028447515083087e-10,target_sparsity_reached,0,0,2.401998790446669e-05,3.0,True,,0,0,1.2029771477727986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,640.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,6.550995749421418e-06,1.801199687179178e-05,2.401998790446669e-05,7.89501063991338e-06,0.0
1,4,Improved-gOMP,baseline,Improved-gOMP (baseline),80,256,0.3125,gaussian,gaussian,clean,0.0,4.831915089673943e-31,6.951197803022111e-16,1.0,1.0,1,0.0006581980123883113,2,4.0,1.0261164302325133e-15,residual_tol,0,0,4.198201349936426e-05,11.5,False,,0,0,1.2029771477727986,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2824.0,640.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,6.697984645143151e-06,0.00037425500340759754,2.4567998480051756e-05,9.274008334614336e-06,0.00012984000204596668
1,4,Improved-gOMP,optimized,Improved-gOMP (optimized),80,256,0.3125,gaussian,gaussian,clean,0.0,4.831915089673943e-31,6.951197803022111e-16,1.0,1.0,1,0.0005019560048822314,2,4.0,1.0261164302325133e-15,residual_tol,0,0,4.410800465848297e-05,0.0,True,,0,0,1.2029771477727986,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2928.0,640.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,7.160007953643799e-06,0.00016070900892373174,8.086599700618535e-05,1.717799750622362e-05,0.00017110900080297142
2,4,OMP,baseline,OMP (baseline),80,256,0.3125,gaussian,gaussian,clean,0.0,1.329158547416131e-31,3.645762673866925e-16,1.0,1.0,1,0.0002756749890977517,4,4.0,1.140028804338345e-15,target_sparsity_reached,0,0,9.42679907893762e-05,1.0,False,,0,0,1.3332225154852735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,640.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,2.008900628425181e-05,4.893497680313885e-05,9.42679907893762e-05,2.9447997803799808e-05,0.0
2,4,OMP,optimized,OMP (optimized),80,256,0.3125,gaussian,gaussian,clean,0.0,1.3059062142981545e-20,1.1427625362682111e-10,1.0,1.0,1,0.0003239110083086416,4,4.0,3.228834053112646e-10,target_sparsity_reached,0,0,0.00010183299309574068,1.0,True,,0,0,1.3332225154852735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.0,640.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.8905993783846498e-05,1.1433003237470984e-05,0.00010183299309574068,1.9885992514900863e-05,3.33139905706048e-05
