trial,k,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,8.84995317416617e-32,2.9748870859523675e-16,1.0,1.0,1,0.00036126399936620146,4,4.0,2.769099044390701e-16,target_sparsity_reached,0,0,0.00013606699940282851,1.0,False,,0,0,1.2365949096199909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,2.5789995561353862e-05,5.7356999604962766e-05,0.00013606699940282851,3.4682998375501484e-05,0.0
0,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.1536711378668724e-20,1.0740908424648599e-10,1.0,1.0,1,0.00021879899941268377,4,4.0,9.097327889147302e-11,target_sparsity_reached,0,0,9.737899745232426e-05,1.0,True,,0,0,1.2365949096199909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.6794998373370618e-05,1.11579975055065e-05,9.737899745232426e-05,2.1182000637054443e-05,3.2527004805160686e-05
0,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,8.84995317416617e-32,2.9748870859523675e-16,1.0,1.0,1,0.00011952599743381143,2,4.0,2.769099044390701e-16,target_sparsity_reached,0,0,3.6345994885778055e-05,3.0,False,,0,0,1.2365949096199909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,8.177998097380623e-06,2.697400122997351e-05,3.6345994885778055e-05,1.1218999134143814e-05,0.0
0,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.1536748777212607e-20,1.0740925834029675e-10,1.0,1.0,1,8.86979978531599e-05,2,4.0,9.097341902301342e-11,target_sparsity_reached,0,0,3.0180002795532346e-05,3.0,True,,0,0,1.2365949096199909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,7.94699735706672e-06,1.8066002667183056e-05,3.0180002795532346e-05,8.053000783547759e-06,0.0
0,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,8.84995317416617e-32,2.9748870859523675e-16,1.0,1.0,1,0.0007557899989478756,2,4.0,2.769099044390701e-16,residual_tol,0,0,4.031699791084975e-05,12.0,False,,0,0,1.2365949096199909,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,8.95299672265537e-06,0.0004847710006288253,2.7718997444026172e-05,1.13139976747334e-05,0.0001084060022549238
0,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,8.84995317416617e-32,2.9748870859523675e-16,1.0,1.0,1,0.00041717699787113816,2,4.0,2.769099044390701e-16,residual_tol,0,0,3.7322999560274184e-05,0.0,True,,0,0,1.2365949096199909,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,8.497998351231217e-06,0.00013033999857725576,6.89999978931155e-05,1.235799936694093e-05,0.00014486699728877284
1,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,2.982639959809335e-31,5.461355106390111e-16,1.0,1.0,1,0.00019623000116553158,4,4.0,1.4950699961726962e-15,target_sparsity_reached,0,0,6.198999835760333e-05,1.0,False,,0,0,1.3499405842718164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.7808997654356062e-05,2.9660001018783078e-05,6.198999835760333e-05,2.433299960102886e-05,0.0
1,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.7906349627871473e-20,1.3381460917206116e-10,1.0,1.0,1,0.00016031600171118043,4,4.0,2.989081399562607e-10,target_sparsity_reached,0,0,5.5541004257975146e-05,1.0,True,,0,0,1.3499405842718164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.629499820410274e-05,7.351001841016114e-06,5.5541004257975146e-05,2.3756001610308886e-05,2.7120997401652858e-05
1,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,2.982639959809335e-31,5.461355106390111e-16,1.0,1.0,1,0.00010501200085855089,2,4.0,1.4950699961726962e-15,target_sparsity_reached,0,0,3.1994997698348016e-05,3.0,False,,0,0,1.3499405842718164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,7.873997674323618e-06,2.0358002075226977e-05,3.1994997698348016e-05,1.1239000741625205e-05,0.0
1,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.790627066818011e-20,1.3381431413783845e-10,1.0,1.0,1,0.00010290600039297715,2,4.0,2.989075792073303e-10,target_sparsity_reached,0,0,3.474700133665465e-05,3.0,True,,0,0,1.3499405842718164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,1.1423999239923432e-05,1.7822003428591415e-05,3.474700133665465e-05,1.2847998732468113e-05,0.0
1,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,2.982639959809335e-31,5.461355106390111e-16,1.0,1.0,1,0.0006280929992499296,2,4.0,1.4950699961726962e-15,residual_tol,0,0,3.886500053340569e-05,11.5,False,,0,0,1.3499405842718164,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,9.334999049315229e-06,0.00038624000080744736,2.5097997422562912e-05,1.107400021282956e-05,0.00010440799815114588
1,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,2.982639959809335e-31,5.461355106390111e-16,1.0,1.0,1,0.00043093200292787515,2,4.0,1.4950699961726962e-15,residual_tol,0,0,3.6539997381623834e-05,0.0,True,,0,0,1.3499405842718164,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,7.929000275908038e-06,0.00014244999692891724,6.650199793512002e-05,1.2322001566644758e-05,0.00015286400230252184
2,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,1.620144183597392e-31,4.0251014690283173e-16,1.0,1.0,1,0.00018271299995831214,4,4.0,7.122703614524427e-16,target_sparsity_reached,0,0,5.66849994356744e-05,1.0,False,,0,0,1.0877462694529814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.6111000149976462e-05,2.5674999051261693e-05,5.66849994356744e-05,2.6134002837352455e-05,0.0
2,4,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.0017016650953878e-20,1.0008504708973204e-10,1.0,1.0,1,0.00014869200094835833,4,4.0,1.7645946102605567e-10,target_sparsity_reached,0,0,5.262199556455016e-05,1.0,True,,0,0,1.0877462694529814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.0,768.0,0.0,256.0,128.0,32.0,32.0,40.0,0.0,0.0,0.0,8.0,0.0,1.7012007447192445e-05,6.804002623539418e-06,5.262199556455016e-05,1.7419999494450167e-05,2.6101002731593326e-05
2,4,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,0.008034849509607084,0.08963732207962866,0.75,0.75,0,0.00010733300223364495,2,4.0,0.1569664631801805,target_sparsity_reached,1,1,3.421699511818588e-05,3.0,False,,0,0,1.410524953094014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,768.0,2048.0,256.0,0.0,0.0,56.0,24.0,0.0,0.0,0.0,16.0,0.0,7.7620024967473e-06,2.0397001208039e-05,3.421699511818588e-05,1.1134001397294924e-05,0.0
2,4,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,0.008034849509662944,0.08963732207994025,0.75,0.75,0,7.575600102427416e-05,2,4.0,0.1569664631801805,target_sparsity_reached,1,1,2.3304000933421776e-05,3.0,True,,0,0,1.410524953094014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,768.0,0.0,256.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,8.0,0.0,7.537997589679435e-06,1.6298996342811733e-05,2.3304000933421776e-05,7.480997737729922e-06,0.0
2,4,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,0.007994861284694108,0.08941398819364958,0.75,0.75,0,0.0006302049987425562,2,4.0,0.15742628176630663,target_sparsity_reached,1,1,3.780599945457652e-05,12.0,False,,0,0,1.3381891540223274,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2952.0,768.0,2048.0,0.0,0.0,0.0,48.0,24.0,16.0,16.0,16.0,16.0,0.0,8.389997674385086e-06,0.0003829079978459049,2.3961998522281647e-05,1.0624997230479494e-05,9.565900109009817e-05
2,4,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,clean,0.0,1.620144183597392e-31,4.0251014690283173e-16,1.0,1.0,1,0.0003963189992646221,2,4.0,7.122703614524427e-16,residual_tol,0,0,3.2573003409197554e-05,0.0,True,,0,0,1.0877462694529814,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3056.0,768.0,2048.0,0.0,128.0,32.0,32.0,24.0,16.0,0.0,0.0,8.0,0.0,9.031002264237031e-06,0.0001237780015799217,6.198900155141018e-05,1.2506003258749843e-05,0.00013918600234319456
3,4,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,clean,0.0,6.843291908293204e-32,2.615968636718186e-16,1.0,1.0,1,0.00019305499881738797,4,4.0,5.576967356515422e-16,target_sparsity_reached,0,0,6.681200102320872e-05,1.0,False,,0,0,1.1319770089087096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.0,768.0,2048.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,32.0,0.0,1.7540998669574037e-05,2.7936002879869193e-05,6.681200102320872e-05,2.1685995307052508e-05,0.0
